resource_utilization_id,date,hospital_id,hospital_name,department_id,department_name,resource_type,resource_category,total_units_available,units_in_use,units_under_maintenance,utilization_rate_pct,shortage_flag,capacity_hours,utilized_hours,idle_hours,downtime_hours,nurses_on_duty_snapshot,doctors_on_duty_snapshot,overtime_hours,avg_response_time_minutes,resource_condition,maintenance_due_flag,last_maintenance_date
R000011,2020-04-12,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,21.1,122.7,0.25,,,0.0,10.8,Good,No,2020-02-16
R000012,2020-04-12,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,16.7,189.9,0.0,1.0,1.0,0.5,3.7,,No,
R000013,2020-04-13,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.0,194.0,0.0,1.0,1.0,0.0,5.8,Good,No,
R000014,2020-04-13,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,21.7,121.8,0.53,,,0.0,12.1,Good,No,2020-02-04
R000015,2020-04-13,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.5,193.5,0.0,1.0,1.0,0.7,2.8,,No,
R000016,2020-04-15,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.4,193.6,0.0,1.0,1.0,0.0,7.7,Good,No,
R000017,2020-04-15,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,17.2,126.2,0.61,,,0.0,9.7,Good,No,2020-02-11
R000018,2020-04-15,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.9,192.3,0.0,1.0,1.0,0.3,4.2,,No,
R000019,2020-06-10,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,21.6,194.4,0.0,1.0,1.0,0.0,6.7,Good,No,
R000020,2020-06-10,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,18.6,124.5,0.91,,,0.0,12.7,Good,No,2020-04-13
R000021,2020-06-10,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,16.0,192.0,0.0,1.0,1.0,1.4,3.8,,No,
R000022,2020-06-11,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,23.8,192.2,0.0,1.0,1.0,0.0,6.2,Good,No,
R000023,2020-06-11,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,19.3,123.8,0.89,,,0.0,7.6,Good,No,2020-05-18
R000024,2020-06-11,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,16.5,190.5,0.0,1.0,1.0,0.6,3.0,,No,
R000025,2020-06-26,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.4,193.6,0.0,1.0,1.0,0.0,4.6,Good,No,
R000026,2020-06-26,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,20.3,122.4,1.3,,,0.0,10.9,Fair,No,2020-03-16
R000027,2020-06-26,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.6,193.2,0.0,1.0,1.0,1.0,2.4,,No,
R000028,2020-06-27,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,23.3,192.7,0.0,2.0,1.0,0.0,7.9,Good,No,
R000029,2020-06-27,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,19.8,124.2,0.05,,,0.0,8.6,Fair,No,2020-06-18
R000030,2020-06-27,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,3,0,30.0,No,240,24.3,167.1,0.0,2.0,1.0,0.0,7.1,,No,
R000031,2020-07-26,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.3,193.7,0.0,1.0,1.0,0.0,7.0,Good,No,
R000032,2020-07-26,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,21.2,122.4,0.39,,,0.0,14.0,Fair,No,2020-04-05
R000033,2020-07-26,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.6,193.2,0.0,1.0,1.0,0.0,2.7,,No,
R000034,2020-07-27,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,23.7,192.3,0.0,1.0,1.0,0.0,4.4,Fair,No,
R000035,2020-07-27,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,16.9,126.2,0.87,,,0.0,2.4,Fair,No,2020-07-11
R000036,2020-07-27,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.4,193.8,0.0,1.0,1.0,0.7,5.5,,No,
R000037,2020-07-29,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.7,193.3,0.0,1.0,1.0,0.0,5.9,Fair,No,
R000038,2020-07-29,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,17.3,126.4,0.26,,,0.0,4.6,Good,No,2020-04-17
R000039,2020-07-29,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,16.1,191.7,0.0,1.0,1.0,0.6,7.4,,No,
R000040,2020-07-30,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,2,0,22.2,No,216,44.1,171.9,0.0,1.0,1.0,0.0,5.3,Good,No,
R000041,2020-07-30,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,22.3,120.8,0.91,,,0.0,3.8,,No,2020-07-14
R000042,2020-07-30,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.2,194.4,0.0,1.0,1.0,0.0,3.2,,No,
R000043,2020-09-17,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,23.3,192.7,0.0,2.0,1.0,0.0,8.7,Good,No,
R000044,2020-09-17,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,17.0,126.2,0.75,,,0.0,5.3,Good,No,2020-05-26
R000045,2020-09-17,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,3,0,30.0,No,240,24.7,165.9,0.0,2.0,1.0,0.0,2.7,,No,
R000046,2020-10-07,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,0,0,0.0,No,216,0.0,216.0,0.0,1.0,1.0,0.0,5.5,Good,No,
R000047,2020-10-07,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,0,0,0.0,No,144,0.0,143.7,0.28,,,0.0,9.5,Good,No,2020-06-14
R000048,2020-10-07,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.5,193.5,0.0,1.0,1.0,1.8,5.4,,No,
R000049,2020-10-08,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,21.6,194.4,0.0,1.0,1.0,0.0,4.8,Good,No,
R000050,2020-10-08,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,20.0,123.4,0.62,,,0.0,8.5,Good,No,2020-09-05
R000051,2020-10-08,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.7,192.9,0.0,1.0,1.0,1.1,4.2,,No,
R000052,2020-10-31,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,23.4,192.6,0.0,1.0,1.0,0.0,6.4,Good,No,
R000053,2020-10-31,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,18.9,124.5,0.56,,,0.0,15.0,Good,No,2020-10-07
R000054,2020-10-31,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.9,192.3,0.0,1.0,1.0,1.0,4.7,,No,
R000055,2020-11-01,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.3,193.7,0.0,1.0,1.0,0.0,7.0,Good,No,
R000056,2020-11-01,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,18.8,124.4,0.76,,,0.0,13.3,Good,No,2020-08-04
R000057,2020-11-01,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.3,194.1,0.0,1.0,1.0,1.1,3.5,,No,
R000058,2020-12-15,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.9,193.1,0.0,1.0,1.0,0.0,5.8,Fair,No,
R000059,2020-12-15,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,17.8,125.7,0.52,,,0.0,7.6,Good,No,2020-12-05
R000060,2020-12-15,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.8,192.6,0.0,1.0,1.0,1.4,5.6,,No,
R000061,2021-02-07,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,24.0,192.0,0.0,2.0,1.0,0.0,6.5,Good,No,
R000062,2021-02-07,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,17.1,126.3,0.58,,,0.0,10.3,Fair,No,2020-10-28
R000063,2021-02-07,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,3,0,30.0,No,240,23.6,169.2,0.0,2.0,1.0,0.3,4.7,,No,
R000064,2021-02-08,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.9,193.1,0.0,1.0,1.0,0.0,6.6,Good,No,
R000065,2021-02-08,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,17.8,125.6,0.64,,,0.0,12.0,Fair,No,2020-11-21
R000066,2021-02-08,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,16.7,189.9,0.0,1.0,1.0,0.0,7.6,,No,
R000067,2021-04-15,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,23.0,193.0,0.0,1.0,1.0,0.0,4.7,Good,No,
R000068,2021-04-15,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,20.7,122.7,0.63,,,0.0,2.6,Fair,No,2021-03-07
R000069,2021-04-15,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.8,192.6,0.0,1.0,1.0,1.9,5.3,,No,
R000070,2021-05-21,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.2,193.8,0.0,2.0,1.0,0.0,7.7,Needs Attention,No,
R000071,2021-05-21,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,20.4,123.5,0.13,,,0.0,14.8,Good,No,2021-04-11
R000072,2021-05-21,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,3,0,30.0,No,240,25.1,164.7,0.0,2.0,1.0,0.3,7.1,,No,
R000073,2021-06-01,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.8,193.2,0.0,1.0,1.0,0.0,7.9,Good,No,
R000074,2021-06-01,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,18.4,125.0,0.62,,,0.0,4.4,Needs Attention,No,2021-04-29
R000075,2021-06-01,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.2,194.4,0.0,1.0,1.0,0.0,3.6,,No,
R000076,2021-06-02,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,23.2,192.8,0.0,1.0,1.0,0.0,4.6,Fair,No,
R000077,2021-06-02,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,20.9,122.7,0.43,,,0.0,13.9,Good,No,2021-02-27
R000078,2021-06-02,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,16.6,190.2,0.0,1.0,1.0,1.0,4.3,,No,
R000079,2021-07-09,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.7,193.3,0.0,2.0,1.0,0.0,9.1,Good,No,
R000080,2021-07-09,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,16.9,126.3,0.76,,,0.0,2.1,Good,No,2021-06-18
R000081,2021-07-09,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,3,0,30.0,No,240,24.6,166.2,0.0,2.0,1.0,0.6,6.0,,No,
R000082,2021-07-10,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,23.4,192.6,0.0,1.0,1.0,0.0,6.2,Good,No,
R000083,2021-07-10,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,17.1,126.0,0.87,,,0.0,8.1,Fair,No,2021-06-01
R000084,2021-07-10,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.3,194.1,0.0,1.0,1.0,0.0,6.0,,No,
R000085,2021-07-11,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,0,0,0.0,No,216,0.0,216.0,0.0,1.0,1.0,0.0,6.1,Good,No,
R000086,2021-07-11,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,0,0,0.0,No,144,0.0,143.4,0.64,,,0.0,4.5,Fair,No,2021-04-13
R000087,2021-07-11,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,16.5,190.5,0.0,1.0,1.0,0.5,4.2,,No,
R000088,2021-07-13,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.5,193.5,0.0,1.0,1.0,0.0,6.5,Good,No,
R000089,2021-07-13,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,18.9,123.8,1.28,,,0.0,8.8,Good,No,2021-06-29
R000090,2021-07-13,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.7,192.9,0.0,1.0,1.0,2.1,,,No,
R000091,2021-09-24,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.5,193.5,0.0,2.0,1.0,0.0,7.7,Good,No,
R000092,2021-09-24,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,17.5,126.2,0.34,,,0.0,4.7,Good,No,2021-06-28
R000093,2021-09-24,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,3,0,30.0,No,240,22.9,171.3,0.0,2.0,1.0,2.3,5.6,,No,
R000094,2021-09-25,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.5,193.5,0.0,1.0,1.0,0.0,3.5,Good,No,
R000095,2021-09-25,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,17.6,125.8,0.64,,,0.0,5.9,Good,No,2021-06-22
R000096,2021-09-25,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,16.3,191.1,0.0,1.0,1.0,0.0,2.2,,No,
R000097,2021-10-06,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.7,193.3,0.0,1.0,1.0,0.0,3.4,Good,No,
R000098,2021-10-06,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,22.0,120.5,1.48,,,0.0,8.8,Good,No,2021-09-29
R000099,2021-10-06,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.9,192.3,0.0,1.0,1.0,0.0,2.4,,No,
R000100,2021-10-09,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.8,193.2,0.0,1.0,1.0,0.0,6.3,Good,No,
R000101,2021-10-09,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,19.3,123.9,0.84,,,0.0,13.6,,No,2021-07-28
R000102,2021-10-09,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,16.2,191.4,0.0,1.0,1.0,2.2,5.4,,No,
R000103,2021-10-10,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,21.7,194.3,0.0,1.0,1.0,0.0,6.6,Good,No,
R000104,2021-10-10,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,18.4,124.7,0.89,,,0.0,14.4,Good,No,2021-09-02
R000105,2021-10-10,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,16.4,190.8,0.0,1.0,1.0,0.6,7.4,,No,
R000106,2021-11-27,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,23.9,192.1,0.0,1.0,1.0,0.0,5.5,,No,
R000107,2021-11-27,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,19.2,124.1,0.69,,,0.0,5.5,Fair,No,2021-09-09
R000108,2021-11-27,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,16.4,190.8,0.0,1.0,1.0,2.0,7.9,,No,
R000109,2021-11-28,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,23.3,192.7,0.0,1.0,1.0,0.0,5.9,Good,No,
R000110,2021-11-28,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,21.1,122.7,0.22,,,0.0,2.8,Good,No,2021-10-17
R000111,2021-11-28,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.2,194.4,0.0,1.0,1.0,2.0,4.2,,No,
R000112,2022-02-17,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,23.4,192.6,0.0,1.0,1.0,0.0,6.4,Good,No,
R000113,2022-02-17,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,19.4,124.0,0.56,,,0.0,6.3,Good,No,2021-12-22
R000114,2022-02-17,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,16.1,191.7,0.0,1.0,1.0,1.5,4.7,,No,
R000115,2022-04-28,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.8,193.2,0.0,2.0,1.0,0.0,5.1,Good,No,
R000116,2022-04-28,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,18.0,125.4,0.6,,,0.0,7.0,Good,No,2022-03-05
R000117,2022-04-28,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,3,0,30.0,No,240,25.5,163.5,0.0,2.0,1.0,1.7,6.8,,No,
R000118,2022-06-03,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,23.8,192.2,0.0,2.0,1.0,0.0,3.6,Good,No,
R000119,2022-06-03,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,20.2,122.9,0.91,,,0.0,3.5,Good,No,2022-02-23
R000120,2022-06-03,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,3,0,30.0,No,240,24.8,165.6,0.0,2.0,1.0,0.5,5.1,,No,
R000121,2022-06-16,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,21.6,194.4,0.0,2.0,1.0,0.0,7.7,Good,No,
R000122,2022-06-16,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,18.1,125.9,0.01,,,0.0,2.6,Good,No,2022-04-10
R000123,2022-06-16,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,3,0,30.0,No,240,24.2,167.4,0.0,2.0,1.0,1.4,6.7,,No,
R000124,2022-06-17,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,23.7,192.3,0.0,1.0,1.0,0.0,6.9,Good,No,
R000125,2022-06-17,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,17.3,126.3,0.41,,,0.0,8.8,Good,No,2022-04-20
R000126,2022-06-17,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.4,193.8,0.0,1.0,1.0,0.2,4.9,,No,
R000127,2022-12-19,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.6,193.4,0.0,2.0,1.0,0.0,8.6,Fair,No,
R000128,2022-12-19,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,17.3,126.1,0.59,,,0.0,14.1,,No,2022-09-13
R000129,2022-12-19,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,3,0,30.0,No,240,25.1,164.7,0.0,2.0,1.0,1.3,3.3,,No,
R000130,2022-12-20,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.3,193.7,0.0,1.0,1.0,0.0,4.3,Good,No,
R000131,2022-12-20,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,20.6,123.1,0.35,,,0.0,14.9,Needs Attention,No,2022-10-04
R000132,2022-12-20,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,15.0,195.0,0.0,1.0,1.0,0.1,2.3,,No,
R000133,2023-04-24,H001,MedTrack General Hospital,D001,Emergency Department,Bed,Inpatient Beds,9,1,0,11.1,No,216,22.0,194.0,0.0,1.0,1.0,0.0,5.4,Fair,No,
R000134,2023-04-24,H001,MedTrack General Hospital,D001,Emergency Department,Equipment,Diagnostic & Monitoring Equipment,6,1,0,16.7,No,144,17.9,125.2,0.88,,,0.0,9.2,Good,No,2023-01-14
R000135,2023-04-24,H001,MedTrack General Hospital,D001,Emergency Department,Clinical Staff,Nursing & Physician Staff,10,2,0,20.0,No,240,17.0,189.0,0.0,1.0,1.0,1.7,7.5,,No,
