manufacturer_id,manufacturer_name,country,reliability_rating,contract_status
267,Bahl Llc,Switzerland,4.2,Expired
268,Tara Group,Uk,3.7,Active
269,"Brahmbhatt, Sampath And Narang",India,4.4,Expired
270,Srivastava Inc,Switzerland,4.0,Expired
271,"Nayak, Pant And Arya",India,3.7,Expired
272,"Bora, Mishra And Tara",Switzerland,4.3,Active
273,Dora-Kakar,Usa,4.1,Active
274,Shere Plc,Usa,3.7,Active
275,Raghavan Inc,India,3.8,Active
276,Bakshi-Dora,Germany,3.9,Expired
277,Vora Ltd,Switzerland,4.4,Active
278,Chowdhury Ltd,Usa,3.7,Active
279,"Boase, Mukhopadhyay And Konda",Germany,4.0,Expired
280,"Mangat, Garg And Khatri",Usa,4.7,Active
281,Chakraborty Ltd,Usa,4.5,Expired
282,Kant-Pai,India,4.6,Active
283,"Varughese, Bal And Kuruvilla",Germany,4.5,Active
284,Murthy Llc,India,4.5,Expired
285,"Saxena, Chad And Handa",Uk,4.6,Expired
286,Rau Group,Germany,4.5,Expired
287,Choudhary-Venkatesh,India,4.5,Active
288,Majumdar Ltd,Uk,4.6,Active
289,"Borah, Baral And Kashyap",Switzerland,4.0,Active
290,Chand-Kapur,Germany,4.1,Expired
291,Ahluwalia-Chowdhury,India,4.0,Expired
292,Buch And Sons,Uk,3.8,Expired
293,Pandit Ltd,Usa,4.8,Active
294,"Rai, Apte And Koshy",Germany,3.6,Expired
295,Chauhan-Ram,India,3.9,Expired
296,"Prabhu, Baria And Sengupta",Germany,4.5,Active
297,Balakrishnan-Ravi,Uk,4.2,Expired
298,Subramaniam Inc,Switzerland,4.3,Expired
299,"Chada, Soni And Gandhi",Germany,4.3,Active
300,Manne Llc,Germany,3.5,Expired
