week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,occupancy_rate,refusal_rate
11,3,icu,14,17,14,3,61,50,none,1.0,0.1765
12,3,emergency,28,347,28,319,68,83,flu,1.0,0.9193
12,3,surgery,38,24,24,0,79,73,none,0.6316,0.0
12,3,general_medicine,33,69,33,36,70,98,none,1.0,0.5217
12,3,icu,16,13,13,0,79,94,donation,0.8125,0.0
13,4,emergency,23,142,23,119,77,95,none,1.0,0.838
13,4,surgery,41,54,41,13,75,90,none,1.0,0.2407
13,4,general_medicine,33,72,33,39,73,70,none,1.0,0.5417
13,4,icu,17,12,12,0,66,52,none,0.7059,0.0
14,4,emergency,15,97,15,82,71,71,none,1.0,0.8454
14,4,surgery,33,49,33,16,97,87,none,1.0,0.3265
14,4,general_medicine,51,47,47,0,86,76,none,0.9216,0.0
14,4,icu,10,16,10,6,92,54,none,1.0,0.375
15,4,emergency,17,53,17,36,94,98,none,1.0,0.6792
15,4,surgery,31,124,31,93,65,76,flu,1.0,0.75
15,4,general_medicine,53,179,53,126,90,76,flu,1.0,0.7039
15,4,icu,14,11,11,0,92,52,none,0.7857,0.0
16,4,emergency,23,144,23,121,62,89,none,1.0,0.8403
16,4,surgery,37,28,28,0,82,31,strike,0.7568,0.0
16,4,general_medicine,39,41,39,2,85,66,none,1.0,0.0488
16,4,icu,18,15,15,0,98,78,none,0.8333,0.0
17,5,emergency,21,133,21,112,84,73,none,1.0,0.8421
17,5,surgery,40,23,23,0,95,94,none,0.575,0.0
17,5,general_medicine,33,76,33,43,75,63,none,1.0,0.5658
17,5,icu,14,17,14,3,87,83,none,1.0,0.1765
18,5,emergency,18,100,18,82,81,80,donation,1.0,0.82
18,5,surgery,43,36,36,0,81,98,none,0.8372,0.0
18,5,general_medicine,31,25,25,0,96,62,strike,0.8065,0.0
18,5,icu,12,9,9,0,63,55,none,0.75,0.0
19,5,emergency,16,70,16,54,99,45,strike,1.0,0.7714
19,5,surgery,42,44,42,2,78,66,none,1.0,0.0455
19,5,general_medicine,43,60,43,17,85,86,none,1.0,0.2833
19,5,icu,14,17,14,3,68,61,none,1.0,0.1765
20,5,emergency,21,45,21,24,93,81,none,1.0,0.5333
20,5,surgery,31,39,31,8,99,94,none,1.0,0.2051
20,5,general_medicine,40,70,40,30,64,71,none,1.0,0.4286
20,5,icu,10,14,10,4,85,65,none,1.0,0.2857
21,6,emergency,18,95,18,77,88,63,none,1.0,0.8105
21,6,surgery,30,44,30,14,64,67,donation,1.0,0.3182
21,6,general_medicine,45,70,45,25,95,82,none,1.0,0.3571
21,6,icu,12,9,9,0,69,54,none,0.75,0.0
22,6,emergency,16,129,16,113,69,68,none,1.0,0.876
22,6,surgery,18,21,18,3,63,65,none,1.0,0.1429
22,6,general_medicine,46,36,36,0,87,88,donation,0.7826,0.0
22,6,icu,9,6,6,0,92,82,none,0.6667,0.0
23,6,emergency,22,54,22,32,62,50,none,1.0,0.5926
23,6,surgery,26,43,26,17,72,61,none,1.0,0.3953
23,6,general_medicine,27,81,27,54,94,77,donation,1.0,0.6667
23,6,icu,17,12,12,0,85,83,none,0.7059,0.0
24,6,emergency,18,105,18,87,70,78,none,1.0,0.8286
24,6,surgery,39,21,21,0,95,39,strike,0.5385,0.0
24,6,general_medicine,47,66,47,19,94,97,none,1.0,0.2879
24,6,icu,9,9,9,0,91,73,none,1.0,0.0
25,7,emergency,15,48,15,33,72,72,none,1.0,0.6875
25,7,surgery,22,39,22,17,76,98,none,1.0,0.4359
25,7,general_medicine,36,51,36,15,81,62,none,1.0,0.2941
25,7,icu,8,6,6,0,71,90,none,0.75,0.0
26,7,emergency,18,96,18,78,87,63,none,1.0,0.8125
26,7,surgery,31,30,30,0,75,54,none,0.9677,0.0
26,7,general_medicine,43,72,43,29,80,85,none,1.0,0.4028
26,7,icu,14,8,8,0,98,63,none,0.5714,0.0
27,7,emergency,15,67,15,52,82,78,none,1.0,0.7761
27,7,surgery,29,24,24,0,68,59,none,0.8276,0.0
27,7,general_medicine,36,61,36,25,66,95,none,1.0,0.4098
27,7,icu,15,10,10,0,86,51,none,0.6667,0.0
28,7,emergency,15,69,15,54,78,66,donation,1.0,0.7826
28,7,surgery,31,28,28,0,66,74,none,0.9032,0.0
28,7,general_medicine,26,36,26,10,90,68,none,1.0,0.2778
28,7,icu,12,8,8,0,86,59,none,0.6667,0.0
29,8,emergency,16,92,16,76,72,99,none,1.0,0.8261
29,8,surgery,36,31,31,0,87,57,none,0.8611,0.0
29,8,general_medicine,30,62,30,32,60,52,none,1.0,0.5161
29,8,icu,14,15,14,1,84,82,none,1.0,0.0667
30,8,emergency,16,85,16,69,91,94,none,1.0,0.8118
30,8,surgery,32,15,15,0,70,66,strike,0.4688,0.0
30,8,general_medicine,38,47,38,9,77,96,none,1.0,0.1915
30,8,icu,8,7,7,0,62,65,none,0.875,0.0
31,8,emergency,20,48,20,28,69,81,none,1.0,0.5833
31,8,surgery,20,24,20,4,83,86,donation,1.0,0.1667
31,8,general_medicine,45,60,45,15,85,57,none,1.0,0.25
31,8,icu,8,12,8,4,87,86,none,1.0,0.3333
32,8,emergency,20,89,20,69,76,58,none,1.0,0.7753
32,8,surgery,31,25,25,0,87,97,none,0.8065,0.0
32,8,general_medicine,34,59,34,25,65,67,none,1.0,0.4237
32,8,icu,11,15,11,4,84,51,none,1.0,0.2667
33,9,emergency,28,54,28,26,92,56,donation,1.0,0.4815
33,9,surgery,36,30,30,0,80,75,none,0.8333,0.0
33,9,general_medicine,51,98,51,47,86,98,none,1.0,0.4796
33,9,icu,11,13,11,2,94,50,none,1.0,0.1538
34,9,emergency,21,31,21,10,64,60,strike,1.0,0.3226
34,9,surgery,22,42,22,20,96,86,none,1.0,0.4762
34,9,general_medicine,48,56,48,8,80,63,none,1.0,0.1429
34,9,icu,10,7,7,0,72,53,none,0.7,0.0
35,9,emergency,15,81,15,66,93,77,none,1.0,0.8148
35,9,surgery,26,45,26,19,93,52,none,1.0,0.4222
35,9,general_medicine,41,40,40,0,64,79,none,0.9756,0.0
35,9,icu,18,5,5,0,82,64,none,0.2778,0.0
36,9,emergency,28,115,28,87,70,88,none,1.0,0.7565
36,9,surgery,47,53,47,6,97,99,none,1.0,0.1132
36,9,general_medicine,59,54,54,0,86,83,none,0.9153,0.0
36,9,icu,15,5,5,0,83,64,none,0.3333,0.0
37,10,emergency,23,110,23,87,76,54,none,1.0,0.7909
37,10,surgery,31,39,31,8,69,66,none,1.0,0.2051
37,10,general_medicine,58,48,48,0,93,55,none,0.8276,0.0
37,10,icu,13,20,13,7,82,65,none,1.0,0.35
38,10,emergency,22,71,22,49,67,53,none,1.0,0.6901
38,10,surgery,47,48,47,1,62,81,none,1.0,0.0208
38,10,general_medicine,63,78,63,15,78,70,none,1.0,0.1923
38,10,icu,20,18,18,0,81,70,none,0.9,0.0
39,10,emergency,20,67,20,47,85,95,none,1.0,0.7015
39,10,surgery,36,49,36,13,86,58,none,1.0,0.2653
39,10,general_medicine,48,59,48,11,89,72,strike,1.0,0.1864
39,10,icu,11,15,11,4,95,50,none,1.0,0.2667
40,10,emergency,18,57,18,39,81,43,strike,1.0,0.6842
40,10,surgery,46,36,36,0,83,51,none,0.7826,0.0
40,10,general_medicine,47,107,47,60,66,52,none,1.0,0.5607
40,10,icu,12,15,12,3,97,84,none,1.0,0.2
41,11,emergency,27,92,27,65,69,88,none,1.0,0.7065
41,11,surgery,31,49,31,18,85,93,none,1.0,0.3673
41,11,general_medicine,50,70,50,20,84,53,none,1.0,0.2857
41,11,icu,21,20,20,0,77,96,none,0.9524,0.0
42,11,emergency,24,99,24,75,67,89,none,1.0,0.7576
42,11,surgery,45,67,45,22,65,75,none,1.0,0.3284
42,11,general_medicine,67,114,67,47,65,86,none,1.0,0.4123
42,11,icu,16,12,12,0,80,55,none,0.75,0.0
43,11,emergency,21,171,21,150,70,79,none,1.0,0.8772
43,11,surgery,50,33,33,0,62,89,donation,0.66,0.0
43,11,general_medicine,42,49,42,7,79,77,none,1.0,0.1429
43,11,icu,18,12,12,0,89,87,none,0.6667,0.0
44,11,emergency,27,138,27,111,74,60,none,1.0,0.8043
44,11,surgery,45,28,28,0,65,75,none,0.6222,0.0
44,11,general_medicine,57,70,57,13,92,69,none,1.0,0.1857
44,11,icu,12,16,12,4,73,87,none,1.0,0.25
45,12,emergency,32,193,32,161,72,92,none,1.0,0.8342
45,12,surgery,32,37,32,5,64,72,none,1.0,0.1351
45,12,general_medicine,40,67,40,27,99,51,none,1.0,0.403
45,12,icu,18,42,18,24,70,54,flu,1.0,0.5714
46,12,emergency,36,187,36,151,64,93,none,1.0,0.8075
46,12,surgery,52,39,39,0,68,83,none,0.75,0.0
46,12,general_medicine,41,29,29,0,81,58,strike,0.7073,0.0
46,12,icu,23,28,23,5,89,75,flu,1.0,0.1786
47,12,emergency,22,91,22,69,63,54,strike,1.0,0.7582
47,12,surgery,57,48,48,0,99,57,none,0.8421,0.0
47,12,general_medicine,55,92,55,37,97,82,none,1.0,0.4022
47,12,icu,13,16,13,3,76,82,none,1.0,0.1875
48,12,emergency,20,165,20,145,99,89,none,1.0,0.8788
48,12,surgery,49,32,32,0,65,52,none,0.6531,0.0
48,12,general_medicine,48,105,48,57,74,96,none,1.0,0.5429
48,12,icu,16,23,16,7,98,76,none,1.0,0.3043
49,12,emergency,26,137,26,111,92,86,none,1.0,0.8102
49,12,surgery,26,29,26,3,81,51,none,1.0,0.1034
49,12,general_medicine,72,63,63,0,92,87,none,0.875,0.0
49,12,icu,16,22,16,6,83,64,none,1.0,0.2727
50,12,emergency,24,101,24,77,63,61,none,1.0,0.7624
50,12,surgery,59,65,59,6,95,85,none,1.0,0.0923
50,12,general_medicine,72,57,57,0,79,60,none,0.7917,0.0
50,12,icu,22,13,13,0,65,57,none,0.5909,0.0
51,12,emergency,31,123,31,92,71,75,none,1.0,0.748
51,12,surgery,63,48,48,0,84,82,none,0.7619,0.0
51,12,general_medicine,74,285,74,211,95,89,flu,1.0,0.7404
51,12,icu,18,15,15,0,87,80,none,0.8333,0.0
52,12,emergency,26,130,26,104,88,63,none,1.0,0.8
52,12,surgery,53,39,39,0,82,50,none,0.7358,0.0
52,12,general_medicine,65,225,65,160,82,40,flu,1.0,0.7111
52,12,icu,22,24,22,2,80,96,none,1.0,0.0833
