resource_utilization_id,week,department_name,resource_type,resource_category,total_units_available,units_in_use,utilization_rate_pct
RES-00206,26,emergency,nurse,staff,22,20,90.9
RES-00207,26,emergency,nursing_assistant,staff,9,8,88.9
RES-00208,26,general_medicine,doctor,staff,5,4,80.0
RES-00209,26,general_medicine,nurse,staff,16,15,93.8
RES-00210,26,general_medicine,nursing_assistant,staff,7,6,85.7
RES-00211,26,icu,doctor,staff,6,6,100.0
RES-00212,26,icu,nurse,staff,19,18,94.7
RES-00213,26,icu,nursing_assistant,staff,9,9,100.0
RES-00214,26,surgery,doctor,staff,3,3,100.0
RES-00215,26,surgery,nurse,staff,16,16,100.0
RES-00216,26,surgery,nursing_assistant,staff,6,6,100.0
RES-00217,28,emergency,doctor,staff,8,7,87.5
RES-00218,28,emergency,nurse,staff,22,20,90.9
RES-00219,28,emergency,nursing_assistant,staff,9,9,100.0
RES-00220,28,general_medicine,doctor,staff,5,3,60.0
RES-00221,28,general_medicine,nurse,staff,16,16,100.0
RES-00222,28,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00223,28,icu,doctor,staff,6,4,66.7
RES-00224,28,icu,nurse,staff,19,18,94.7
RES-00225,28,icu,nursing_assistant,staff,9,8,88.9
RES-00226,28,surgery,doctor,staff,3,2,66.7
RES-00227,28,surgery,nurse,staff,16,16,100.0
RES-00228,28,surgery,nursing_assistant,staff,6,6,100.0
RES-00229,29,emergency,doctor,staff,8,6,75.0
RES-00230,29,emergency,nurse,staff,22,20,90.9
RES-00231,29,emergency,nursing_assistant,staff,9,6,66.7
RES-00232,29,general_medicine,doctor,staff,5,4,80.0
RES-00233,29,general_medicine,nurse,staff,16,16,100.0
RES-00234,29,general_medicine,nursing_assistant,staff,7,6,85.7
RES-00235,29,icu,doctor,staff,6,6,100.0
RES-00236,29,icu,nurse,staff,19,18,94.7
RES-00237,29,icu,nursing_assistant,staff,9,9,100.0
RES-00238,29,surgery,doctor,staff,3,3,100.0
RES-00239,29,surgery,nurse,staff,16,15,93.8
RES-00240,29,surgery,nursing_assistant,staff,6,6,100.0
RES-00241,31,emergency,doctor,staff,8,5,62.5
RES-00242,31,emergency,nurse,staff,22,20,90.9
RES-00243,31,emergency,nursing_assistant,staff,9,7,77.8
RES-00244,31,general_medicine,doctor,staff,5,4,80.0
RES-00245,31,general_medicine,nurse,staff,16,13,81.2
RES-00246,31,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00247,31,icu,doctor,staff,6,6,100.0
RES-00248,31,icu,nurse,staff,19,17,89.5
RES-00249,31,icu,nursing_assistant,staff,9,8,88.9
RES-00250,31,surgery,doctor,staff,3,3,100.0
RES-00251,31,surgery,nurse,staff,16,12,75.0
RES-00252,31,surgery,nursing_assistant,staff,6,6,100.0
RES-00253,32,emergency,doctor,staff,8,8,100.0
RES-00254,32,emergency,nurse,staff,22,16,72.7
RES-00255,32,emergency,nursing_assistant,staff,9,9,100.0
RES-00256,32,general_medicine,doctor,staff,5,4,80.0
RES-00257,32,general_medicine,nurse,staff,16,14,87.5
RES-00258,32,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00259,32,icu,doctor,staff,6,6,100.0
RES-00260,32,icu,nurse,staff,19,17,89.5
RES-00261,32,icu,nursing_assistant,staff,9,7,77.8
RES-00262,32,surgery,doctor,staff,3,2,66.7
RES-00263,32,surgery,nurse,staff,16,16,100.0
RES-00264,32,surgery,nursing_assistant,staff,6,5,83.3
RES-00265,34,emergency,doctor,staff,8,5,62.5
RES-00266,34,emergency,nurse,staff,22,19,86.4
RES-00267,34,emergency,nursing_assistant,staff,9,7,77.8
RES-00268,34,general_medicine,doctor,staff,5,5,100.0
RES-00269,34,general_medicine,nurse,staff,16,15,93.8
RES-00270,34,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00271,34,icu,doctor,staff,6,6,100.0
RES-00272,34,icu,nurse,staff,19,17,89.5
RES-00273,34,icu,nursing_assistant,staff,9,8,88.9
RES-00274,34,surgery,doctor,staff,3,2,66.7
RES-00275,34,surgery,nurse,staff,16,15,93.8
RES-00276,34,surgery,nursing_assistant,staff,6,6,100.0
RES-00277,35,emergency,doctor,staff,8,7,87.5
RES-00278,35,emergency,nurse,staff,22,18,81.8
RES-00279,35,emergency,nursing_assistant,staff,9,9,100.0
RES-00280,35,general_medicine,doctor,staff,5,3,60.0
RES-00281,35,general_medicine,nurse,staff,16,13,81.2
RES-00282,35,general_medicine,nursing_assistant,staff,7,6,85.7
RES-00283,35,icu,doctor,staff,6,6,100.0
RES-00284,35,icu,nurse,staff,19,17,89.5
RES-00285,35,icu,nursing_assistant,staff,9,8,88.9
RES-00286,35,surgery,doctor,staff,3,3,100.0
RES-00287,35,surgery,nurse,staff,16,14,87.5
RES-00288,35,surgery,nursing_assistant,staff,6,5,83.3
RES-00289,37,emergency,doctor,staff,8,6,75.0
RES-00290,37,emergency,nurse,staff,22,21,95.5
RES-00291,37,emergency,nursing_assistant,staff,9,8,88.9
RES-00292,37,general_medicine,doctor,staff,5,5,100.0
RES-00293,37,general_medicine,nurse,staff,16,14,87.5
RES-00294,37,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00295,37,icu,doctor,staff,6,4,66.7
RES-00296,37,icu,nurse,staff,19,14,73.7
RES-00297,37,icu,nursing_assistant,staff,9,8,88.9
RES-00298,37,surgery,doctor,staff,3,3,100.0
RES-00299,37,surgery,nurse,staff,16,15,93.8
RES-00300,37,surgery,nursing_assistant,staff,6,6,100.0
RES-00301,38,emergency,doctor,staff,8,5,62.5
RES-00302,38,emergency,nurse,staff,22,22,100.0
RES-00303,38,emergency,nursing_assistant,staff,9,8,88.9
RES-00304,38,general_medicine,doctor,staff,5,4,80.0
RES-00305,38,general_medicine,nurse,staff,16,15,93.8
RES-00306,38,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00307,38,icu,doctor,staff,6,6,100.0
RES-00308,38,icu,nurse,staff,19,19,100.0
RES-00309,38,icu,nursing_assistant,staff,9,8,88.9
RES-00310,38,surgery,doctor,staff,3,3,100.0
RES-00311,38,surgery,nurse,staff,16,13,81.2
RES-00312,38,surgery,nursing_assistant,staff,6,6,100.0
RES-00313,40,emergency,doctor,staff,8,8,100.0
RES-00314,40,emergency,nurse,staff,22,20,90.9
RES-00315,40,emergency,nursing_assistant,staff,9,8,88.9
RES-00316,40,general_medicine,doctor,staff,5,4,80.0
RES-00317,40,general_medicine,nurse,staff,16,14,87.5
RES-00318,40,general_medicine,nursing_assistant,staff,7,5,71.4
RES-00319,40,icu,doctor,staff,6,6,100.0
RES-00320,40,icu,nurse,staff,19,14,73.7
RES-00321,40,icu,nursing_assistant,staff,9,8,88.9
RES-00322,40,surgery,doctor,staff,3,3,100.0
RES-00323,40,surgery,nurse,staff,16,14,87.5
RES-00324,40,surgery,nursing_assistant,staff,6,6,100.0
RES-00325,41,emergency,doctor,staff,8,8,100.0
RES-00326,41,emergency,nurse,staff,22,21,95.5
RES-00327,41,emergency,nursing_assistant,staff,9,8,88.9
RES-00328,41,general_medicine,doctor,staff,5,5,100.0
RES-00329,41,general_medicine,nurse,staff,16,16,100.0
RES-00330,41,general_medicine,nursing_assistant,staff,7,5,71.4
RES-00331,41,icu,doctor,staff,6,5,83.3
RES-00332,41,icu,nurse,staff,19,18,94.7
RES-00333,41,icu,nursing_assistant,staff,9,8,88.9
RES-00334,41,surgery,doctor,staff,3,3,100.0
RES-00335,41,surgery,nurse,staff,16,15,93.8
RES-00336,41,surgery,nursing_assistant,staff,6,6,100.0
RES-00337,43,emergency,doctor,staff,8,8,100.0
RES-00338,43,emergency,nurse,staff,22,19,86.4
RES-00339,43,emergency,nursing_assistant,staff,9,8,88.9
RES-00340,43,general_medicine,doctor,staff,5,4,80.0
RES-00341,43,general_medicine,nurse,staff,16,15,93.8
RES-00342,43,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00343,43,icu,doctor,staff,6,6,100.0
RES-00344,43,icu,nurse,staff,19,18,94.7
RES-00345,43,icu,nursing_assistant,staff,9,8,88.9
RES-00346,43,surgery,doctor,staff,3,3,100.0
RES-00347,43,surgery,nurse,staff,16,11,68.8
RES-00348,43,surgery,nursing_assistant,staff,6,5,83.3
RES-00349,44,emergency,doctor,staff,8,8,100.0
RES-00350,44,emergency,nurse,staff,22,19,86.4
RES-00351,44,emergency,nursing_assistant,staff,9,9,100.0
RES-00352,44,general_medicine,doctor,staff,5,3,60.0
RES-00353,44,general_medicine,nurse,staff,16,13,81.2
RES-00354,44,general_medicine,nursing_assistant,staff,7,6,85.7
RES-00355,44,icu,doctor,staff,6,6,100.0
RES-00356,44,icu,nurse,staff,19,19,100.0
RES-00357,44,icu,nursing_assistant,staff,9,9,100.0
RES-00358,44,surgery,doctor,staff,3,2,66.7
RES-00359,44,surgery,nurse,staff,16,14,87.5
RES-00360,44,surgery,nursing_assistant,staff,6,4,66.7
RES-00361,46,emergency,doctor,staff,8,7,87.5
RES-00362,46,emergency,nurse,staff,22,18,81.8
RES-00363,46,emergency,nursing_assistant,staff,9,6,66.7
RES-00364,46,general_medicine,doctor,staff,5,3,60.0
RES-00365,46,general_medicine,nurse,staff,16,15,93.8
RES-00366,46,general_medicine,nursing_assistant,staff,7,6,85.7
RES-00367,46,icu,doctor,staff,6,6,100.0
RES-00368,46,icu,nurse,staff,19,17,89.5
RES-00369,46,icu,nursing_assistant,staff,9,7,77.8
RES-00370,46,surgery,doctor,staff,3,3,100.0
RES-00371,46,surgery,nurse,staff,16,16,100.0
RES-00372,46,surgery,nursing_assistant,staff,6,5,83.3
RES-00373,47,emergency,doctor,staff,8,7,87.5
RES-00374,47,emergency,nurse,staff,22,21,95.5
RES-00375,47,emergency,nursing_assistant,staff,9,9,100.0
RES-00376,47,general_medicine,doctor,staff,5,4,80.0
RES-00377,47,general_medicine,nurse,staff,16,12,75.0
RES-00378,47,general_medicine,nursing_assistant,staff,7,6,85.7
RES-00379,47,icu,doctor,staff,6,4,66.7
RES-00380,47,icu,nurse,staff,19,17,89.5
RES-00381,47,icu,nursing_assistant,staff,9,8,88.9
RES-00382,47,surgery,doctor,staff,3,3,100.0
RES-00383,47,surgery,nurse,staff,16,15,93.8
RES-00384,47,surgery,nursing_assistant,staff,6,6,100.0
RES-00385,49,emergency,doctor,staff,8,8,100.0
RES-00386,49,emergency,nurse,staff,22,21,95.5
RES-00387,49,emergency,nursing_assistant,staff,9,8,88.9
RES-00388,49,general_medicine,doctor,staff,5,5,100.0
RES-00389,49,general_medicine,nurse,staff,16,14,87.5
RES-00390,49,general_medicine,nursing_assistant,staff,7,6,85.7
RES-00391,49,icu,doctor,staff,6,5,83.3
RES-00392,49,icu,nurse,staff,19,18,94.7
RES-00393,49,icu,nursing_assistant,staff,9,9,100.0
RES-00394,49,surgery,doctor,staff,3,3,100.0
RES-00395,49,surgery,nurse,staff,16,15,93.8
RES-00396,49,surgery,nursing_assistant,staff,6,6,100.0
RES-00397,50,emergency,doctor,staff,8,8,100.0
RES-00398,50,emergency,nurse,staff,22,21,95.5
RES-00399,50,emergency,nursing_assistant,staff,9,9,100.0
RES-00400,50,general_medicine,doctor,staff,5,5,100.0
RES-00401,50,general_medicine,nurse,staff,16,13,81.2
RES-00402,50,general_medicine,nursing_assistant,staff,7,5,71.4
RES-00403,50,icu,doctor,staff,6,4,66.7
RES-00404,50,icu,nurse,staff,19,18,94.7
RES-00405,50,icu,nursing_assistant,staff,9,8,88.9
RES-00406,50,surgery,doctor,staff,3,3,100.0
RES-00407,50,surgery,nurse,staff,16,14,87.5
RES-00408,50,surgery,nursing_assistant,staff,6,4,66.7
RES-00409,52,emergency,doctor,staff,8,8,100.0
RES-00410,52,emergency,nurse,staff,22,19,86.4
RES-00411,52,emergency,nursing_assistant,staff,9,9,100.0
RES-00412,52,general_medicine,doctor,staff,5,4,80.0
RES-00413,52,general_medicine,nurse,staff,16,12,75.0
RES-00414,52,general_medicine,nursing_assistant,staff,7,7,100.0
RES-00415,52,icu,doctor,staff,6,5,83.3
RES-00416,52,icu,nurse,staff,19,18,94.7
RES-00417,52,icu,nursing_assistant,staff,9,6,66.7
RES-00418,52,surgery,doctor,staff,3,2,66.7
RES-00419,52,surgery,nurse,staff,16,13,81.2
RES-00420,52,surgery,nursing_assistant,staff,6,5,83.3
RES-00421,1,emergency,bed,bed,32,32,100.0
RES-00422,1,surgery,bed,bed,45,45,100.0
RES-00423,1,general_medicine,bed,bed,37,37,100.0
RES-00424,1,icu,bed,bed,22,22,100.0
RES-00425,2,emergency,bed,bed,28,28,100.0
RES-00426,2,surgery,bed,bed,40,26,65.0
RES-00427,2,general_medicine,bed,bed,43,43,100.0
RES-00428,2,icu,bed,bed,16,7,43.8
RES-00429,3,emergency,bed,bed,32,32,100.0
RES-00430,3,surgery,bed,bed,27,27,100.0
RES-00431,3,general_medicine,bed,bed,37,37,100.0
RES-00432,3,icu,bed,bed,20,20,100.0
RES-00433,4,emergency,bed,bed,32,32,100.0
RES-00434,4,surgery,bed,bed,56,56,100.0
RES-00435,4,general_medicine,bed,bed,43,43,100.0
RES-00436,4,icu,bed,bed,20,20,100.0
RES-00437,5,emergency,bed,bed,25,25,100.0
RES-00438,5,surgery,bed,bed,26,26,100.0
RES-00439,5,general_medicine,bed,bed,40,40,100.0
RES-00440,5,icu,bed,bed,22,13,59.1
RES-00441,6,emergency,bed,bed,34,34,100.0
RES-00442,6,surgery,bed,bed,27,27,100.0
RES-00443,6,general_medicine,bed,bed,69,69,100.0
RES-00444,6,icu,bed,bed,14,12,85.7
RES-00445,7,emergency,bed,bed,33,33,100.0
RES-00446,7,surgery,bed,bed,37,37,100.0
RES-00447,7,general_medicine,bed,bed,62,62,100.0
RES-00448,7,icu,bed,bed,21,21,100.0
RES-00449,8,emergency,bed,bed,26,26,100.0
RES-00450,8,surgery,bed,bed,51,20,39.2
RES-00451,8,general_medicine,bed,bed,58,58,100.0
RES-00452,8,icu,bed,bed,12,10,83.3
RES-00453,9,emergency,bed,bed,28,28,100.0
RES-00454,9,surgery,bed,bed,22,22,100.0
RES-00455,9,general_medicine,bed,bed,38,38,100.0
RES-00456,9,icu,bed,bed,11,11,100.0
RES-00457,10,emergency,bed,bed,17,17,100.0
RES-00458,10,surgery,bed,bed,38,38,100.0
RES-00459,10,general_medicine,bed,bed,35,35,100.0
RES-00460,10,icu,bed,bed,13,8,61.5
RES-00461,11,emergency,bed,bed,16,16,100.0
RES-00462,11,surgery,bed,bed,48,48,100.0
RES-00463,11,general_medicine,bed,bed,35,35,100.0
RES-00464,11,icu,bed,bed,14,14,100.0
RES-00465,12,emergency,bed,bed,28,28,100.0
RES-00466,12,surgery,bed,bed,38,24,63.2
RES-00467,12,general_medicine,bed,bed,33,33,100.0
RES-00468,12,icu,bed,bed,16,13,81.2
RES-00469,13,emergency,bed,bed,23,23,100.0
RES-00470,13,surgery,bed,bed,41,41,100.0
RES-00471,13,general_medicine,bed,bed,33,33,100.0
RES-00472,13,icu,bed,bed,17,12,70.6
RES-00473,14,emergency,bed,bed,15,15,100.0
RES-00474,14,surgery,bed,bed,33,33,100.0
RES-00475,14,general_medicine,bed,bed,51,47,92.2
RES-00476,14,icu,bed,bed,10,10,100.0
RES-00477,15,emergency,bed,bed,17,17,100.0
RES-00478,15,surgery,bed,bed,31,31,100.0
RES-00479,15,general_medicine,bed,bed,53,53,100.0
RES-00480,15,icu,bed,bed,14,11,78.6
RES-00481,16,emergency,bed,bed,23,23,100.0
RES-00482,16,surgery,bed,bed,37,28,75.7
RES-00483,16,general_medicine,bed,bed,39,39,100.0
RES-00484,16,icu,bed,bed,18,15,83.3
RES-00485,17,emergency,bed,bed,21,21,100.0
RES-00486,17,surgery,bed,bed,40,23,57.5
RES-00487,17,general_medicine,bed,bed,33,33,100.0
RES-00488,17,icu,bed,bed,14,14,100.0
RES-00489,18,emergency,bed,bed,18,18,100.0
RES-00490,18,surgery,bed,bed,43,36,83.7
RES-00491,18,general_medicine,bed,bed,31,25,80.6
RES-00492,18,icu,bed,bed,12,9,75.0
