resource_utilization_id,date,hospital_id,hospital_name,department_id,department_name,resource_type,resource_category,total_units_available,units_in_use,units_under_maintenance,utilization_rate_pct,shortage_flag,capacity_hours,utilized_hours,idle_hours,downtime_hours,nurses_on_duty_snapshot,doctors_on_duty_snapshot,overtime_hours,avg_response_time_minutes,resource_condition,maintenance_due_flag,last_maintenance_date
R0064,2026-05-16,H001,CityCare General Hospital,D01,emergency department,Bed,ICU Bed,42,21,2,50.0,0,24,12.0,12.0,0.16,8,5,3.66,4.94,Fair,0,2026-01-20
R0065,2026-05-21,H002,Green Valley Medical Center,D06,pediatrics,Equipment,Ventilator,24,10,3,41.67,0,24,10.0,14.0,0.44,6,5,0.31,16.86,Good,0,2026-04-17
R0066,2026-05-26,H003,Sunrise Multi-Specialty Hospital,D04,orthopedics,Clinical Staff,Doctors,12,4,1,33.33,0,12,4.0,8.0,0.26,6,1,2.95,22.67,Good,0,2026-02-26
R0067,2026-05-31,H001,CityCare General Hospital,D02,general medicine,Bed,Private Bed,16,8,1,50.0,0,24,12.0,12.0,1.33,13,3,3.81,14.35,Fair,0,2026-03-12
R0068,2026-06-05,H002,Green Valley Medical Center,D07,general surgery,Equipment,X-Ray Unit,18,11,1,61.11,0,24,14.67,9.33,3.43,3,2,4.04,15.15,Good,0,2026-02-17
R0069,2026-06-10,H003,Sunrise Multi-Specialty Hospital,D05,icu,Clinical Staff,Nursing Staff,14,6,0,42.86,0,12,5.14,6.86,0.6,11,3,1.05,15.29,Needs Maintenance,1,2026-03-11
R0070,2026-06-15,H001,CityCare General Hospital,D03,cardiology,Bed,Semi-Private Bed,38,31,0,81.58,0,24,19.58,4.42,2.52,10,3,0.36,13.62,Fair,0,2026-05-11
R0071,2026-06-20,H002,Green Valley Medical Center,D01,emergency department,Equipment,Infusion Pump,14,12,0,85.71,0,24,20.57,3.43,2.13,9,3,2.85,16.04,Fair,0,2026-05-13
R0072,2026-06-25,H003,Sunrise Multi-Specialty Hospital,D06,pediatrics,Clinical Staff,Doctors,29,18,4,62.07,0,12,7.45,4.55,0.32,7,5,2.14,22.55,Good,0,2026-04-01
R0073,2026-01-01,H001,CityCare General Hospital,D04,orthopedics,Bed,General Bed,50,39,3,78.0,0,24,18.72,5.28,0.78,5,3,2.47,20.62,Good,0,2025-11-16
R0074,2026-01-06,H002,Green Valley Medical Center,D02,general medicine,Equipment,Patient Monitor,9,4,1,44.44,0,24,10.67,13.33,0.43,13,1,3.95,24.39,Good,0,2025-09-30
R0075,2026-01-11,H003,Sunrise Multi-Specialty Hospital,D07,general surgery,Clinical Staff,Nursing Staff,29,17,1,58.62,0,12,7.03,4.97,1.19,6,2,2.3,24.22,Fair,0,2025-12-09
R0076,2026-01-16,H001,CityCare General Hospital,D05,icu,Bed,ICU Bed,18,11,0,61.11,0,24,14.67,9.33,4.88,6,4,4.07,21.9,Good,0,2025-12-06
R0077,2026-01-21,H002,Green Valley Medical Center,D03,cardiology,Equipment,Ventilator,19,12,2,63.16,0,24,15.16,8.84,3.24,12,3,4.76,20.44,Good,0,2025-12-03
R0078,2026-01-26,H003,Sunrise Multi-Specialty Hospital,D01,emergency department,Clinical Staff,Doctors,8,5,1,62.5,0,12,7.5,4.5,1.24,10,3,3.11,3.43,Good,1,2025-10-06
R0079,2026-01-31,H001,CityCare General Hospital,D06,pediatrics,Bed,Private Bed,40,36,0,90.0,1,24,21.6,2.4,0.95,14,5,0.98,20.7,Good,0,2025-10-23
R0080,2026-02-05,H002,Green Valley Medical Center,D04,orthopedics,Equipment,X-Ray Unit,10,6,2,60.0,0,24,14.4,9.6,2.53,4,1,0.77,7.83,Fair,0,2025-10-10
R0081,2026-02-10,H003,Sunrise Multi-Specialty Hospital,D02,general medicine,Clinical Staff,Nursing Staff,10,10,0,100.0,1,12,12.0,0.0,1.09,9,5,3.63,8.75,Needs Maintenance,1,2025-12-04
R0082,2026-02-15,H001,CityCare General Hospital,D07,general surgery,Bed,Semi-Private Bed,31,24,2,77.42,0,24,18.58,5.42,3.58,10,3,4.81,11.48,Fair,0,2025-12-26
R0083,2026-02-20,H002,Green Valley Medical Center,D05,icu,Equipment,Infusion Pump,9,7,1,77.78,0,24,18.67,5.33,2.42,13,4,2.15,16.42,Fair,0,2026-01-12
R0084,2026-02-25,H003,Sunrise Multi-Specialty Hospital,D03,cardiology,Clinical Staff,Doctors,14,8,1,57.14,0,12,6.86,5.14,1.43,4,4,2.4,6.26,Good,0,2026-02-05
R0085,2026-03-02,H001,CityCare General Hospital,D01,emergency department,Bed,General Bed,20,12,0,60.0,0,24,14.4,9.6,0.35,14,4,0.31,11.85,Good,0,2026-02-20
R0086,2026-03-07,H002,Green Valley Medical Center,D06,pediatrics,Equipment,Patient Monitor,17,9,0,52.94,0,24,12.71,11.29,0.81,6,5,3.64,15.13,Good,0,2025-12-19
R0087,2026-03-12,H003,Sunrise Multi-Specialty Hospital,D04,orthopedics,Clinical Staff,Nursing Staff,25,13,4,52.0,0,12,6.24,5.76,0.0,12,3,1.58,15.86,Good,0,2026-02-03
R0088,2026-03-17,H001,CityCare General Hospital,D02,general medicine,Bed,ICU Bed,36,21,2,58.33,0,24,14.0,10.0,1.75,3,2,4.95,23.58,Good,0,2026-02-27
R0089,2026-03-22,H002,Green Valley Medical Center,D07,general surgery,Equipment,Ventilator,15,2,1,13.33,0,24,3.2,20.8,0.24,4,4,1.2,9.94,Good,0,2025-11-22
R0090,2026-03-27,H003,Sunrise Multi-Specialty Hospital,D05,icu,Clinical Staff,Doctors,7,6,0,85.71,0,12,10.29,1.71,0.89,6,5,3.18,20.42,Good,0,2026-02-28
R0091,2026-04-01,H001,CityCare General Hospital,D03,cardiology,Bed,Private Bed,13,5,1,38.46,0,24,9.23,14.77,0.9,13,4,2.13,8.1,Good,0,2026-03-18
R0092,2026-04-06,H002,Green Valley Medical Center,D01,emergency department,Equipment,X-Ray Unit,20,13,2,65.0,0,24,15.6,8.4,2.24,9,4,3.79,20.45,Good,1,2026-03-15
R0093,2026-04-11,H003,Sunrise Multi-Specialty Hospital,D06,pediatrics,Clinical Staff,Nursing Staff,10,4,1,40.0,0,12,4.8,7.2,1.68,7,1,0.22,18.7,Fair,0,2026-01-08
R0094,2026-04-16,H001,CityCare General Hospital,D04,orthopedics,Bed,Semi-Private Bed,26,13,1,50.0,0,24,12.0,12.0,1.16,11,3,2.33,14.67,Fair,0,2026-01-06
R0095,2026-04-21,H002,Green Valley Medical Center,D02,general medicine,Equipment,Infusion Pump,8,4,2,50.0,0,24,12.0,12.0,4.12,12,2,3.32,5.28,Good,1,2026-04-03
R0096,2026-04-26,H003,Sunrise Multi-Specialty Hospital,D07,general surgery,Clinical Staff,Doctors,5,1,0,20.0,0,12,2.4,9.6,1.61,13,3,2.93,20.01,Good,0,2026-01-28
R0097,2026-05-01,H001,CityCare General Hospital,D05,icu,Bed,General Bed,34,21,5,61.76,0,24,14.82,9.18,0.98,9,3,3.28,4.22,Good,1,2026-01-01
R0098,2026-05-06,H002,Green Valley Medical Center,D03,cardiology,Equipment,Patient Monitor,14,8,2,57.14,0,24,13.71,10.29,3.03,11,4,4.33,18.95,Good,0,2026-01-17
R0099,2026-05-11,H003,Sunrise Multi-Specialty Hospital,D01,emergency department,Clinical Staff,Nursing Staff,21,16,0,76.19,0,12,9.14,2.86,0.19,13,1,0.68,21.26,Good,0,2026-02-19
R0100,2026-05-16,H001,CityCare General Hospital,D06,pediatrics,Bed,ICU Bed,10,4,0,40.0,0,24,9.6,14.4,2.2,11,2,2.25,21.24,Fair,0,2026-01-18
R0101,2026-05-21,H002,Green Valley Medical Center,D04,orthopedics,Equipment,Ventilator,5,4,0,80.0,0,24,19.2,4.8,0.05,12,5,4.5,18.32,Needs Maintenance,1,2026-02-27
R0102,2026-05-26,H003,Sunrise Multi-Specialty Hospital,D02,general medicine,Clinical Staff,Doctors,29,21,2,72.41,0,12,8.69,3.31,0.42,7,5,2.83,12.83,Fair,0,2026-02-18
R0103,2026-05-31,H001,CityCare General Hospital,D07,general surgery,Bed,Private Bed,19,10,0,52.63,0,24,12.63,11.37,2.7,4,2,1.15,8.65,Good,0,2026-05-05
R0104,2026-06-05,H002,Green Valley Medical Center,D05,icu,Equipment,X-Ray Unit,28,10,3,35.71,0,24,8.57,15.43,2.99,7,2,3.2,4.68,Good,0,2026-02-27
R0105,2026-06-10,H003,Sunrise Multi-Specialty Hospital,D03,cardiology,Clinical Staff,Nursing Staff,11,9,0,81.82,0,12,9.82,2.18,0.5,9,2,4.85,19.4,Good,0,2026-02-15
R0106,2026-06-15,H001,CityCare General Hospital,D01,emergency department,Bed,Semi-Private Bed,49,27,4,55.1,0,24,13.22,10.78,4.9,4,4,4.78,17.08,Good,0,2026-05-05
R0107,2026-06-20,H002,Green Valley Medical Center,D06,pediatrics,Equipment,Infusion Pump,24,11,2,45.83,0,24,11.0,13.0,4.76,4,1,1.06,3.87,Good,0,2026-04-21
R0108,2026-06-25,H003,Sunrise Multi-Specialty Hospital,D04,orthopedics,Clinical Staff,Doctors,11,6,1,54.55,0,12,6.55,5.45,0.05,9,4,2.82,10.82,Good,0,2026-03-28
R0109,2026-01-01,H001,CityCare General Hospital,D02,general medicine,Bed,General Bed,30,20,2,66.67,0,24,16.0,8.0,2.21,8,5,4.93,24.3,Good,0,2025-11-18
R0110,2026-01-06,H002,Green Valley Medical Center,D07,general surgery,Equipment,Patient Monitor,16,13,0,81.25,0,24,19.5,4.5,0.89,3,5,4.58,23.53,Good,0,2025-10-15
R0111,2026-01-11,H003,Sunrise Multi-Specialty Hospital,D05,icu,Clinical Staff,Nursing Staff,19,12,1,63.16,0,12,7.58,4.42,0.41,7,5,4.92,7.91,Good,0,2025-09-20
R0112,2026-01-16,H001,CityCare General Hospital,D03,cardiology,Bed,ICU Bed,28,17,1,60.71,0,24,14.57,9.43,1.65,12,5,0.47,3.92,Good,1,2025-11-21
R0113,2026-01-21,H002,Green Valley Medical Center,D01,emergency department,Equipment,Ventilator,16,7,2,43.75,0,24,10.5,13.5,1.51,7,4,0.18,18.68,Fair,0,2025-10-01
R0114,2026-01-26,H003,Sunrise Multi-Specialty Hospital,D06,pediatrics,Clinical Staff,Doctors,20,15,2,75.0,0,12,9.0,3.0,0.24,7,3,2.85,13.83,Good,0,2025-10-07
R0115,2026-01-31,H001,CityCare General Hospital,D04,orthopedics,Bed,Private Bed,38,24,0,63.16,0,24,15.16,8.84,2.16,11,4,1.39,14.69,Good,0,2025-12-26
R0116,2026-02-05,H002,Green Valley Medical Center,D02,general medicine,Equipment,X-Ray Unit,22,9,0,40.91,0,24,9.82,14.18,2.14,9,2,4.07,10.57,Fair,0,2026-01-08
R0117,2026-02-10,H003,Sunrise Multi-Specialty Hospital,D07,general surgery,Clinical Staff,Nursing Staff,7,2,0,28.57,0,12,3.43,8.57,0.02,7,5,4.63,11.46,Good,0,2025-10-13
R0118,2026-02-15,H001,CityCare General Hospital,D05,icu,Bed,Semi-Private Bed,22,10,2,45.45,0,24,10.91,13.09,1.86,3,5,0.73,15.4,Needs Maintenance,1,2026-01-23
R0119,2026-02-20,H002,Green Valley Medical Center,D03,cardiology,Equipment,Infusion Pump,17,14,2,82.35,0,24,19.76,4.24,4.96,10,2,0.69,9.84,Good,0,2026-01-08
R0120,2026-02-25,H003,Sunrise Multi-Specialty Hospital,D01,emergency department,Clinical Staff,Doctors,30,14,2,46.67,0,12,5.6,6.4,1.37,4,4,4.38,11.5,Fair,0,2026-01-10
R0121,2026-03-02,H001,CityCare General Hospital,D06,pediatrics,Bed,General Bed,15,11,1,73.33,0,24,17.6,6.4,4.68,9,1,0.65,21.53,Fair,0,2025-12-25
R0122,2026-03-07,H002,Green Valley Medical Center,D04,orthopedics,Equipment,Patient Monitor,18,16,1,88.89,0,24,21.33,2.67,1.01,5,1,1.85,24.05,Fair,0,2025-12-16
R0123,2026-03-12,H003,Sunrise Multi-Specialty Hospital,D02,general medicine,Clinical Staff,Nursing Staff,22,19,1,86.36,0,12,10.36,1.64,1.87,14,1,0.71,17.69,Good,0,2026-01-20
R0124,2026-03-17,H001,CityCare General Hospital,D07,general surgery,Bed,ICU Bed,47,37,3,78.72,0,24,18.89,5.11,3.84,6,1,4.19,14.97,Fair,0,2025-12-21
R0125,2026-03-22,H002,Green Valley Medical Center,D05,icu,Equipment,Ventilator,27,15,2,55.56,0,24,13.33,10.67,4.52,8,1,4.35,3.56,Good,1,2026-02-20
R0126,2026-03-27,H003,Sunrise Multi-Specialty Hospital,D03,cardiology,Clinical Staff,Doctors,14,9,3,64.29,0,12,7.71,4.29,1.02,6,3,4.8,6.91,Good,1,2025-12-26
R0127,2026-04-01,H001,CityCare General Hospital,D01,emergency department,Bed,Private Bed,15,14,0,93.33,1,24,22.4,1.6,2.57,5,5,1.21,17.03,Good,0,2026-03-16
R0128,2026-04-06,H002,Green Valley Medical Center,D06,pediatrics,Equipment,X-Ray Unit,16,14,1,87.5,0,24,21.0,3.0,3.81,6,2,4.82,15.92,Good,0,2025-12-20
R0129,2026-04-11,H003,Sunrise Multi-Specialty Hospital,D04,orthopedics,Clinical Staff,Nursing Staff,8,6,0,75.0,0,12,9.0,3.0,1.74,9,3,1.54,14.96,Good,0,2026-03-22
R0130,2026-04-16,H001,CityCare General Hospital,D02,general medicine,Bed,Semi-Private Bed,31,14,3,45.16,0,24,10.84,13.16,1.76,5,5,1.49,3.16,Good,0,2026-03-15
R0131,2026-04-21,H002,Green Valley Medical Center,D07,general surgery,Equipment,Infusion Pump,7,5,1,71.43,0,24,17.14,6.86,3.38,7,1,2.85,17.13,Good,1,2026-01-08
R0132,2026-04-26,H003,Sunrise Multi-Specialty Hospital,D05,icu,Clinical Staff,Doctors,8,6,1,75.0,0,12,9.0,3.0,1.67,13,5,4.08,12.97,Good,0,2026-03-09
R0133,2026-05-01,H001,CityCare General Hospital,D03,cardiology,Bed,General Bed,15,6,2,40.0,0,24,9.6,14.4,4.16,9,5,3.9,14.94,Good,0,2026-01-07
R0134,2026-05-06,H002,Green Valley Medical Center,D01,emergency department,Equipment,Patient Monitor,14,7,1,50.0,0,24,12.0,12.0,2.9,14,3,1.36,13.46,Good,0,2026-01-28
R0135,2026-05-11,H003,Sunrise Multi-Specialty Hospital,D06,pediatrics,Clinical Staff,Nursing Staff,11,5,1,45.45,0,12,5.45,6.55,0.64,12,5,4.96,14.17,Good,0,2026-05-01
R0136,2026-05-16,H001,CityCare General Hospital,D04,orthopedics,Bed,ICU Bed,17,13,2,76.47,0,24,18.35,5.65,3.29,3,2,4.46,9.09,Good,0,2026-04-04
R0137,2026-05-21,H002,Green Valley Medical Center,D02,general medicine,Equipment,Ventilator,13,8,1,61.54,0,24,14.77,9.23,3.91,12,5,2.59,15.17,Good,0,2026-04-07
R0138,2026-05-26,H003,Sunrise Multi-Specialty Hospital,D07,general surgery,Clinical Staff,Doctors,14,9,0,64.29,0,12,7.71,4.29,0.21,7,2,2.89,19.33,Good,0,2026-03-08
