dept_analytics_id,date,year,month,quarter,day_of_week,is_weekend,hospital_id,hospital_name,department_id,department_name,department_type,floor_number,is_24x7,established_year,department_head_name,total_beds,occupied_beds_count,bed_occupancy_rate_pct,target_occupancy_rate_pct,patients_admitted_count,patients_discharged_count,readmission_count,readmission_rate_pct,target_readmission_rate_pct,mortality_count,mortality_rate_pct,avg_length_of_stay_days,target_avg_los_days,avg_treatment_time_hours,transfer_events_count,bed_turnaround_time_hours,nurses_on_duty,doctors_on_duty,base_nurses_per_shift,base_doctors_per_shift,staff_to_patient_ratio,equipment_downtime_hours,avg_patient_age,avg_satisfaction_score,total_billing_usd,avg_cost_per_patient_usd,monthly_budget_allocated_usd,department_efficiency_score,record_source_system,last_updated_timestamp
DA00065194,2024-07-07,2024,7,3,Sunday,True,H003,Riverside Community Hospital,D06,General Surg,Surgical,3,False,2014,Dr. James Smith,39,23,58.97,80.74493827625928,1.0,1.0,1.0,100.0,13.387473482947946,0.0,0.0,7.0,3.5381501658633927,127.48,1.0,3.46,7,4,9,5,0.3,0.56,40.0,2.0,0.0,0.0,434718.24719962256,0.0,Analytics-ETL,2024-07-11
DA00060893,2022-09-27,2022,9,3,Tuesday,False,H003,Riverside Community Hospital,D04,oncology,NON-SURGICAL,3,False,2003,Dr. Ivan Smith,42,23,54.76,78.72246977158646,0.0,3.0,0.0,,8.34528333985244,0.0,,,4.592501900299756,,2.0,3.3,10,5,10,4,0.43,1.96,,,,,235106.60159546376,72.8,Analytics-ETL,2022-09-28
DA00126514,2022-06-04,2022,6,2,Saturday,True,H005,Metro City Hospital,D10,Pulmonology,Non-Surgical,6,False,2014,Dr. Yusuf Park,34,24,70.59,82.11704246481328,1.0,2.0,0.0,0.0,13.13274864966142,0.0,0.0,4.0,6.1958568241395255,51.09,4.0,4.03,9,3,11,2,0.38,0.03,11.0,1.0,7813.67,7813.67,625810.6745256557,56.0,Analytics-ETL,2022-06-08
DA00264157,2024-04-27,2024,4,2,Saturday,True,H010,Evercare Medical Center,D10,Pulmonology,Non-Surgical,5,False,2013,Dr. James Khan,29,21,72.41,74.21648001947581,2.0,1.0,0.0,0.0,8.564999619941386,0.0,0.0,1.5,3.2782426336557897,43.9625,6.0,1.16,10,3,9,2,0.48,0.12,57.5,,4329.87,2164.94,480982.21715587593,58.4,BI-Warehouse,2024-04-29
DA00210681,2022-11-22,2022,11,4,Tuesday,False,H008,Horizon Care Hospital,D11,GI Dept,Non-Surgical,7,True,2012,Dr. Mei Smith,43,33,76.74,82.5455688846867,2.0,0.0,1.0,50.0,6.202597150797336,0.0,0.0,2.5,5.722883394105789,67.57333333333334,5.0,2.64,5,3,3,2,0.15,0.26,63.0,3.0,1271.46,635.73,355267.92186825775,6.6,BI-Warehouse,2022-11-23
DA00065223,2024-08-05,2024,8,3,Monday,False,H003,Riverside Community Hospital,D06,General Surgery,Surgical,3,False,2014,Dr. James Smith,39,26,66.67,80.74493827625928,2.0,2.0,0.0,0.0,13.387473482947946,1.0,50.0,4.5,3.5381501658633927,30.456666666666667,6.0,3.24,8,4,9,5,0.31,0.14,70.0,4.0,15946.16,7973.08,434718.24719962256,59.1,Manual Aggregation,2024-08-09
DA00252641,2022-10-15,2022,10,4,Saturday,True,H010,Evercare Medical Center,D04,oncology,Non-Surgical,7,True,2018,Dr. Chloe Costa,45,25,55.56,84.62734520429989,1.0,1.0,1.0,100.0,8.276936634537321,0.0,0.0,5.0,5.1019882986616665,120.0,2.0,3.43,2,2,3,2,0.08,1.7,37.0,,5608.85,5608.85,470726.76938359375,0.0,Analytics-ETL,2022-10-17
DA00001901,2021-03-16,2021,3,1,Tuesday,False,H001,st. mary general hospital,D02,Orthopedic,Surgical,3,False,2001,Dr. Ravi Ahmed,37,28,75.68,71.89694223547076,1.0,2.0,0.0,0.0,6.037037146627086,0.0,0.0,7.0,4.762924204103323,54.53,4.0,2.21,3,5,3,5,0.11,0.03,29.0,8.0,10247.37,10247.37,345117.9436630287,56.8,BI-Warehouse,2021-03-18
DA00111595,2021-07-28,2021,7,3,Wednesday,False,H005,Metro City Hospital,D02,Orthopedics Dept.,Surgical,6,False,2008,Dr. Omar Khan,55,33,60.0,70.91492523905634,1.0,1.0,0.0,0.0,6.597729241309683,0.0,0.0,9.0,6.074659943831811,80.0,5.0,6.71,7,5,9,4,0.21,0.12,29.0,,18069.1,18069.1,116091.6921432408,66.3,Manual Aggregation,2021-07-30
DA00211355,2024-09-26,2024,9,3,Thursday,False,H008,Horizon Care Hospital,D11,Gastro,Non-Surgical,7,True,2012,Dr. Mei Smith,43,30,69.77,82.5455688846867,1.0,0.0,0.0,0.0,6.202597150797336,0.0,0.0,4.0,5.722883394105789,54.115,2.0,3.36,4,3,3,2,0.13,0.22,,4.0,6048.49,6048.49,355267.92186825775,64.8,BI-Warehouse,2024-09-30
DA00231748,2025-07-30,2025,7,3,Wednesday,False,H009,Pinecrest General Hospital,D07,emergency medicine,Critical,8,True,2018,Dr. Nadia Ahmed,23,15,65.22,85.75866088759278,0.0,0.0,0.0,,11.46714666434138,0.0,,,4.219047471510841,,1.0,4.11,6,3,8,3,0.4,0.19,,,,,98975.52515090714,62.7,BI-Warehouse,2025-07-31
DA00247305,2023-03-06,2023,3,1,Monday,False,H010,Evercare Medical Center,D01,Cardiology Dept,Non-Surgical,3,False,2018,,34,25,73.53,84.48197937640283,0.0,3.0,0.0,,13.72774479308736,0.0,,,4.612414529557436,45.73,3.0,2.94,12,5,11,4,0.48,0.07,,,,,474832.39544147777,72.0,Analytics-ETL,2023-03-07
DA00238967,2025-05-06,2025,5,2,Tuesday,False,H009,Pinecrest General Hospital,D11,Gastro,  Non-Surgical  ,8,True,2002,Dr. Aisha Ahmed,39,28,71.79,71.63341491602044,2.0,2.0,2.0,100.0,8.974241200173928,0.0,0.0,6.5,4.562011695345227,120.5,3.0,2.08,6,3,7,2,0.21,0.52,49.5,6.5,21211.51,,627702.2200980261,0.0,Analytics-ETL,2025-05-07
DA00224253,2025-01-20,2025,1,1,Monday,False,H009,PINECREST GENERAL HOSPITAL,D03,Neurology ,  Non-Surgical  ,2,False,2003,Dr. Ivan Rossi,41,27,65.85,73.86389593331965,3.0,2.0,3.0,100.0,9.647195995222717,0.0,0.0,8.0,4.482156979288823,134.175,6.0,1.37,5,2,4,2,0.19,0.31,75.66666666666667,2.6666666666666665,13109.49,4369.83,431821.4423353765,0.0,BI-Warehouse,2025-01-21
DA00090090,2022-09-08,2022,9,3,Thursday,False,H004,Sunrise Health Institute,D05,Paediatrics,Non-Surgical,3,False,1998,Dr. Mei Brown,30,20,66.67,85.42724071996847,2.0,0.0,1.0,50.0,10.034248630045417,0.0,0.0,1.0,6.079054992168191,64.62,4.0,2.17,8,1,9,2,0.4,0.06,26.5,4.0,3842.11,1921.05,507295.29560850107,11.7,BI-Warehouse,2022-09-12
DA00157177,2021-05-21,2021,5,2,Friday,False,H006,Green Valley Hospital,D12,psychiatry,Non-Surgical,2,True,2009,Dr. Carlos Smith,35,25,71.43,76.64503125094635,0.0,0.0,0.0,,13.222753383419748,0.0,,,3.990640912921577,22.22,1.0,2.76,8,5,9,5,0.32,0.17,,,,,94575.54854983486,74.3,Manual Aggregation,2021-05-22
DA00141148,2022-06-30,2022,6,2,Thursday,False,H006,Green Valley Hospital,D03,Neurology,Non-Surgical,7,False,2010,Dr. Ivan Costa,20,14,70.0,71.09296740279328,1.0,0.0,0.0,0.0,6.969238543405929,0.0,0.0,3.0,5.000849484281568,,1.0,,1,1,3,1,0.07,0.24,49.0,,3993.63,3993.63,568181.5278277652,62.9,Analytics-ETL,2022-07-03
DA00031675,2022-09-25,2022,9,3,Sunday,True,H002,Lakeview Medical Center,D03,neuro ,Non-Surgical,8,False,2002,Dr. Daniel Costa,25,13,52.0,72.53509228522239,0.0,2.0,0.0,,6.052274333045101,0.0,,,5.6207519366004455,,0.0,4.15,4,2,5,2,0.31,0.35,,,,,458449.9911470512,74.3,Analytics-ETL,2022-09-28
DA00003214,2024-10-19,2024,10,4,Saturday,True,H001,St. Mary General Hospital,D02,Orthopedics Dept.,Surgical,3,False,2001,Dr. Ravi Ahmed,37,25,67.57,71.89694223547076,3.0,1.0,1.0,33.33,6.037037146627086,0.0,0.0,2.0,4.762924204103323,35.656666666666666,4.0,3.9,4,4,3,5,0.16,0.71,4.333333333333333,3.0,8650.24,2883.41,345117.9436630287,36.4,BI-Warehouse,2024-10-22
DA00267122,2022-06-10,2022,6,2,Friday,False,H010,Evercare Medical Center,D12,PSYCH,Non-Surgical,5,False,2008,Dr. Nadia Kowalski,37,26,70.27,72.45461386277523,2.0,1.0,1.0,50.0,12.037923366089084,0.0,0.0,4.5,3.994793088855304,,5.0,0.41,11,3,13,3,0.42,0.09,44.5,4.0,11137.72,5568.86,510246.63338596665,29.9,Analytics-ETL,2022-06-11
DA00076731,2021-02-08,2021,2,1,Monday,False,H003,Riverside Community Hospital,D13,Critical Care,Critical,2,True,2006,Dr. Ivan Smith,17,14,82.35,73.10448943938846,2.0,2.0,0.0,0.0,8.481876556015813,0.0,0.0,3.0,3.448525559678931,48.02,8.0,1.36,10,3,10,3,0.71,0.75,4.0,5.5,8334.48,,263632.8551333132,60.4,Manual Aggregation,2021-02-12
DA00183953,2024-09-14,2024,9,3,Saturday,True,H007,Unity Regional Medical Center,D11,Gastro,Non-Surgical,2,False,2004,Dr. Wei Brown,20,11,55.0,81.466859262633,1.0,4.0,1.0,100.0,7.396058240677395,0.0,0.0,0.0,4.814425685786205,2.825,4.0,3.11,3,3,3,4,0.27,0.03,,,411.5,411.5,626966.0537807542,0.0,Manual Aggregation,2024-09-15
DA00190721,2023-03-28,2023,3,1,Tuesday,False,H007,Unity Regional Medical Center,D15,urology ,surgical,8,False,2016,Dr. Mei Kumar,53,41,77.36,79.51355174783579,1.0,0.0,1.0,100.0,6.424620777204254,0.0,0.0,1.0,5.154507659408623,24.34,2.0,5.51,5,6,6,5,0.12,0.4,22.0,5.0,2176.78,2176.78,637028.6644638566,0.0,Analytics-ETL,2023-03-31
DA00112355,2023-08-27,2023,8,3,Sunday,True,H005,Metro City Hospital,D02,Orthopedic,Surgical,6,False,2008,Dr. Omar Khan,55,33,60.0,70.91492523905634,1.0,3.0,0.0,0.0,6.597729241309683,0.0,0.0,4.0,6.074659943831811,,3.0,5.08,10,5,9,4,0.3,0.05,80.0,3.0,4412.62,4412.62,116091.6921432408,58.7,Manual Aggregation,2023-08-29
DA00157425,2022-01-24,2022,1,1,Monday,False,H006,Green Valley Hospital,D12,Psychiatry,Non-Surgical,2,True,2009,Dr. Carlos Smith,35,25,71.43,76.64503125094635,0.0,3.0,0.0,,13.222753383419748,0.0,,,3.990640912921577,,2.0,3.14,9,4,9,5,0.36,0.01,,,,,94575.54854983486,78.4,BI-Warehouse,2022-01-25
DA00152024,2022-04-11,2022,4,2,Monday,False,H006,Green Valley Hospital,D09,NEPHRO,Non-Surgical,7,False,2018,Dr. Daniel Muller,39,27,69.23,86.96682972159223,4.0,0.0,2.0,50.0,7.230738719100531,0.0,0.0,5.75,3.859697829863224,,4.0,1.52,9,1,7,2,0.33,0.49,51.0,3.333333333333333,37911.83,9477.96,359946.2844911138,18.2,Analytics-ETL,2022-04-12
DA00225760,2024-03-07,2024,3,1,Thursday,False,H009,Pinecrest General Hospital,D04,oncology,Non-Surgical,3,False,2015,Dr. Liam Ivanov,29,24,82.76,81.2243463055233,1.0,1.0,1.0,100.0,12.560278918562783,0.0,0.0,2.0,5.670489600585452,33.14333333333333,8.0,5.21,7,3,7,4,0.29,0.35,69.0,,4126.28,4126.28,378377.47478782607,0.0,Analytics-ETL,2024-03-09
DA00207188,2023-04-30,2023,4,2,Sunday,True,H008,Horizon Care Hospital,D09,Nephrology,Non-Surgical,7,True,2016,Dr. Ivan Ali,52,33,63.46,79.99306635567757,1.0,1.0,1.0,100.0,6.541513097707131,0.0,0.0,1.0,4.626014772531455,24.0,1.0,4.24,7,4,10,4,0.21,0.05,23.0,5.0,1578.98,"$1,578.98",329269.3076406198,0.0,ANALYTICS-ETL,2023-05-03
DA00133357,2021-02-28,2021,2,1,Sunday,True,H005,Metro City Hospital,D14,general medicine ,Non-Surgical,7,True,2001,Dr. Omar Kowalski,51,34,66.67,71.93484052878519,3.0,3.0,0.0,0.0,9.181286844750057,0.0,0.0,3.333333333333333,5.753401180850116,46.35,7.0,2.52,13,1,13,2,0.38,0.77,43.0,2.333333333333333,7164.08,2388.03,258678.2434890194,53.8,Analytics-ETL,2021-03-04
DA00018921,2022-10-23,2022,10,4,Sunday,True,H001,St. Mary General Hospital,D11,Gastro,Non-Surgical,3,False,2004,Dr. Wei Ahmed,26,16,61.54,71.81009855774681,1.0,2.0,1.0,100.0,7.748164891044,0.0,0.0,3.0,3.618070994881048,49.6,4.0,3.03,10,4,10,5,0.62,0.63,67.0,,4506.89,4506.89,155027.1851915387,0.0,Analytics-ETL,2022-10-27
DA00221216,2021-09-27,2021,9,3,Monday,False,H009,Pinecrest General Hospital,D02,Orthopedics Dept.,Surgical,8,False,2009,Dr. Ravi Johnson,58,35,60.34,75.66156940594462,1.0,0.0,0.0,0.0,6.762967236967449,1.0,100.0,5.0,5.074130130633987,120.0,1.0,2.88,5,5,3,5,0.14,0.04,58.0,5.0,6326.93,"$6,326.93",553853.5908887801,65.3,Analytics-ETL,2021-10-01
DA00273216,2024-02-16,2024,2,1,Friday,False,H010,Evercare Medical Center,D15,Urology Dept,Surgical,5,False,2002,Dr. Elena Costa,54,39,72.22,76.7986993179983,2.0,4.0,1.0,50.0,9.828074199169055,0.0,0.0,3.0,5.8286149762146096,72.0,7.0,3.99,5,3,5,2,0.13,0.11,71.5,4.5,13127.03,6563.52,308989.94925697753,19.7,Analytics-ETL,2024-02-18
DA00161180,2022-05-07,2022,5,2,Saturday,True,H006,Green Valley Hospital,D14,Gen. Medicine,Non-Surgical,2,True,2017,Dr. Mei Costa,35,20,57.14,79.16811572742316,0.0,1.0,0.0,,6.4359981292843935,0.0,,,2.723136939104712,,1.0,2.43,6,2,9,3,0.3,0.26,,,,,298253.0057397213,73.5,BI-Warehouse,2022-05-08
DA00006055,2022-07-31,2022,7,3,Sunday,True,H001,St. Mary General Hospital,D04,Oncology Dept,Non-Surgical,7,True,2014,Dr. Priya Brown,29,16,55.17,71.27587211614282,1.0,3.0,0.0,0.0,8.113643519523748,0.0,0.0,0.0,4.368835255301364,30.235,4.0,4.86,6,2,9,2,0.38,0.13,57.0,2.0,50.0,50.0,586696.9616779506,52.9,Analytics-ETL,2022-08-01
DA00233748,2021-01-20,2021,1,1,Wednesday,False,H009,Pinecrest General Hospital,D09,NEPHRO,Non-Surgical,5,True,2017,Dr. Grace Nguyen,44,32,72.73,83.03347737405392,2.0,3.0,0.0,0.0,6.814482400452933,0.0,0.0,4.5,4.841708043816137,74.89999999999999,6.0,5.33,8,1,7,1,0.25,0.14,36.5,2.0,17341.52,8670.76,232746.7910863511,69.2,Analytics-ETL,2021-01-22
DA00045267,2024-12-13,2024,12,4,Friday,False,H002,Lakeview Medical Center,D10,pulmonology,Non-Surgical,8,False,2011,Dr. Mei Kowalski,28,21,75.0,74.94718461540336,1.0,1.0,0.0,0.0,6.4745963322893925,0.0,0.0,2.0,6.023556103371188,48.0,1.0,3.15,11,1,12,2,0.52,1.06,90.0,4.0,0.0,0.0,202137.6907454413,63.4,Analytics-ETL,2024-12-14
DA00213993,2021-12-17,2021,12,4,Friday,False,H008,Horizon Care Hospital,D13,Critical Care,Critical,2,True,2018,Dr. Yusuf Johnson,35,22,62.86,72.4017040913582,0.0,0.0,0.0,,13.706542729936867,0.0,,,3.676704253245218,46.61666666666667,3.0,2.32,10,1,12,2,0.45,0.1,,,,,107965.05648315142,79.0,Analytics-ETL,2021-12-19
DA00070825,2024-12-07,2024,12,4,Saturday,True,H003,Riverside Community Hospital,D09,Renal,Non-Surgical,1,False,2016,Dr. Chloe Ahmed,21,13,61.9,72.79244339007018,1.0,1.0,0.0,0.0,10.55510600489844,0.0,0.0,6.0,2.5352147636321383,11.59,3.0,3.73,3,6,6,5,0.23,0.19,17.0,,11163.89,11163.89,203341.16509211803,54.9,Analytics-ETL,2024-12-10
DA00117937,2023-12-09,2023,12,4,Saturday,True,H005,Metro City Hospital,D05,Paediatrics,Non-Surgical,5,True,1998,Dr. Liam Chen,20,14,70.0,74.03353190000436,3.0,2.0,3.0,100.0,9.696546141990058,0.0,0.0,4.0,3.631162402703972,71.69800000000001,7.0,3.25,9,3,12,3,0.64,0.16,35.0,5.5,18534.7,6178.23,192527.346831532,0.0,Analytics-ETL,2023-12-11
DA00148083,2021-06-26,2021,6,2,Saturday,True,H006,Green Valley Hospital,D07,ER,Critical,2,True,2017,Dr. Nadia Petrov,17,11,64.71,85.14124818460505,2.0,0.0,0.0,0.0,8.923387357078603,0.0,0.0,4.5,6.058990014360085,18.635,3.0,3.03,11,3,13,2,1.0,0.01,30.0,5.5,15185.57,7592.78,125565.74188025534,52.5,Manual Aggregation,2021-06-30
DA00272167,2021-04-03,2021,4,2,Saturday,True,H010,Evercare Medical Center,D15,URO,Surgical,5,False,2002,Dr. Elena Costa,54,33,61.11,76.7986993179983,2.0,2.0,0.0,0.0,9.828074199169055,0.0,0.0,1.0,5.8286149762146096,24.0,6.0,3.35,5,3,5,2,0.15,0.36,30.0,2.0,2484.63,1242.32,308989.94925697753,42.0,BI-Warehouse,2021-04-07
DA00260887,2025-05-14,2025,5,2,Wednesday,False,H010,Evercare Medical Center,D08,Obstetrics & Gynecology,Surgical,5,True,2017,Dr. Omar Johnson,37,27,72.97,78.73105882227844,1.0,5.0,1.0,100.0,12.676227646397695,0.0,0.0,8.0,5.169309707115957,,3.0,3.68,1,4,3,4,0.04,0.03,86.0,1.0,14670.2,,308659.84270389675,0.0,Manual Aggregation,2025-05-16
DA00084082,2021-03-27,2021,3,1,Saturday,True,H004,Sunrise Health Institute,D02,Orthopedic,SURGICAL,4,True,2008,Dr. Mei Reddy,44,29,65.91,70.91745796611058,3.0,1.0,1.0,33.33,11.958187063034696,0.0,0.0,4.0,4.310443944683946,37.32666666666667,5.0,5.68,5,2,8,3,0.17,0.01,60.0,3.5,24449.03,8149.68,278902.3042905687,53.6,BI-Warehouse,2021-03-30
DA00250600,2022-03-14,2022,3,1,Monday,False,H010,Evercare Medical Center,D03,Neurology ,Non-Surgical,2,True,2005,Dr. Emma Garcia,52,41,78.85,81.83095955241637,0.0,2.0,0.0,,13.197267646668076,0.0,,,5.4917828089188525,95.05,4.0,3.57,1,1,3,1,0.02,0.09,,,,,545387.9339512195,78.0,Manual Aggregation,2022-03-17
DA00213025,2024-04-23,2024,4,2,Tuesday,False,H008,Horizon Care Hospital,D12,Mental Health,Non-Surgical,3,False,2002,Dr. Grace Ivanov,29,23,79.31,82.57148321286073,0.0,1.0,0.0,,9.86413412818488,0.0,,,4.710076330925897,,1.0,2.32,14,2,12,3,0.61,0.33,,,,,531103.3257180979,79.3,Analytics-ETL,2024-04-27
DA00034845,2021-05-31,2021,5,2,Monday,False,H002,Lakeview Medical Center,D05,Paediatrics,Non-Surgical,7,False,2011,Dr. Nadia Kumar,50,33,66.0,73.91839180478729,0.0,2.0,0.0,,7.441526364104178,0.0,,,6.12994763206666,,2.0,0.98,3,1,3,2,0.09,0.65,,,,,127484.66154735436,75.9,Analytics-ETL,2021-06-04
DA00174718,2024-06-01,2024,6,2,Saturday,True,H007,Unity Regional Medical Center,D06,General Surgery,Surgical,1,True,2016,Dr. Priya Kowalski,55,37,67.27,87.70991011682568,2.0,2.0,1.0,50.0,8.478073305478699,0.0,0.0,4.5,5.8707919878738135,84.08500000000001,4.0,3.22,4,5,4,4,0.11,0.25,25.0,,15244.57,7622.28,212429.7972511595,18.2,BI-Warehouse,2024-06-02
DA00076659,2025-11-28,2025,11,4,Friday,False,H003,Riverside Community Hospital,D12,Psychiatry Dept,Non-Surgical,2,False,2008,Dr. Daniel Petrov,23,14,60.87,76.56118817950929,0.0,0.0,0.0,,11.645502886918475,0.0,,,4.192923119660758,34.75,1.0,2.32,10,2,9,3,0.71,0.09,,,,,218886.26792294404,76.7,Analytics-ETL,2025-12-01
DA00243767,2023-06-28,2023,6,2,Wednesday,False,H009,Pinecrest General Hospital,D14,Internal Medicine,Non-Surgical,7,False,2008,Dr. Wei Ali,46,31,67.39,86.53556866369074,0.0,0.0,0.0,,13.36223663016439,0.0,,,3.366094592200981,39.02,3.0,1.47,9,1,10,2,0.29,0.38,,,,,370362.9596794395,76.3,Analytics-ETL,2023-07-01
DA00010855,2025-09-21,2025,9,3,Sunday,True,H001,St. Mary General Hospital,D06,General Surg,Surgical,7,True,2009,Dr. Priya Park,57,34,59.65,76.27790641169703,0.0,2.0,0.0,,7.826804558045899,0.0,,,5.22661620793726,,4.0,5.93,2,5,4,4,0.06,0.12,,,,,93607.20480298033,72.6,BI-Warehouse,2025-09-24
DA00033889,2023-10-18,2023,10,4,Wednesday,False,H002,Lakeview Medical Center,D04,ONCOLOGY,Non-Surgical,3,True,2002,Dr. Mei Muller,30,19,63.33,84.92586457454897,2.0,1.0,0.0,0.0,10.089743267125344,0.0,0.0,4.0,5.761143981768221,55.56,4.0,2.83,13,5,13,4,0.68,1.25,34.0,3.5,15735.59,7867.8,635158.1615261141,53.1,Analytics-ETL,2023-10-20
