resource_utilization_id,date,year,month,quarter,day_of_week,is_weekend,hospital_id,hospital_name,department_id,department_name,resource_type,resource_category,total_units_available,units_in_use,units_under_maintenance,utilization_rate_pct,shortage_flag,capacity_hours,utilized_hours,idle_hours,downtime_hours,nurses_on_duty_snapshot,doctors_on_duty_snapshot,overtime_hours,avg_response_time_minutes,cost_per_day_usd,resource_condition,maintenance_due_flag,last_maintenance_date,planned_capacity_next_month,record_source_system,last_updated_timestamp
RU00065256,2022-05-07,2022,5,2,Saturday,True,H003,Riverside Community Hospital,D04,Oncology,Bed,Inpatient Bed,42,30,2.0,71.43,False,1008,671.9,288.1,48.0,,,,,"$8,029.21",Functional,True,2021-10-23,43.0,Analytics-ETL,2022-05-09
RU00467201,2022-12-14,2022,12,4,Wednesday,False,H008,Horizon Care Hospital,D02,Orthopedics,Equipment,Orthopedic Surgical Sets,9,5,0.0,55.56,False,216,104.7,111.2,0.14,,,,9.9,1778.94,Fair,False,2022-07-10,9.0,Analytics-ETL,2022-12-16
RU00744908,2024-03-06,2024,3,1,Wednesday,False,H006,Green Valley Hospital,D07,Emergency Medicine,Clinical Staff,Nurses & Doctors,15,17,,113.33,True,120,136.0,0.0,,14.0,3.0,0.4,1.7,5255.19,,False,2023-12-14,15.0,Facilities-Mgmt-System,2024-03-09
RU00370831,2022-08-05,2022,8,3,Friday,False,H006,Green Valley Hospital,D12,Psychiatry,Equipment,Patient Monitoring Devices,9,5,0.0,55.56,False,216,87.6,128.4,0.02,,,,13.6,1197.81,Good,False,2022-07-23,9.0,Analytics-ETL,2022-08-08
RU00078811,2025-08-04,2025,8,3,Monday,False,H006,Green Valley Hospital,D13,ICU,Bed,Inpatient Bed,35,22,1.0,62.86,False,840,500.9,315.1,24.0,,,,,13254.39,Functional,True,2025-06-09,36.0,Analytics-ETL,2025-08-08
RU00607781,2025-03-14,2025,3,1,Friday,False,H006,Green Valley Hospital,D02,Orthopedics,Clinical Staff,Nurses & Doctors,14,15,,107.14,True,112,120.0,0.0,,11.0,4.0,1.3,,5431.4,,False,2025-02-15,15.0,Analytics-ETL,2025-03-15
RU00057496,2024-08-13,2024,8,3,Tuesday,False,H006,Green Valley Hospital,D14,General Medicine,Bed,Inpatient Bed,35,23,2.0,65.71,False,840,544.8,247.2,48.0,,,,,13778.46,Functional,True,2024-03-26,37.0,Facilities-Mgmt-System,2024-08-16
RU00274075,2025-07-22,2025,7,3,Tuesday,False,H007,Unity Regional Medical Center,D10,Pulmonology,Equipment,Ventilators,8,6,1.0,75.0,False,192,136.3,55.6,0.14,,,,11.1,1406.08,Fair,False,2025-06-20,8.0,Analytics-ETL,2025-07-26
RU00277860,2022-08-31,2022,8,3,Wednesday,False,H004,Sunrise Health Institute,D04,Oncology,Equipment,Chemotherapy Infusion Pumps,4,2,2.0,50.0,False,96,36.9,58.6,0.46,,,,5.3,288.76,Good,False,2022-08-10,4.0,Analytics-ETL,2022-09-03
RU00327372,2022-02-09,2022,2,1,Wednesday,False,H004,Sunrise Health Institute,D04,Oncology,Equipment,Chemotherapy Infusion Pumps,4,2,1.0,50.0,False,96,40.4,55.6,0.01,,,,4.8,288.76,New,False,2021-12-27,4.0,Analytics-ETL,2022-02-12
RU00121604,2021-11-06,2021,11,4,Saturday,True,H003,Riverside Community Hospital,D04,Oncology,Bed,Inpatient Bed,42,24,3.0,57.14,False,1008,526.3,409.7,72.0,,,,,7711.32,Needs Repair,True,2021-09-18,45.0,Manual Log,2021-11-10
RU00435350,2023-10-01,2023,10,4,Sunday,True,H005,Metro City Hospital,D13,ICU,Equipment,Ventilators,26,12,0.0,46.15,False,624,205.1,418.6,0.34,,,,7.3,2583.36,Fair,False,2023-05-09,26.0,Analytics-ETL,2023-10-03
RU00675296,2023-04-30,2023,4,2,Sunday,True,H005,Metro City Hospital,D08,Obstetrics & Gynecology,Clinical Staff,Nurses & Doctors,6,3,,,False,48,24.0,24.0,,1.0,2.0,1.8,4.7,1307.84,,False,2023-01-17,6.0,Facilities-Mgmt-System,2023-05-02
RU00767542,2022-10-13,2022,10,4,Thursday,False,H006,Green Valley Hospital,D13,ICU,Clinical Staff,Nurses & Doctors,15,16,,106.67,True,120,128.0,0.0,,13.0,3.0,3.2,6.6,5372.51,,False,2022-07-04,15.0,Analytics-ETL,2022-10-16
RU00478492,2023-07-30,2023,7,3,Sunday,True,H002,Lakeview Medical Center,D03,Neurology,EQUIPMENT,EEG Machines,12,5,0.0,41.67,False,288,113.3,174.6,0.1,,,,1.0,1919.04,,False,2023-02-11,13.0,Analytics-ETL,2023-08-02
RU00697278,2023-07-26,2023,7,3,Wednesday,False,H001,St. Mary General Hospital,D01,Cardiology,Clinical Staff,Nurses & Doctors,16,15,,93.75,True,128,120.0,8.0,,10.0,5.0,0.4,8.1,4566.22,,False,2023-03-09,16.0,Analytics-ETL,2023-07-29
RU00737108,2021-01-01,2021,1,1,Friday,False,H001,St. Mary General Hospital,D08,Obstetrics & Gynecology,Clinical Staff,Nurses & Doctors,13,15,,115.38,True,104,120.0,0.0,,12.0,3.0,0.3,5.5,4626.21,,False,2020-08-30,13.0,Analytics-ETL,2021-01-04
RU00414641,2025-11-08,2025,11,4,Saturday,True,H003,Riverside Community Hospital,D08,Obstetrics & Gynecology,Equipment,Ultrasound Machines,11,5,0.0,45.45,False,264,101.4,162.3,0.3,,,,7.6,1424.72,Good,False,,11.0,analytics-etl,2025-11-11
RU00179825,2021-02-16,2021,2,1,Tuesday,False,H006,Green Valley Hospital,D07,Emergency Medicine,Bed,Inpatient Bed,17,12,2.0,70.59,False,408,283.5,76.5,48.0,,,,,6532.69,Functional,True,2021-01-22,17.0,Facilities-Mgmt-System,2021-02-19
RU00666569,2021-06-06,2021,6,2,Sunday,True,H006,Green Valley Hospital,D05,Pediatrics,Clinical Staff,Nurses & Doctors,15,12,,80.0,False,120,96.0,24.0,,9.0,3.0,4.6,7.1,4068.99,,False,2021-02-24,15.0,Analytics-ETL,2021-06-08
RU00214976,2023-06-18,2023,6,2,Sunday,True,H009,Pinecrest General Hospital,D07,Emergency Medicine,Bed,Inpatient Bed,23,14,0.0,60.87,False,552,323.5,228.5,0.0,,,,,5006.06,Functional,False,,23.0,Analytics-ETL,2023-06-21
RU00171268,2025-11-21,2025,11,4,Friday,False,H007,Unity Regional Medical Center,D01,Cardiology,Bed,Inpatient Bed,24,16,1.0,66.67,False,576,347.1,204.9,24.0,,,,,5480.41,Functional,True,2025-05-19,24.0,Manual Log,2025-11-22
RU00083952,2024-02-26,2024,2,1,Monday,False,H008,Horizon Care Hospital,D06,General Surgery,Bed,inpatient bed,54,43,1.0,79.63,False,1296,1006.1,265.9,24.0,,,,,"$16,789.55",Needs Repair,True,2023-09-14,53.0,Manual Log,2024-03-01
RU00444374,2024-09-29,2024,9,3,Sunday,True,H002,Lakeview Medical Center,D01,Cardiology,Equipment,Cardiac Monitors,8,5,1.0,62.5,False,192,96.7,95.2,0.14,,,,15.8,775.68,Fair,False,2024-08-29,8.0,Facilities-Mgmt-System,2024-10-01
RU00129451,2022-07-10,2022,7,3,Sunday,True,H001,St. Mary General Hospital,D15,Urology,Bed,Inpatient Bed,56,36,3.0,64.29,False,1344,803.4,468.6,72.0,,,,,15101.61,Functional,True,2022-06-02,59.0,Facilities-Mgmt-System,2022-07-14
RU00032011,2024-03-20,2024,3,1,Wednesday,False,H004,Sunrise Health Institute,D10,Pulmonology,Bed,Inpatient Bed,23,18,0.0,78.26,False,552,424.7,127.3,0.0,,,,,7289.89,Needs Repair,False,2023-09-06,24.0,FACILITIES-MGMT-SYSTEM,2024-03-24
RU00077551,2021-09-23,2021,9,3,Thursday,False,H004,Sunrise Health Institute,D02,Orthopedics,Bed,Inpatient Bed,44,28,0.0,63.64,False,1056,615.8,440.2,0.0,,,,,7728.37,Functional,False,2021-04-09,47.0,Facilities-Mgmt-System,2021-09-27
RU00731481,2022-12-08,2022,12,4,Thursday,False,H002,Lakeview Medical Center,D01,Cardiology,Clinical Staff,Nurses & Doctors,7,8,,114.29,True,56,64.0,0.0,,7.0,1.0,2.1,5.2,2281.24,,False,2022-05-28,7.0,Facilities-Mgmt-System,2022-12-12
RU00327053,2024-04-29,2024,4,2,Monday,False,H004,Sunrise Health Institute,D03,Neurology,Equipment,EEG Machines,12,8,0.0,66.67,False,288,158.3,129.4,0.3,,,,14.2,1261.92,Good,False,2024-02-24,13.0,Manual Log,2024-05-01
RU00093990,2023-09-25,2023,9,3,Monday,False,H005,Metro City Hospital,D14,General Medicine,Bed,Inpatient Bed,51,30,0.0,58.82,False,1224,657.5,566.5,0.0,,,,,13207.43,Needs Repair,False,2023-08-31,52.0,Facilities-Mgmt-System,2023-09-28
RU00310353,2022-05-18,2022,5,2,Wednesday,False,H003,Riverside Community Hospital,D12,Psychiatry,Equipment,Patient Monitoring Devices,12,7,0.0,58.33,False,288,152.7,135.2,0.05,,,,12.1,1310.28,Fair,False,2022-05-12,13.0,Analytics-ETL,2022-05-19
RU00442460,2022-03-21,2022,3,1,Monday,False,H004,Sunrise Health Institute,D03,Neurology,Equipment,EEG Machines,12,6,0.0,50.0,False,288,127.9,159.6,0.46,,,,17.6,1261.92,Good,False,2021-09-05,12.0,Analytics-ETL,2022-03-25
RU00370253,2025-09-20,2025,9,3,Saturday,True,H006,Green Valley Hospital,D12,Psychiatry,Equipment,Patient Monitoring Devices,9,4,0.0,44.44,False,216,63.7,152.2,0.13,,,,20.8,1197.81,New,False,2025-03-24,9.0,Manual Log,2025-09-21
RU00767294,2025-01-17,2025,1,1,Friday,False,H005,Metro City Hospital,D04,Oncology,Clinical Staff,Nurses & Doctors,11,14,,127.27,True,88,112.0,0.0,,9.0,5.0,1.5,3.4,0.0,,False,2024-11-17,12.0,Analytics-ETL,2025-01-20
RU00679871,2023-10-25,2023,10,4,Wednesday,False,H010,Evercare Medical Center,D02,Orthopedics,Clinical Staff,Nurses & Doctors,17,19,,111.76,True,136,152.0,0.0,,14.0,5.0,4.4,4.3,5912.86,,False,2023-08-11,17.0,Analytics-ETL,2023-10-29
RU00773488,2024-11-15,2024,11,4,Friday,False,H003,Riverside Community Hospital,D05,Pediatrics,Clinical Staff,Nurses & Doctors,7,7,,100.0,True,56,56.0,0.0,,6.0,1.0,0.4,,2146.33,,False,2024-05-14,8.0,Facilities-Mgmt-System,2024-11-18
RU00691775,2022-11-22,2022,11,4,Tuesday,False,H007,Unity Regional Medical Center,D11,Gastroenterology,Clinical Staff,nurses & doctors,7,6,,85.71,False,56,48.0,8.0,,2.0,4.0,3.3,3.4,"3,435.85 USD",,False,2022-06-29,8.0,Facilities-Mgmt-System,2022-11-25
RU00724770,2025-03-25,2025,3,1,Tuesday,False,H005,Metro City Hospital,D10,Pulmonology,CLINICAL STAFF,Nurses & Doctors,13,13,,100.0,True,104,104.0,0.0,,11.0,2.0,0.3,6.7,3840.6,,False,2025-03-22,14.0,Analytics-ETL,2025-03-28
RU00736241,2025-06-30,2025,6,2,Monday,False,H001,St. Mary General Hospital,D06,General Surgery,Clinical Staff,Nurses & Doctors,8,10,,125.0,True,64,80.0,0.0,,6.0,4.0,0.6,15.6,4290.62,,False,2025-04-05,9.0,Analytics-ETL,2025-07-04
RU00479002,2022-05-02,2022,5,2,Monday,False,H006,Green Valley Hospital,D05,Pediatrics,Equipment,Pediatric Incubators,9,7,2.0,77.78,False,216,112.4,103.1,0.54,,,,15.0,376.29,Good,False,2022-02-19,,Facilities-Mgmt-System,2022-05-06
RU00423856,2025-08-11,2025,8,3,Monday,False,H001,St. Mary General Hospital,D15,Urology,Equipment,Urology Scopes,20,11,0.0,55.0,False,480,181.9,298.0,0.12,,,,17.9,3316.0,,False,2025-06-01,21.0,Manual Log,2025-08-15
RU00060926,2024-03-05,2024,3,1,Tuesday,False,H006,Green Valley Hospital,D05,Pediatrics,  Bed  ,Inpatient Bed,43,34,2.0,79.07,False,1032,807.5,176.5,48.0,,,,,7539.66,Functional,True,2023-09-14,43.0,Manual Log,2024-03-06
RU00191971,2025-11-06,2025,11,4,Thursday,False,H007,Unity Regional Medical Center,D04,Oncology,Bed,Inpatient Bed,32,22,3.0,68.75,False,768,514.7,181.3,72.0,,,,,5068.57,Functional,True,2025-05-23,34.0,Analytics-ETL,2025-11-07
RU00607836,2022-03-25,2022,3,1,Friday,False,H001,St. Mary General Hospital,D13,ICU,Clinical Staff,Nurses & Doctors,10,11,,110.0,True,80,88.0,0.0,,8.0,3.0,0.8,8.5,4449.86,,False,2021-09-28,11.0,Analytics-ETL,2022-03-29
RU00012334,2021-09-02,2021,9,3,Thursday,False,H004,Sunrise Health Institute,D14,General Medicine,Bed,INPATIENT BED,26,16,1.0,61.54,False,624,352.4,247.6,24.0,,,,,8411.68,Functional,True,2021-04-17,26.0,Facilities-Mgmt-System,2021-09-06
RU00790244,2023-09-04,2023,9,3,Monday,False,H006,Green Valley Hospital,D07,Emergency Medicine,Clinical Staff,Nurses & Doctors,15,14,,93.33,True,120,112.0,8.0,,12.0,2.0,1.9,9.6,3867.36,,False,2023-08-24,15.0,Facilities-Mgmt-System,2023-09-07
RU00708076,2025-09-29,2025,9,3,Monday,False,H005,Metro City Hospital,D15,Urology,Clinical Staff,Nurses & Doctors,10,12,,120.0,True,80,96.0,0.0,,9.0,3.0,1.6,4.1,3980.45,,False,2025-07-16,10.0,Manual Log,2025-09-30
RU00004240,2021-02-13,2021,2,1,Saturday,True,H001,St. Mary General Hospital,D03,Neurology,Bed,Inpatient Bed,43,23,0.0,53.49,False,1032,539.6,492.4,0.0,,,,,11179.69,Needs Repair,False,2020-08-28,45.0,Manual Log,2021-02-17
RU00321926,2025-10-14,2025,10,4,Tuesday,False,H002,Lakeview Medical Center,D13,ICU,Equipment,Ventilators,17,11,2.0,64.71,False,408,179.8,227.9,0.28,,,,20.0,651.95,Good,False,2025-08-12,18.0,Facilities-Mgmt-System,2025-10-17
RU00393860,2024-05-25,2024,5,2,Saturday,True,H007,Unity Regional Medical Center,D15,Urology,Equipment,Urology Scopes,19,10,0.0,52.63,False,456,185.5,270.1,0.37,,,,8.8,3879.8,Good,False,2024-04-21,19.0,Analytics-ETL,2024-05-29
RU00494469,2021-12-18,2021,12,4,Saturday,True,H006,Green Valley Hospital,D02,Orthopedics,Equipment,Orthopedic Surgical Sets,7,4,2.0,57.14,False,168,83.2,82.4,2.39,,,,11.4,741.16,  Fair  ,False,2021-08-07,7.0,Analytics-ETL,2021-12-19
RU00553696,2025-09-12,2025,9,3,Friday,False,H008,Horizon Care Hospital,D05,Pediatrics,Clinical Staff,Nurses & Doctors,9,8,,88.89,False,72,64.0,8.0,,2.0,6.0,2.1,7.9,3338.98,,False,2025-07-29,9.0,Facilities-Mgmt-System,2025-09-14
RU00057147,2022-03-23,2022,3,1,Wednesday,False,H006,Green Valley Hospital,D03,Neurology,Bed,Inpatient Bed,20,16,2.0,80.0,False,480,373.3,58.7,48.0,,,,,4920.3,Functional,True,2022-03-01,21.0,Manual Log,2022-03-24
RU00115176,2021-09-22,2021,9,3,Wednesday,False,H002,Lakeview Medical Center,D07,Emergency Medicine,Bed,Inpatient Bed,33,19,1.0,57.58,False,792,448.5,319.5,24.0,,,,,10513.0,Functional,True,2021-08-14,33.0,Manual Log,2021-09-24
RU00004520,2025-08-28,2025,8,3,Thursday,False,H006,Green Valley Hospital,D12,Psychiatry,Bed,Inpatient Bed,35,22,2.0,62.86,False,840,510.0,282.0,48.0,,,,,13142.35,Functional,True,2025-06-01,36.0,Manual Log,2025-08-31
RU00458583,2022-08-15,2022,8,3,Monday,False,H009,Pinecrest General Hospital,D04,Oncology,Equipment,Chemotherapy Infusion Pumps,9,5,0.0,55.56,False,216,105.6,109.9,0.48,,,,16.7,1496.25,Good,False,2022-06-16,9.0,Analytics-ETL,2022-08-17
RU00050617,2023-10-08,2023,10,4,Sunday,True,H007,Unity Regional Medical Center,D13,ICU,Bed,Inpatient Bed,25,15,1.0,60.0,False,600,328.7,247.3,24.0,,,,,8634.65,Needs Repair,True,2023-08-10,25.0,Manual Log,2023-10-11
RU00491160,2025-03-06,2025,3,1,Thursday,False,H001,St. Mary General Hospital,D04,Oncology,Equipment,Chemotherapy Infusion Pumps,11,7,1.0,63.64,False,264,127.9,135.8,0.25,,,,9.7,934.12,Needs Replacement,False,,11.0,Manual Log,2025-03-09
RU00013116,2022-05-06,2022,5,2,Friday,False,H010,Evercare Medical Center,D14,General Medicine,Bed,Inpatient Bed,51,36,3.0,70.59,False,1224,791.2,360.8,72.0,,,,,9608.4,Functional,True,2021-11-19,54.0,Manual Log,2022-05-10
RU00663764,2021-08-09,2021,8,3,Monday,False,H005,Metro City Hospital,D11,Gastroenterology,Clinical Staff,Nurses & Doctors,7,4,,57.14,False,56,32.0,24.0,,3.0,1.0,1.4,5.2,1445.7,,False,2021-06-11,7.0,Analytics-ETL,2021-08-13
RU00645701,2024-11-16,2024,11,4,Saturday,True,H004,Sunrise Health Institute,D02,Orthopedics,Clinical Staff,Nurses & Doctors,11,11,,100.0,True,88,88.0,0.0,,7.0,4.0,0.5,6.9,4084.12,,False,2024-06-14,12.0,Analytics-ETL,2024-11-20
RU00518926,2024-05-23,2024,5,2,Thursday,False,H009,Pinecrest General Hospital,D04,Oncology,Equipment,Chemotherapy Infusion Pumps,9,5,1.0,55.56,False,216,77.3,138.6,0.09,,,,14.8,1496.25,Fair,False,2023-11-07,10.0,Facilities-Mgmt-System,2024-05-26
RU00797333,2023-11-03,2023,11,4,Friday,False,H006,Green Valley Hospital,D08,Obstetrics & Gynecology,Clinical Staff,Nurses & Doctors,14,16,,114.29,True,112,128.0,0.0,,13.0,3.0,1.1,5.3,4824.81,,False,2023-09-13,14.0,Analytics-ETL,2023-11-06
RU00715019,2025-07-10,2025,7,3,Thursday,False,H002,Lakeview Medical Center,D11,Gastroenterology,Clinical Staff,Nurses & Doctors,9,7,,77.78,False,72,56.0,16.0,,4.0,3.0,0.5,7.3,3279.32,,False,2025-04-14,9.0,Manual Log,2025-07-12
RU00795976,2024-05-22,2024,5,2,Wednesday,False,H004,Sunrise Health Institute,D15,Urology,Clinical Staff,Nurses & Doctors,10,9,,90.0,False,80,72.0,8.0,,3.0,6.0,0.2,8.1,3922.6,,False,2023-12-10,10.0,Analytics-ETL,2024-05-26
RU00756328,2022-10-19,2022,10,4,Wednesday,False,H009,Pinecrest General Hospital,D08,Obstetrics & Gynecology,Clinical Staff,Nurses & Doctors,12,13,,108.33,True,96,104.0,0.0,,10.0,3.0,2.8,7.7,3371.15,,False,2022-07-31,13.0,Facilities-Mgmt-System,2022-10-23
RU00462921,2022-04-16,2022,4,2,Saturday,True,H001,St. Mary General Hospital,D06,General Surgery,Equipment,Surgical Equipment Sets,6,3,2.0,50.0,False,144,53.8,89.5,0.72,,,,11.2,327.3,Good,False,2022-03-24,6.0,Analytics-ETL,2022-04-19
RU00143831,2024-08-19,2024,8,3,Monday,False,H009,Pinecrest General Hospital,D09,Nephrology,Bed,Inpatient Bed,44,25,3.0,56.82,False,1056,563.0,421.0,72.0,,,,,14661.71,Functional,True,,44.0,Analytics-ETL,2024-08-21
RU00648043,2024-07-11,2024,7,3,Thursday,False,H008,Horizon Care Hospital,D13,ICU,Clinical Staff,Nurses & Doctors,14,16,,114.29,True,112,128.0,0.0,,13.0,3.0,1.6,6.7,5674.54,,False,2024-05-24,15.0,Manual Log,2024-07-13
RU00699684,2024-08-03,2024,8,3,Saturday,True,H006,Green Valley Hospital,D04,Oncology,CLINICAL STAFF,Nurses & Doctors,17,15,,88.24,False,136,120.0,16.0,,9.0,6.0,3.3,4.6,5942.23,,False,2024-04-06,17.0,Facilities-Mgmt-System,2024-08-06
RU00149111,2023-11-22,2023,11,4,Wednesday,False,H010,Evercare Medical Center,D08,Obstetrics & Gynecology,Bed,Inpatient Bed,37,26,2.0,70.27,False,888,577.1,262.9,48.0,,,,,10826.14,Functional,True,2023-08-09,36.0,Analytics-ETL,2023-11-25
RU00796037,2022-11-20,2022,11,4,Sunday,True,H006,Green Valley Hospital,D13,ICU,Clinical Staff,Nurses & Doctors,15,14,,93.33,True,120,112.0,8.0,,10.0,4.0,0.5,4.6,5151.28,,False,2022-10-10,15.0,Manual Log,2022-11-22
RU00109270,2023-06-20,2023,6,2,Tuesday,False,H005,Metro City Hospital,D05,Pediatrics,Bed,Inpatient Bed,20,14,0.0,70.0,False,480,315.6,164.4,0.0,,,,,6875.56,Needs Repair,False,2023-05-02,21.0,Analytics-ETL,2023-06-21
RU00778301,2024-08-08,2024,8,3,Thursday,False,H007,Unity Regional Medical Center,D07,Emergency Medicine,Clinical Staff,Nurses & Doctors,16,15,,93.75,True,128,120.0,8.0,,10.0,5.0,1.8,5.5,5806.15,,False,2024-07-11,16.0,Analytics-ETL,2024-08-12
RU00331221,2025-08-20,2025,8,3,Wednesday,False,H004,Sunrise Health Institute,D08,Obstetrics & Gynecology,Equipment,Ultrasound Machines,8,5,0.0,62.5,False,192,101.1,90.6,0.3,,,,9.7,575.6,Good,False,2025-08-04,8.0,Analytics-ETL,2025-08-21
RU00415211,2022-10-13,2022,10,4,Thursday,False,H009,Pinecrest General Hospital,D14,General Medicine,Equipment,Infusion Pumps,4,2,0.0,50.0,False,96,42.6,52.1,1.34,,,,18.3,321.16,Good,False,,4.0,Manual Log,2022-10-14
RU00010533,2023-06-19,2023,6,2,Monday,False,H003,Riverside Community Hospital,D14,General Medicine,Bed,Inpatient Bed,31,23,0.0,74.19,False,744,510.8,233.2,0.0,,,,,5943.61,Functional,False,2023-02-15,31.0,Manual Log,2023-06-23
RU00769085,2024-03-17,2024,3,1,Sunday,True,H009,Pinecrest General Hospital,D09,Nephrology,Clinical Staff,Nurses & Doctors,8,5,,62.5,False,64,40.0,24.0,,4.0,1.0,0.3,7.6,1644.62,,False,2023-11-02,8.0,Analytics-ETL,2024-03-18
RU00116291,2023-12-24,2023,12,4,Sunday,True,H007,Unity Regional Medical Center,D11,Gastroenterology,Bed,Inpatient Bed,20,13,2.0,65.0,False,480,284.6,147.4,48.0,,,,,7098.22,Functional,True,2023-06-29,20.0,Analytics-ETL,2023-12-27
RU00718493,2021-06-11,2021,6,2,Friday,False,H004,Sunrise Health Institute,D07,Emergency Medicine,Clinical Staff,Nurses & Doctors,12,14,,116.67,True,96,112.0,0.0,,11.0,3.0,1.5,4.3,4087.85,,False,2021-03-14,12.0,Analytics-ETL,2021-06-13
RU00685301,2021-06-25,2021,6,2,Friday,False,H005,Metro City Hospital,D05,Pediatrics,Clinical Staff,Nurses & Doctors,15,15,,100.0,True,120,120.0,0.0,,11.0,4.0,0.1,8.5,4696.34,,False,2021-02-05,15.0,Facilities-Mgmt-System,2021-06-26
RU00387386,2022-03-02,2022,3,1,Wednesday,False,H006,Green Valley Hospital,D05,Pediatrics,Equipment,Pediatric Incubators,9,5,2.0,55.56,False,216,103.6,112.1,0.31,,,,17.8,376.29,Good,False,2021-12-31,9.0,Manual Log,2022-03-05
RU00810362,2022-03-05,2022,3,1,Saturday,True,H006,Green Valley Hospital,D04,Oncology,Clinical Staff,Nurses & Doctors,17,15,,88.24,False,136,120.0,16.0,,11.0,4.0,0.9,2.2,4916.76,,False,2021-12-02,17.0,Facilities-Mgmt-System,2022-03-07
RU00648990,2022-07-19,2022,7,3,Tuesday,False,H001,St. Mary General Hospital,D08,Obstetrics & Gynecology,Clinical Staff,Nurses & Doctors,13,13,,100.0,True,104,104.0,0.0,,9.0,4.0,1.4,4.7,3913.6,,False,2022-01-13,13.0,Analytics-ETL,2022-07-20
RU00819743,2025-06-04,2025,6,2,Wednesday,False,H010,Evercare Medical Center,D10,Pulmonology,Clinical Staff,Nurses & Doctors,11,9,,81.82,False,88,72.0,16.0,,7.0,2.0,2.9,10.2,3237.27,,False,2025-04-01,11.0,Analytics-ETL,2025-06-08
RU00299818,2024-11-05,2024,11,4,Tuesday,False,H004,Sunrise Health Institute,D02,Orthopedics,Equipment,Orthopedic Surgical Sets,14,7,1.0,50.0,False,336,136.8,198.6,0.62,,,,4.4,578.2,New,False,2024-09-20,14.0,Analytics-ETL,2024-11-08
RU00661061,2025-10-02,2025,10,4,Thursday,False,H003,Riverside Community Hospital,D02,Orthopedics,Clinical Staff,Nurses & Doctors,12,11,,91.67,False,96,88.0,8.0,,7.0,4.0,0.3,6.3,4474.92,,False,2025-08-29,12.0,Analytics-ETL,2025-10-04
