hospital_id,hospital_name,hospital_ward,admission_date,available_beds,occupied_beds,bed_utilization_rate
HOSP-1022,The Johns Hopkins Hospital,surgery,,150,280,186.66666666666666
HOSP-1026,The Johns Hopkins Hospital,er,,500,30,6.0
HOSP-1028,The Johns Hopkins Hospital,er,,480,390,81.25
HOSP-1029,The Johns Hopkins Hospital,maternity,2021-03-13,210,240,114.28571428571428
HOSP-1030,The Johns Hopkins Hospital,er,,460,320,69.56521739130434
HOSP-1031,The Johns Hopkins Hospital,er,2020-07-26,360,300,83.33333333333334
HOSP-1031,The Johns Hopkins Hospital,er,,350,380,108.57142857142857
HOSP-1031,The Johns Hopkins Hospital,maternity,,250,320,128.0
HOSP-1032,The Johns Hopkins Hospital,maternity,2023-06-27,370,110,29.72972972972973
HOSP-1032,The Johns Hopkins Hospital,surgery,,420,30,7.142857142857142
HOSP-1033,The Johns Hopkins Hospital,er,2021-06-24,180,390,216.66666666666666
HOSP-1033,The Johns Hopkins Hospital,icu,,430,340,79.06976744186046
HOSP-1033,The Johns Hopkins Hospital,maternity,,130,270,207.6923076923077
HOSP-1034,The Johns Hopkins Hospital,icu,2021-06-21,460,100,21.73913043478261
HOSP-1034,The Johns Hopkins Hospital,icu,2024-03-26,440,140,31.818181818181817
HOSP-1035,The Johns Hopkins Hospital,maternity,2021-07-28,420,390,92.85714285714286
HOSP-1036,The Johns Hopkins Hospital,maternity,2022-04-27,310,240,77.41935483870968
HOSP-1037,The Johns Hopkins Hospital,maternity,2021-09-28,280,340,121.42857142857142
HOSP-1038,The Johns Hopkins Hospital,er,2024-05-15,110,20,18.181818181818183
HOSP-1038,The Johns Hopkins Hospital,maternity,,320,190,59.375
HOSP-1039,The Johns Hopkins Hospital,er,2023-12-25,370,280,75.67567567567568
HOSP-1039,The Johns Hopkins Hospital,pediatrics,2021-04-21,320,290,90.625
HOSP-1039,The Johns Hopkins Hospital,pediatrics,2022-06-13,120,20,16.666666666666664
HOSP-1040,The Johns Hopkins Hospital,icu,2021-02-19,430,290,67.44186046511628
HOSP-1041,The Johns Hopkins Hospital,surgery,,390,190,48.717948717948715
HOSP-1042,The Johns Hopkins Hospital,icu,2022-02-26,130,150,115.38461538461537
HOSP-1042,The Johns Hopkins Hospital,maternity,2022-10-24,120,280,233.33333333333334
HOSP-1043,The Johns Hopkins Hospital,surgery,2022-08-23,160,290,181.25
HOSP-1044,The Johns Hopkins Hospital,icu,,130,390,300.0
HOSP-1045,The Johns Hopkins Hospital,maternity,2022-03-15,300,70,23.333333333333332
HOSP-1046,The Johns Hopkins Hospital,pediatrics,,240,90,37.5
HOSP-1048,The Johns Hopkins Hospital,surgery,2021-02-13,390,320,82.05128205128204
HOSP-1049,The Johns Hopkins Hospital,maternity,2021-11-23,450,120,26.666666666666668
HOSP-1050,The Johns Hopkins Hospital,pediatrics,,150,360,240.0
HOSP-1051,The Johns Hopkins Hospital,maternity,,360,210,58.333333333333336
HOSP-1051,The Johns Hopkins Hospital,pediatrics,2024-02-19,300,150,50.0
HOSP-1051,The Johns Hopkins Hospital,pediatrics,,320,310,96.875
HOSP-1051,The Johns Hopkins Hospital,surgery,2022-02-28,490,130,26.53061224489796
HOSP-1052,The Johns Hopkins Hospital,pediatrics,,320,380,118.75
HOSP-1053,The Johns Hopkins Hospital,er,2023-03-29,200,360,180.0
HOSP-1053,The Johns Hopkins Hospital,er,,390,190,48.717948717948715
HOSP-1053,The Johns Hopkins Hospital,icu,2023-11-23,250,320,128.0
HOSP-1053,The Johns Hopkins Hospital,maternity,,240,60,25.0
HOSP-1054,The Johns Hopkins Hospital,icu,2023-03-31,490,110,22.448979591836736
HOSP-1055,The Johns Hopkins Hospital,maternity,,100,30,30.0
HOSP-1056,The Johns Hopkins Hospital,pediatrics,2021-05-21,480,190,39.58333333333333
HOSP-1059,The Johns Hopkins Hospital,pediatrics,2022-10-15,360,360,100.0
HOSP-1061,The Johns Hopkins Hospital,er,2022-04-25,170,290,170.58823529411765
HOSP-1061,The Johns Hopkins Hospital,surgery,,330,350,106.06060606060606
HOSP-1062,The Johns Hopkins Hospital,er,2022-03-16,460,240,52.17391304347826
HOSP-1062,The Johns Hopkins Hospital,icu,,360,170,47.22222222222222
HOSP-1063,The Johns Hopkins Hospital,er,2023-09-26,330,350,106.06060606060606
HOSP-1063,The Johns Hopkins Hospital,pediatrics,2022-04-24,350,210,60.0
HOSP-1064,The Johns Hopkins Hospital,er,2024-03-23,300,160,53.333333333333336
HOSP-1066,The Johns Hopkins Hospital,er,2023-02-22,180,160,88.88888888888889
HOSP-1066,The Johns Hopkins Hospital,maternity,2024-02-22,490,290,59.183673469387756
HOSP-1066,The Johns Hopkins Hospital,maternity,2024-07-18,310,180,58.06451612903226
HOSP-1066,The Johns Hopkins Hospital,pediatrics,2023-06-14,500,300,60.0
HOSP-1066,The Johns Hopkins Hospital,surgery,2022-08-14,310,90,29.03225806451613
HOSP-1066,The Johns Hopkins Hospital,surgery,2024-06-20,260,80,30.76923076923077
HOSP-1068,The Johns Hopkins Hospital,pediatrics,2022-08-16,230,10,4.3478260869565215
HOSP-1069,The Johns Hopkins Hospital,surgery,2021-01-27,330,320,96.96969696969697
HOSP-1070,The Johns Hopkins Hospital,er,,300,40,13.333333333333334
HOSP-1071,The Johns Hopkins Hospital,er,2022-03-20,460,190,41.30434782608695
HOSP-1071,The Johns Hopkins Hospital,icu,2020-11-16,220,370,168.1818181818182
HOSP-1072,The Johns Hopkins Hospital,surgery,,220,250,113.63636363636364
HOSP-1073,The Johns Hopkins Hospital,maternity,2021-10-28,310,110,35.483870967741936
HOSP-1074,The Johns Hopkins Hospital,maternity,2023-02-20,350,120,34.285714285714285
HOSP-1075,The Johns Hopkins Hospital,surgery,2021-10-26,320,110,34.375
HOSP-1075,The Johns Hopkins Hospital,surgery,,190,400,210.52631578947367
HOSP-1076,The Johns Hopkins Hospital,pediatrics,,310,390,125.80645161290323
HOSP-1077,The Johns Hopkins Hospital,icu,2023-12-22,450,50,11.11111111111111
HOSP-1079,The Johns Hopkins Hospital,icu,2022-11-13,260,250,96.15384615384616
HOSP-1080,The Johns Hopkins Hospital,icu,,440,250,56.81818181818182
HOSP-1081,The Johns Hopkins Hospital,icu,,430,270,62.7906976744186
HOSP-1084,The Johns Hopkins Hospital,er,,480,350,72.91666666666666
HOSP-1084,The Johns Hopkins Hospital,icu,2021-12-16,390,400,102.56410256410255
HOSP-1084,The Johns Hopkins Hospital,pediatrics,2020-08-16,140,240,171.42857142857142
HOSP-1085,The Johns Hopkins Hospital,maternity,2020-09-14,180,400,222.22222222222223
HOSP-1085,The Johns Hopkins Hospital,pediatrics,2021-06-22,480,300,62.5
HOSP-1086,The Johns Hopkins Hospital,er,,130,130,100.0
HOSP-1086,The Johns Hopkins Hospital,surgery,2022-10-20,330,340,103.03030303030303
HOSP-1088,The Johns Hopkins Hospital,icu,2023-03-23,140,40,28.57142857142857
HOSP-1091,The Johns Hopkins Hospital,icu,2021-07-22,460,130,28.26086956521739
HOSP-1091,The Johns Hopkins Hospital,maternity,,400,60,15.0
HOSP-1091,The Johns Hopkins Hospital,surgery,2020-09-24,470,260,55.319148936170215
HOSP-1092,The Johns Hopkins Hospital,er,,400,270,67.5
HOSP-1093,The Johns Hopkins Hospital,er,2021-12-20,180,90,50.0
HOSP-1094,The Johns Hopkins Hospital,surgery,,430,370,86.04651162790698
HOSP-1097,The Johns Hopkins Hospital,pediatrics,2021-12-19,170,350,205.88235294117646
HOSP-1098,The Johns Hopkins Hospital,icu,,290,0,0.0
HOSP-1098,The Johns Hopkins Hospital,pediatrics,,340,40,11.76470588235294
HOSP-1099,The Johns Hopkins Hospital,pediatrics,2021-12-16,450,250,55.55555555555556
HOSP-1100,The Johns Hopkins Hospital,er,,350,40,11.428571428571429
HOSP-1100,The Johns Hopkins Hospital,pediatrics,,240,350,145.83333333333331
HOSP-1105,The Johns Hopkins Hospital,icu,2023-06-29,350,20,5.714285714285714
HOSP-1105,The Johns Hopkins Hospital,surgery,,500,270,54.0
HOSP-1106,The Johns Hopkins Hospital,icu,2021-05-29,390,30,7.6923076923076925
HOSP-1107,The Johns Hopkins Hospital,maternity,2021-02-13,150,370,246.66666666666669
HOSP-1113,The Johns Hopkins Hospital,maternity,,370,30,8.108108108108109
HOSP-1115,The Johns Hopkins Hospital,icu,2021-04-29,110,340,309.09090909090907
HOSP-1115,The Johns Hopkins Hospital,pediatrics,2022-12-13,430,360,83.72093023255815
HOSP-1119,The Johns Hopkins Hospital,icu,,140,340,242.85714285714283
HOSP-1119,The Johns Hopkins Hospital,surgery,,190,350,184.21052631578948
HOSP-1120,The Johns Hopkins Hospital,maternity,,440,0,0.0
HOSP-1120,The Johns Hopkins Hospital,pediatrics,2024-04-17,440,190,43.18181818181818
HOSP-1121,The Johns Hopkins Hospital,icu,2021-07-15,300,160,53.333333333333336
HOSP-1122,The Johns Hopkins Hospital,er,,290,170,58.620689655172406
HOSP-1128,The Johns Hopkins Hospital,er,2024-07-13,500,380,76.0
HOSP-1128,The Johns Hopkins Hospital,icu,2023-09-19,360,200,55.55555555555556
HOSP-1128,The Johns Hopkins Hospital,pediatrics,,170,200,117.64705882352942
HOSP-1130,The Johns Hopkins Hospital,maternity,,140,340,242.85714285714283
HOSP-1130,The Johns Hopkins Hospital,pediatrics,,460,10,2.1739130434782608
HOSP-1131,The Johns Hopkins Hospital,er,2022-05-18,240,360,150.0
HOSP-1131,The Johns Hopkins Hospital,maternity,2021-04-17,140,370,264.2857142857143
HOSP-1131,The Johns Hopkins Hospital,pediatrics,2021-03-22,230,350,152.17391304347828
HOSP-1132,The Johns Hopkins Hospital,er,2022-05-29,450,160,35.55555555555556
HOSP-1134,The Johns Hopkins Hospital,icu,,220,290,131.8181818181818
HOSP-1134,The Johns Hopkins Hospital,pediatrics,2021-07-20,290,30,10.344827586206897
HOSP-1135,The Johns Hopkins Hospital,maternity,2023-04-22,230,130,56.52173913043478
HOSP-1136,The Johns Hopkins Hospital,icu,2023-01-14,330,10,3.0303030303030303
HOSP-1137,The Johns Hopkins Hospital,er,2021-10-26,390,80,20.51282051282051
HOSP-1138,The Johns Hopkins Hospital,icu,,350,270,77.14285714285715
HOSP-1138,The Johns Hopkins Hospital,maternity,2021-09-22,320,90,28.125
HOSP-1138,The Johns Hopkins Hospital,maternity,2022-08-13,390,50,12.82051282051282
HOSP-1140,The Johns Hopkins Hospital,er,,250,210,84.0
HOSP-1140,The Johns Hopkins Hospital,maternity,,450,230,51.11111111111111
HOSP-1141,The Johns Hopkins Hospital,icu,2021-10-14,220,300,136.36363636363635
HOSP-1141,The Johns Hopkins Hospital,icu,2021-12-14,170,190,111.76470588235294
HOSP-1143,The Johns Hopkins Hospital,maternity,2023-10-29,450,270,60.0
HOSP-1144,The Johns Hopkins Hospital,icu,2020-12-24,380,370,97.36842105263158
HOSP-1144,The Johns Hopkins Hospital,surgery,2020-08-13,380,50,13.157894736842104
HOSP-1145,The Johns Hopkins Hospital,icu,2020-09-22,230,280,121.73913043478262
HOSP-1145,The Johns Hopkins Hospital,pediatrics,,100,310,310.0
HOSP-1145,The Johns Hopkins Hospital,surgery,,190,90,47.368421052631575
HOSP-1146,The Johns Hopkins Hospital,er,2021-03-19,370,90,24.324324324324326
HOSP-1146,The Johns Hopkins Hospital,maternity,2021-11-28,410,370,90.2439024390244
HOSP-1146,The Johns Hopkins Hospital,maternity,2023-12-23,200,260,130.0
HOSP-1148,The Johns Hopkins Hospital,er,2023-10-30,470,90,19.148936170212767
HOSP-1148,The Johns Hopkins Hospital,er,,280,360,128.57142857142858
HOSP-1148,The Johns Hopkins Hospital,maternity,2021-09-18,110,390,354.54545454545456
HOSP-1149,The Johns Hopkins Hospital,er,2024-03-21,380,200,52.63157894736842
HOSP-1149,The Johns Hopkins Hospital,er,,440,70,15.909090909090908
HOSP-1149,The Johns Hopkins Hospital,surgery,2022-10-29,290,190,65.51724137931035
HOSP-1149,The Johns Hopkins Hospital,surgery,,440,200,45.45454545454545
HOSP-1150,The Johns Hopkins Hospital,icu,,440,270,61.36363636363637
HOSP-1151,The Johns Hopkins Hospital,pediatrics,,370,70,18.91891891891892
HOSP-1152,The Johns Hopkins Hospital,icu,,110,120,109.09090909090908
HOSP-1152,The Johns Hopkins Hospital,maternity,,130,310,238.46153846153845
HOSP-1152,The Johns Hopkins Hospital,pediatrics,2022-07-19,430,220,51.162790697674424
HOSP-1152,The Johns Hopkins Hospital,surgery,2021-05-28,250,40,16.0
HOSP-1153,The Johns Hopkins Hospital,surgery,2023-08-21,260,50,19.230769230769234
HOSP-1154,The Johns Hopkins Hospital,er,2022-09-21,180,360,200.0
HOSP-1154,The Johns Hopkins Hospital,pediatrics,2023-02-25,430,230,53.48837209302325
HOSP-1157,The Johns Hopkins Hospital,pediatrics,2024-05-21,110,0,0.0
HOSP-1160,The Johns Hopkins Hospital,surgery,2020-12-26,240,80,33.33333333333333
HOSP-1161,The Johns Hopkins Hospital,er,2021-11-18,410,40,9.75609756097561
HOSP-1162,The Johns Hopkins Hospital,surgery,,190,340,178.94736842105263
HOSP-1163,The Johns Hopkins Hospital,pediatrics,,130,140,107.6923076923077
HOSP-1165,The Johns Hopkins Hospital,er,2020-09-15,500,280,56.00000000000001
HOSP-1166,The Johns Hopkins Hospital,icu,,210,70,33.33333333333333
HOSP-1166,The Johns Hopkins Hospital,surgery,,290,270,93.10344827586206
HOSP-1167,The Johns Hopkins Hospital,pediatrics,2022-08-24,290,300,103.44827586206897
HOSP-1167,The Johns Hopkins Hospital,surgery,2021-08-15,300,400,133.33333333333331
HOSP-1168,The Johns Hopkins Hospital,er,,420,230,54.761904761904766
HOSP-1168,The Johns Hopkins Hospital,surgery,2024-01-26,330,320,96.96969696969697
HOSP-1169,The Johns Hopkins Hospital,icu,2020-09-25,420,200,47.61904761904761
HOSP-1169,The Johns Hopkins Hospital,pediatrics,,220,50,22.727272727272727
HOSP-1170,The Johns Hopkins Hospital,er,2022-09-19,130,110,84.61538461538461
HOSP-1170,The Johns Hopkins Hospital,maternity,2024-04-23,300,40,13.333333333333334
HOSP-1171,The Johns Hopkins Hospital,maternity,2021-10-15,380,0,0.0
HOSP-1171,The Johns Hopkins Hospital,pediatrics,,360,110,30.555555555555557
HOSP-1174,The Johns Hopkins Hospital,icu,,340,240,70.58823529411765
HOSP-1174,The Johns Hopkins Hospital,surgery,2020-10-29,480,210,43.75
HOSP-1175,The Johns Hopkins Hospital,icu,2022-09-26,390,50,12.82051282051282
HOSP-1176,The Johns Hopkins Hospital,surgery,2024-06-27,490,320,65.3061224489796
HOSP-1179,The Johns Hopkins Hospital,icu,2021-10-29,270,150,55.55555555555556
HOSP-1179,The Johns Hopkins Hospital,maternity,2024-04-22,220,290,131.8181818181818
HOSP-1179,The Johns Hopkins Hospital,pediatrics,,120,180,150.0
HOSP-1179,The Johns Hopkins Hospital,surgery,,330,270,81.81818181818183
HOSP-1180,The Johns Hopkins Hospital,icu,2024-01-21,320,10,3.125
HOSP-1180,The Johns Hopkins Hospital,maternity,,150,320,213.33333333333334
HOSP-1180,The Johns Hopkins Hospital,pediatrics,,390,310,79.48717948717949
HOSP-1180,The Johns Hopkins Hospital,surgery,2021-04-25,170,200,117.64705882352942
HOSP-1181,The Johns Hopkins Hospital,surgery,,440,70,15.909090909090908
HOSP-1183,The Johns Hopkins Hospital,er,2021-08-30,450,400,88.88888888888889
HOSP-1184,The Johns Hopkins Hospital,pediatrics,2020-08-17,340,170,50.0
HOSP-1184,The Johns Hopkins Hospital,pediatrics,2022-11-21,500,160,32.0
HOSP-1185,The Johns Hopkins Hospital,pediatrics,2024-02-19,250,340,136.0
HOSP-1185,The Johns Hopkins Hospital,surgery,,390,190,48.717948717948715
HOSP-1186,The Johns Hopkins Hospital,er,2022-08-30,160,150,93.75
HOSP-1186,The Johns Hopkins Hospital,icu,2023-05-17,440,160,36.36363636363637
HOSP-1187,The Johns Hopkins Hospital,er,,490,350,71.42857142857143
HOSP-1187,The Johns Hopkins Hospital,maternity,2020-07-24,410,230,56.09756097560976
HOSP-1190,The Johns Hopkins Hospital,er,2021-04-25,340,80,23.52941176470588
HOSP-1190,The Johns Hopkins Hospital,pediatrics,2024-01-21,430,40,9.30232558139535
HOSP-1191,The Johns Hopkins Hospital,maternity,2021-03-30,390,100,25.64102564102564
HOSP-1192,The Johns Hopkins Hospital,er,2021-10-18,170,30,17.647058823529413
HOSP-1192,The Johns Hopkins Hospital,er,2023-12-17,290,310,106.89655172413792
HOSP-1192,The Johns Hopkins Hospital,pediatrics,2021-04-18,100,310,310.0
HOSP-1193,The Johns Hopkins Hospital,er,2020-08-21,200,230,114.99999999999999
HOSP-1193,The Johns Hopkins Hospital,pediatrics,,330,300,90.9090909090909
HOSP-1194,The Johns Hopkins Hospital,pediatrics,2020-10-25,120,70,58.333333333333336
HOSP-1195,The Johns Hopkins Hospital,er,2020-08-31,300,190,63.33333333333333
HOSP-1195,The Johns Hopkins Hospital,maternity,,210,180,85.71428571428571
HOSP-1196,The Johns Hopkins Hospital,icu,2024-04-14,330,270,81.81818181818183
HOSP-1197,The Johns Hopkins Hospital,pediatrics,2022-07-23,430,110,25.581395348837212
HOSP-1198,The Johns Hopkins Hospital,er,,150,300,200.0
HOSP-1200,The Johns Hopkins Hospital,pediatrics,2023-07-19,340,330,97.05882352941177
HOSP-1200,The Johns Hopkins Hospital,pediatrics,,140,370,264.2857142857143
HOSP-1201,The Johns Hopkins Hospital,maternity,,480,90,18.75
HOSP-1201,The Johns Hopkins Hospital,pediatrics,2021-12-18,390,320,82.05128205128204
HOSP-1202,The Johns Hopkins Hospital,maternity,2022-02-19,420,180,42.857142857142854
HOSP-1203,The Johns Hopkins Hospital,er,,180,290,161.11111111111111
HOSP-1204,The Johns Hopkins Hospital,icu,2024-01-20,220,110,50.0
HOSP-1204,The Johns Hopkins Hospital,pediatrics,2022-01-31,220,50,22.727272727272727
HOSP-1205,The Johns Hopkins Hospital,maternity,2022-08-20,370,70,18.91891891891892
HOSP-1205,The Johns Hopkins Hospital,maternity,2023-04-17,490,210,42.857142857142854
HOSP-1206,The Johns Hopkins Hospital,maternity,,460,160,34.78260869565217
HOSP-1206,The Johns Hopkins Hospital,surgery,,130,140,107.6923076923077
HOSP-1208,The Johns Hopkins Hospital,surgery,2024-01-21,210,390,185.71428571428572
HOSP-1210,The Johns Hopkins Hospital,icu,2022-08-24,410,190,46.34146341463415
HOSP-1210,The Johns Hopkins Hospital,pediatrics,,380,270,71.05263157894737
HOSP-1211,The Johns Hopkins Hospital,icu,2022-05-31,210,380,180.95238095238096
HOSP-1211,The Johns Hopkins Hospital,maternity,,270,150,55.55555555555556
HOSP-1213,The Johns Hopkins Hospital,er,,240,370,154.16666666666669
HOSP-1216,The Johns Hopkins Hospital,maternity,2021-10-20,190,260,136.8421052631579
HOSP-1217,The Johns Hopkins Hospital,icu,2023-01-14,360,290,80.55555555555556
HOSP-1217,The Johns Hopkins Hospital,surgery,2022-05-26,380,230,60.526315789473685
HOSP-1217,The Johns Hopkins Hospital,surgery,,350,150,42.857142857142854
HOSP-1219,The Johns Hopkins Hospital,surgery,,210,230,109.52380952380953
HOSP-1220,The Johns Hopkins Hospital,surgery,2023-07-17,260,290,111.53846153846155
HOSP-1221,The Johns Hopkins Hospital,pediatrics,2024-02-16,160,230,143.75
HOSP-1222,The Johns Hopkins Hospital,maternity,,400,400,100.0
HOSP-1223,The Johns Hopkins Hospital,pediatrics,2021-04-24,500,110,22.0
HOSP-1227,The Johns Hopkins Hospital,maternity,2022-12-13,200,340,170.0
HOSP-1229,The Johns Hopkins Hospital,pediatrics,2022-03-27,110,20,18.181818181818183
HOSP-1229,The Johns Hopkins Hospital,surgery,,140,400,285.7142857142857
HOSP-1230,The Johns Hopkins Hospital,er,2020-08-18,270,260,96.29629629629629
HOSP-1230,The Johns Hopkins Hospital,er,2024-07-22,140,70,50.0
HOSP-1230,The Johns Hopkins Hospital,surgery,,500,210,42.0
HOSP-1232,The Johns Hopkins Hospital,maternity,2023-02-23,210,70,33.33333333333333
HOSP-1236,The Johns Hopkins Hospital,pediatrics,2020-10-24,260,90,34.61538461538461
HOSP-1236,The Johns Hopkins Hospital,pediatrics,2024-05-19,430,170,39.53488372093023
HOSP-1236,The Johns Hopkins Hospital,surgery,,170,40,23.52941176470588
HOSP-1237,The Johns Hopkins Hospital,maternity,2023-02-22,290,390,134.48275862068965
HOSP-1240,The Johns Hopkins Hospital,surgery,2023-07-19,230,80,34.78260869565217
HOSP-1241,The Johns Hopkins Hospital,pediatrics,2023-12-26,450,380,84.44444444444444
HOSP-1242,The Johns Hopkins Hospital,icu,,210,240,114.28571428571428
HOSP-1243,The Johns Hopkins Hospital,maternity,,320,180,56.25
HOSP-1243,The Johns Hopkins Hospital,surgery,2024-01-14,100,20,20.0
HOSP-1244,The Johns Hopkins Hospital,pediatrics,,220,20,9.090909090909092
HOSP-1244,The Johns Hopkins Hospital,surgery,2022-07-20,410,320,78.04878048780488
HOSP-1244,The Johns Hopkins Hospital,surgery,2023-10-14,360,10,2.7777777777777777
HOSP-1245,The Johns Hopkins Hospital,maternity,2021-08-16,440,240,54.54545454545454
HOSP-1246,The Johns Hopkins Hospital,icu,2020-09-27,300,350,116.66666666666667
HOSP-1248,The Johns Hopkins Hospital,icu,2022-02-13,200,260,130.0
HOSP-1248,The Johns Hopkins Hospital,maternity,,220,170,77.27272727272727
HOSP-1251,The Johns Hopkins Hospital,maternity,,440,300,68.18181818181817
HOSP-1251,The Johns Hopkins Hospital,surgery,,100,10,10.0
HOSP-1252,The Johns Hopkins Hospital,surgery,,380,120,31.57894736842105
HOSP-1253,The Johns Hopkins Hospital,pediatrics,2023-06-27,380,180,47.368421052631575
HOSP-1255,The Johns Hopkins Hospital,icu,,250,280,112.00000000000001
HOSP-1257,The Johns Hopkins Hospital,pediatrics,2024-04-25,130,190,146.15384615384613
HOSP-1258,The Johns Hopkins Hospital,er,2024-01-22,140,380,271.42857142857144
HOSP-1258,The Johns Hopkins Hospital,maternity,,320,290,90.625
HOSP-1260,The Johns Hopkins Hospital,pediatrics,2023-04-14,240,250,104.16666666666667
HOSP-1260,The Johns Hopkins Hospital,pediatrics,,280,20,7.142857142857142
HOSP-1261,The Johns Hopkins Hospital,icu,2024-02-13,490,60,12.244897959183673
HOSP-1264,The Johns Hopkins Hospital,maternity,,240,340,141.66666666666669
HOSP-1265,The Johns Hopkins Hospital,er,2021-07-13,480,230,47.91666666666667
HOSP-1265,The Johns Hopkins Hospital,er,2024-06-21,390,340,87.17948717948718
HOSP-1265,The Johns Hopkins Hospital,icu,2021-10-25,110,250,227.27272727272728
HOSP-1266,The Johns Hopkins Hospital,icu,,100,360,360.0
HOSP-1268,The Johns Hopkins Hospital,icu,,330,230,69.6969696969697
HOSP-1268,The Johns Hopkins Hospital,surgery,,440,190,43.18181818181818
HOSP-1270,The Johns Hopkins Hospital,surgery,2021-10-16,420,250,59.523809523809526
HOSP-1271,The Johns Hopkins Hospital,icu,,350,340,97.14285714285714
HOSP-1272,The Johns Hopkins Hospital,er,2023-09-17,210,220,104.76190476190477
HOSP-1272,The Johns Hopkins Hospital,er,,380,150,39.473684210526315
HOSP-1273,The Johns Hopkins Hospital,icu,2021-02-23,230,190,82.6086956521739
HOSP-1274,The Johns Hopkins Hospital,icu,2024-03-23,270,20,7.4074074074074066
HOSP-1275,The Johns Hopkins Hospital,er,,470,360,76.59574468085107
HOSP-1276,The Johns Hopkins Hospital,icu,,310,180,58.06451612903226
HOSP-1277,The Johns Hopkins Hospital,maternity,,130,170,130.76923076923077
HOSP-1277,The Johns Hopkins Hospital,pediatrics,2021-08-30,210,40,19.047619047619047
HOSP-1278,The Johns Hopkins Hospital,surgery,,270,170,62.96296296296296
HOSP-1280,The Johns Hopkins Hospital,pediatrics,2022-01-29,500,20,4.0
HOSP-1280,The Johns Hopkins Hospital,surgery,2022-11-25,130,170,130.76923076923077
HOSP-1282,The Johns Hopkins Hospital,er,,460,140,30.434782608695656
HOSP-1283,The Johns Hopkins Hospital,pediatrics,2023-02-18,200,400,200.0
HOSP-1284,The Johns Hopkins Hospital,icu,2021-05-17,140,160,114.28571428571428
HOSP-1284,The Johns Hopkins Hospital,maternity,,300,260,86.66666666666667
HOSP-1286,The Johns Hopkins Hospital,surgery,2024-01-20,450,370,82.22222222222221
HOSP-1287,The Johns Hopkins Hospital,icu,2024-05-24,190,150,78.94736842105263
HOSP-1288,The Johns Hopkins Hospital,surgery,,290,20,6.896551724137931
HOSP-1290,The Johns Hopkins Hospital,pediatrics,,460,220,47.82608695652174
HOSP-1292,The Johns Hopkins Hospital,icu,2022-03-15,250,250,100.0
HOSP-1292,The Johns Hopkins Hospital,maternity,2024-02-13,480,160,33.33333333333333
HOSP-1297,The Johns Hopkins Hospital,er,2022-02-22,500,140,28.000000000000004
HOSP-1297,The Johns Hopkins Hospital,icu,2024-03-30,410,80,19.51219512195122
HOSP-1298,The Johns Hopkins Hospital,surgery,2022-07-31,360,90,25.0
HOSP-1299,The Johns Hopkins Hospital,maternity,2021-01-28,320,110,34.375
HOSP-1299,The Johns Hopkins Hospital,maternity,2023-05-17,150,70,46.666666666666664
HOSP-1300,The Johns Hopkins Hospital,surgery,2021-07-31,270,0,0.0
