hospital_id,hospital_name,department_referral,admission_date,total_admissions,average_age,average_wait_time,average_length_of_stay,average_satisfaction,readmitted_patients
HOSP-1036,The Johns Hopkins Hospital,infectious disease,2022-04-27,1,44.0,120.0,16.0,1470.0,1.0
HOSP-1037,The Johns Hopkins Hospital,hepatology or gastroenterology,2021-09-28,1,39.0,105.0,17.0,120.0,0.0
HOSP-1038,The Johns Hopkins Hospital,neurology,2024-05-15,1,9.0,105.0,9.0,1230.0,0.0
HOSP-1038,The Johns Hopkins Hospital,neurology,,1,29.0,45.0,30.0,1510.0,0.0
HOSP-1039,The Johns Hopkins Hospital,nephrology,2022-06-13,1,59.0,105.0,19.0,170.0,1.0
HOSP-1039,The Johns Hopkins Hospital,neurology,2021-04-21,1,68.0,30.0,14.0,650.0,0.0
HOSP-1039,The Johns Hopkins Hospital,neurology,2023-12-25,1,52.0,105.0,15.0,1060.0,0.0
HOSP-1040,The Johns Hopkins Hospital,oncology,2021-02-19,1,21.0,60.0,16.0,1570.0,0.0
HOSP-1041,The Johns Hopkins Hospital,rheumatology,,1,64.0,75.0,15.0,140.0,1.0
HOSP-1042,The Johns Hopkins Hospital,psychiatry,2022-02-26,1,66.0,75.0,19.0,160.0,1.0
HOSP-1042,The Johns Hopkins Hospital,pulmonology or infectious disease,2022-10-24,1,77.0,120.0,6.0,260.0,1.0
HOSP-1043,The Johns Hopkins Hospital,oncology,2022-08-23,1,43.0,45.0,3.0,830.0,0.0
HOSP-1044,The Johns Hopkins Hospital,gastroenterology,,1,10.0,45.0,13.0,1540.0,0.0
HOSP-1045,The Johns Hopkins Hospital,nephrology,2022-03-15,1,65.0,105.0,8.0,1120.0,0.0
HOSP-1046,The Johns Hopkins Hospital,infectious disease or internal medicine,,1,49.0,105.0,20.0,350.0,0.0
HOSP-1048,The Johns Hopkins Hospital,neurology,2021-02-13,1,74.0,60.0,16.0,1430.0,0.0
HOSP-1049,The Johns Hopkins Hospital,pulmonology or allergy and immunology,2021-11-23,1,28.0,30.0,13.0,210.0,0.0
HOSP-1050,The Johns Hopkins Hospital,urology or nephrology,,1,68.0,30.0,24.0,1220.0,1.0
HOSP-1051,The Johns Hopkins Hospital,dermatology,2022-02-28,1,54.0,105.0,27.0,1420.0,0.0
HOSP-1051,The Johns Hopkins Hospital,psychiatry,,1,6.0,60.0,17.0,490.0,0.0
HOSP-1051,The Johns Hopkins Hospital,pulmonology,2024-02-19,1,1.0,120.0,22.0,1540.0,0.0
HOSP-1051,The Johns Hopkins Hospital,rheumatology,,1,47.0,120.0,4.0,1170.0,0.0
HOSP-1052,The Johns Hopkins Hospital,cardiology or internal medicine,,1,16.0,75.0,8.0,130.0,0.0
HOSP-1052,The Johns Hopkins Hospital,nephrology,,1,60.0,75.0,18.0,500.0,0.0
HOSP-1053,The Johns Hopkins Hospital,cardiology or internal medicine,2023-03-29,1,15.0,75.0,11.0,190.0,0.0
HOSP-1053,The Johns Hopkins Hospital,cardiology or internal medicine,,1,26.0,105.0,21.0,540.0,1.0
HOSP-1053,The Johns Hopkins Hospital,infectious disease,,1,55.0,120.0,12.0,1370.0,0.0
HOSP-1053,The Johns Hopkins Hospital,neurology,2023-11-23,1,77.0,30.0,30.0,1370.0,0.0
HOSP-1054,The Johns Hopkins Hospital,nephrology,2023-03-31,1,74.0,105.0,21.0,650.0,1.0
HOSP-1055,The Johns Hopkins Hospital,rheumatology,,1,2.0,45.0,29.0,490.0,1.0
HOSP-1056,The Johns Hopkins Hospital,cardiology,2021-05-21,1,81.0,45.0,16.0,670.0,0.0
HOSP-1059,The Johns Hopkins Hospital,urology or nephrology,2022-10-15,1,69.0,90.0,1.0,1540.0,0.0
HOSP-1061,The Johns Hopkins Hospital,endocrinology,2022-04-25,1,33.0,75.0,29.0,700.0,1.0
HOSP-1061,The Johns Hopkins Hospital,urology or nephrology,,1,4.0,120.0,13.0,550.0,1.0
HOSP-1062,The Johns Hopkins Hospital,neurology,,1,48.0,75.0,30.0,450.0,0.0
HOSP-1062,The Johns Hopkins Hospital,urology or nephrology,2022-03-16,1,80.0,105.0,25.0,690.0,1.0
HOSP-1063,The Johns Hopkins Hospital,endocrinology,2023-09-26,1,21.0,15.0,16.0,1500.0,0.0
HOSP-1063,The Johns Hopkins Hospital,psychiatry,2022-04-24,1,48.0,45.0,5.0,1140.0,1.0
HOSP-1064,The Johns Hopkins Hospital,hepatology or gastroenterology,2024-03-23,1,91.0,15.0,9.0,960.0,1.0
HOSP-1066,The Johns Hopkins Hospital,hepatology,2024-02-22,1,92.0,45.0,5.0,120.0,1.0
HOSP-1066,The Johns Hopkins Hospital,infectious disease,2023-06-14,1,82.0,30.0,13.0,760.0,0.0
HOSP-1066,The Johns Hopkins Hospital,neurology,2024-07-18,1,1.0,90.0,3.0,700.0,0.0
HOSP-1066,The Johns Hopkins Hospital,psychiatry,2022-08-14,1,86.0,105.0,17.0,440.0,0.0
HOSP-1066,The Johns Hopkins Hospital,rheumatology,2023-02-22,1,62.0,15.0,24.0,1580.0,1.0
HOSP-1066,The Johns Hopkins Hospital,rheumatology,2024-06-20,1,12.0,105.0,9.0,890.0,1.0
HOSP-1068,The Johns Hopkins Hospital,gastroenterology,2022-08-16,1,66.0,105.0,29.0,510.0,1.0
HOSP-1069,The Johns Hopkins Hospital,hepatology,2021-01-27,1,9.0,75.0,9.0,340.0,0.0
HOSP-1070,The Johns Hopkins Hospital,pulmonology or allergy and immunology,,1,48.0,60.0,10.0,1380.0,1.0
HOSP-1071,The Johns Hopkins Hospital,gastroenterology,2022-03-20,1,94.0,60.0,24.0,590.0,0.0
HOSP-1071,The Johns Hopkins Hospital,nephrology,2020-11-16,1,55.0,15.0,14.0,120.0,0.0
HOSP-1072,The Johns Hopkins Hospital,urology or nephrology,,1,30.0,45.0,5.0,1560.0,0.0
HOSP-1073,The Johns Hopkins Hospital,pulmonology or allergy and immunology,2021-10-28,1,55.0,105.0,20.0,1490.0,1.0
HOSP-1074,The Johns Hopkins Hospital,psychiatry,2023-02-20,1,41.0,120.0,8.0,1190.0,1.0
HOSP-1075,The Johns Hopkins Hospital,allergy and immunology,2021-10-26,1,94.0,90.0,24.0,1200.0,0.0
HOSP-1075,The Johns Hopkins Hospital,neurology,,1,9.0,120.0,19.0,320.0,0.0
HOSP-1076,The Johns Hopkins Hospital,oncology,,1,9.0,90.0,3.0,1210.0,1.0
HOSP-1077,The Johns Hopkins Hospital,gastroenterology,2023-12-22,1,44.0,60.0,23.0,600.0,0.0
HOSP-1079,The Johns Hopkins Hospital,neurology,2022-11-13,1,1.0,30.0,28.0,1360.0,1.0
HOSP-1080,The Johns Hopkins Hospital,cardiology,,1,3.0,75.0,20.0,270.0,1.0
HOSP-1081,The Johns Hopkins Hospital,rheumatology,,1,75.0,75.0,5.0,1440.0,1.0
HOSP-1084,The Johns Hopkins Hospital,gastroenterology,2020-08-16,1,60.0,120.0,5.0,1300.0,1.0
HOSP-1084,The Johns Hopkins Hospital,gastroenterology,2021-12-16,1,21.0,30.0,15.0,1090.0,0.0
HOSP-1084,The Johns Hopkins Hospital,rheumatology,,1,88.0,120.0,20.0,130.0,0.0
HOSP-1085,The Johns Hopkins Hospital,gastroenterology,2021-06-22,1,61.0,75.0,18.0,670.0,0.0
HOSP-1085,The Johns Hopkins Hospital,pulmonology,2020-09-14,1,77.0,60.0,2.0,500.0,1.0
HOSP-1086,The Johns Hopkins Hospital,gastroenterology,,1,52.0,45.0,12.0,1410.0,1.0
HOSP-1086,The Johns Hopkins Hospital,pulmonology or infectious disease,2022-10-20,1,53.0,75.0,18.0,1090.0,1.0
HOSP-1088,The Johns Hopkins Hospital,cardiology or internal medicine,2023-03-23,1,75.0,45.0,19.0,540.0,0.0
HOSP-1091,The Johns Hopkins Hospital,hepatology or gastroenterology,,1,10.0,105.0,13.0,1590.0,0.0
HOSP-1091,The Johns Hopkins Hospital,neurology,2020-09-24,1,31.0,90.0,10.0,310.0,1.0
HOSP-1091,The Johns Hopkins Hospital,rheumatology,2021-07-22,1,89.0,75.0,11.0,1090.0,0.0
HOSP-1092,The Johns Hopkins Hospital,dermatology,,1,36.0,15.0,10.0,1110.0,0.0
HOSP-1093,The Johns Hopkins Hospital,infectious disease or internal medicine,2021-12-20,1,36.0,45.0,8.0,660.0,0.0
HOSP-1094,The Johns Hopkins Hospital,psychiatry,,1,52.0,75.0,11.0,1200.0,0.0
HOSP-1097,The Johns Hopkins Hospital,rheumatology,2021-12-19,1,75.0,90.0,2.0,1570.0,1.0
HOSP-1098,The Johns Hopkins Hospital,neurology,,2,46.0,52.5,9.5,785.0,1.0
HOSP-1099,The Johns Hopkins Hospital,hepatology,2021-12-16,1,20.0,90.0,13.0,590.0,0.0
HOSP-1100,The Johns Hopkins Hospital,neurology,,1,93.0,105.0,9.0,110.0,0.0
HOSP-1100,The Johns Hopkins Hospital,pulmonology or allergy and immunology,,1,61.0,15.0,9.0,230.0,0.0
HOSP-1105,The Johns Hopkins Hospital,gastroenterology,2023-06-29,1,83.0,45.0,13.0,630.0,1.0
HOSP-1105,The Johns Hopkins Hospital,hepatology or gastroenterology,,1,54.0,105.0,23.0,310.0,0.0
HOSP-1105,The Johns Hopkins Hospital,psychiatry,,1,59.0,45.0,21.0,500.0,1.0
HOSP-1106,The Johns Hopkins Hospital,infectious disease,2021-05-29,1,43.0,30.0,22.0,1110.0,1.0
HOSP-1107,The Johns Hopkins Hospital,cardiology,2021-02-13,1,54.0,15.0,4.0,1170.0,1.0
HOSP-1113,The Johns Hopkins Hospital,hepatology or gastroenterology,,1,94.0,75.0,27.0,280.0,1.0
HOSP-1115,The Johns Hopkins Hospital,dermatology,2021-04-29,1,72.0,120.0,21.0,970.0,0.0
HOSP-1115,The Johns Hopkins Hospital,pulmonology,2022-12-13,1,11.0,60.0,6.0,1480.0,0.0
HOSP-1119,The Johns Hopkins Hospital,hepatology or gastroenterology,,1,88.0,90.0,24.0,1050.0,0.0
HOSP-1119,The Johns Hopkins Hospital,rheumatology,,1,11.0,30.0,23.0,210.0,0.0
HOSP-1120,The Johns Hopkins Hospital,dermatology,2024-04-17,1,36.0,45.0,15.0,320.0,1.0
HOSP-1120,The Johns Hopkins Hospital,nephrology,,1,36.0,105.0,2.0,1430.0,0.0
HOSP-1121,The Johns Hopkins Hospital,infectious disease or internal medicine,2021-07-15,1,71.0,90.0,1.0,410.0,0.0
HOSP-1122,The Johns Hopkins Hospital,urology or nephrology,,1,13.0,120.0,4.0,500.0,0.0
HOSP-1128,The Johns Hopkins Hospital,endocrinology,,1,78.0,75.0,3.0,260.0,1.0
HOSP-1128,The Johns Hopkins Hospital,gastroenterology,2024-07-13,1,21.0,45.0,23.0,100.0,1.0
HOSP-1128,The Johns Hopkins Hospital,urology or nephrology,2023-09-19,1,80.0,105.0,29.0,1350.0,1.0
HOSP-1130,The Johns Hopkins Hospital,infectious disease or internal medicine,,1,55.0,45.0,26.0,1500.0,1.0
HOSP-1130,The Johns Hopkins Hospital,neurology,,1,79.0,75.0,7.0,490.0,1.0
HOSP-1131,The Johns Hopkins Hospital,cardiology,2021-03-22,1,42.0,105.0,26.0,390.0,1.0
HOSP-1131,The Johns Hopkins Hospital,nephrology,2022-05-18,1,32.0,60.0,29.0,760.0,0.0
HOSP-1131,The Johns Hopkins Hospital,neurology,2021-04-17,1,93.0,15.0,30.0,590.0,0.0
HOSP-1132,The Johns Hopkins Hospital,infectious disease or internal medicine,2022-05-29,1,19.0,120.0,2.0,320.0,0.0
HOSP-1134,The Johns Hopkins Hospital,pulmonology,2021-07-20,1,66.0,75.0,20.0,1330.0,0.0
HOSP-1134,The Johns Hopkins Hospital,pulmonology or infectious disease,,1,7.0,60.0,3.0,1230.0,0.0
HOSP-1135,The Johns Hopkins Hospital,urology or nephrology,2023-04-22,1,94.0,15.0,24.0,120.0,0.0
HOSP-1136,The Johns Hopkins Hospital,neurology,2023-01-14,1,71.0,120.0,26.0,400.0,1.0
HOSP-1137,The Johns Hopkins Hospital,allergy and immunology,2021-10-26,1,10.0,90.0,8.0,580.0,1.0
HOSP-1138,The Johns Hopkins Hospital,allergy and immunology,2022-08-13,1,29.0,105.0,23.0,870.0,1.0
HOSP-1138,The Johns Hopkins Hospital,rheumatology,,1,64.0,75.0,20.0,610.0,1.0
HOSP-1138,The Johns Hopkins Hospital,urology or nephrology,2021-09-22,1,27.0,60.0,12.0,140.0,1.0
HOSP-1140,The Johns Hopkins Hospital,dermatology,,1,51.0,45.0,11.0,230.0,0.0
HOSP-1140,The Johns Hopkins Hospital,pulmonology or allergy and immunology,,1,8.0,90.0,22.0,920.0,1.0
HOSP-1141,The Johns Hopkins Hospital,gastroenterology,2021-10-14,1,85.0,15.0,20.0,1570.0,0.0
HOSP-1141,The Johns Hopkins Hospital,infectious disease or internal medicine,2021-12-14,1,7.0,75.0,14.0,610.0,0.0
HOSP-1143,The Johns Hopkins Hospital,nephrology,2023-10-29,1,22.0,120.0,11.0,400.0,0.0
HOSP-1144,The Johns Hopkins Hospital,neurology,2020-08-13,1,77.0,120.0,17.0,1580.0,1.0
HOSP-1144,The Johns Hopkins Hospital,psychiatry,2020-12-24,1,92.0,75.0,19.0,560.0,1.0
HOSP-1145,The Johns Hopkins Hospital,endocrinology,,1,72.0,120.0,20.0,320.0,0.0
HOSP-1145,The Johns Hopkins Hospital,infectious disease,2020-09-22,1,44.0,15.0,1.0,160.0,1.0
HOSP-1145,The Johns Hopkins Hospital,urology or nephrology,,1,16.0,120.0,22.0,1080.0,1.0
HOSP-1146,The Johns Hopkins Hospital,infectious disease,2021-03-19,1,86.0,105.0,23.0,1510.0,0.0
HOSP-1146,The Johns Hopkins Hospital,neurology,2023-12-23,1,80.0,15.0,20.0,440.0,0.0
HOSP-1146,The Johns Hopkins Hospital,pulmonology,2021-11-28,1,87.0,120.0,21.0,550.0,0.0
HOSP-1148,The Johns Hopkins Hospital,allergy and immunology,,1,39.0,30.0,4.0,1500.0,1.0
HOSP-1148,The Johns Hopkins Hospital,infectious disease or internal medicine,2021-09-18,1,88.0,60.0,12.0,1560.0,0.0
HOSP-1148,The Johns Hopkins Hospital,nephrology,2023-10-30,1,40.0,75.0,9.0,1590.0,0.0
HOSP-1149,The Johns Hopkins Hospital,hepatology,2024-03-21,1,72.0,90.0,23.0,850.0,1.0
HOSP-1149,The Johns Hopkins Hospital,hepatology or gastroenterology,,1,88.0,90.0,20.0,1550.0,1.0
HOSP-1149,The Johns Hopkins Hospital,psychiatry,,1,22.0,15.0,29.0,810.0,0.0
HOSP-1149,The Johns Hopkins Hospital,pulmonology or infectious disease,,1,83.0,60.0,14.0,330.0,0.0
HOSP-1149,The Johns Hopkins Hospital,rheumatology,2022-10-29,1,95.0,105.0,14.0,330.0,1.0
HOSP-1150,The Johns Hopkins Hospital,cardiology or internal medicine,,1,48.0,90.0,23.0,1470.0,0.0
HOSP-1151,The Johns Hopkins Hospital,urology or nephrology,,1,9.0,120.0,10.0,1130.0,0.0
HOSP-1152,The Johns Hopkins Hospital,cardiology or internal medicine,,1,37.0,90.0,11.0,180.0,0.0
HOSP-1152,The Johns Hopkins Hospital,hepatology or gastroenterology,2021-05-28,1,5.0,90.0,22.0,890.0,1.0
HOSP-1152,The Johns Hopkins Hospital,oncology,,1,64.0,30.0,10.0,1270.0,1.0
HOSP-1152,The Johns Hopkins Hospital,pulmonology or infectious disease,2022-07-19,1,21.0,45.0,17.0,1510.0,0.0
HOSP-1153,The Johns Hopkins Hospital,hepatology,2023-08-21,1,30.0,15.0,26.0,760.0,1.0
HOSP-1154,The Johns Hopkins Hospital,allergy and immunology,2022-09-21,1,59.0,105.0,13.0,650.0,0.0
HOSP-1154,The Johns Hopkins Hospital,dermatology,2023-02-25,1,67.0,75.0,28.0,360.0,1.0
HOSP-1157,The Johns Hopkins Hospital,pulmonology or allergy and immunology,2024-05-21,1,89.0,90.0,10.0,1380.0,1.0
HOSP-1160,The Johns Hopkins Hospital,gastroenterology,2020-12-26,1,60.0,30.0,13.0,910.0,1.0
HOSP-1161,The Johns Hopkins Hospital,pulmonology or allergy and immunology,2021-11-18,1,72.0,15.0,11.0,640.0,0.0
HOSP-1162,The Johns Hopkins Hospital,neurology,,1,38.0,90.0,8.0,1380.0,1.0
HOSP-1163,The Johns Hopkins Hospital,infectious disease or internal medicine,,1,24.0,120.0,5.0,1120.0,0.0
HOSP-1165,The Johns Hopkins Hospital,neurology,2020-09-15,1,8.0,90.0,17.0,1600.0,0.0
HOSP-1166,The Johns Hopkins Hospital,hepatology,,1,38.0,45.0,7.0,1600.0,0.0
HOSP-1166,The Johns Hopkins Hospital,infectious disease,,1,56.0,120.0,18.0,1520.0,0.0
HOSP-1167,The Johns Hopkins Hospital,infectious disease or internal medicine,2021-08-15,1,95.0,45.0,7.0,1230.0,0.0
HOSP-1167,The Johns Hopkins Hospital,psychiatry,2022-08-24,1,55.0,45.0,29.0,810.0,1.0
HOSP-1168,The Johns Hopkins Hospital,cardiology,,1,31.0,60.0,10.0,1230.0,0.0
HOSP-1168,The Johns Hopkins Hospital,infectious disease or internal medicine,,1,8.0,45.0,26.0,1510.0,1.0
HOSP-1168,The Johns Hopkins Hospital,urology or nephrology,2024-01-26,1,67.0,120.0,25.0,210.0,0.0
HOSP-1169,The Johns Hopkins Hospital,neurology,2020-09-25,1,43.0,75.0,22.0,1510.0,0.0
HOSP-1169,The Johns Hopkins Hospital,psychiatry,,1,61.0,90.0,6.0,1540.0,0.0
HOSP-1170,The Johns Hopkins Hospital,gastroenterology,2022-09-19,1,45.0,75.0,14.0,130.0,1.0
HOSP-1170,The Johns Hopkins Hospital,rheumatology,2024-04-23,1,89.0,120.0,25.0,200.0,0.0
HOSP-1171,The Johns Hopkins Hospital,psychiatry,,1,15.0,75.0,4.0,370.0,0.0
HOSP-1171,The Johns Hopkins Hospital,pulmonology,2021-10-15,1,7.0,90.0,17.0,1470.0,0.0
HOSP-1174,The Johns Hopkins Hospital,nephrology,2020-10-29,1,65.0,75.0,13.0,390.0,0.0
HOSP-1174,The Johns Hopkins Hospital,nephrology,,1,31.0,30.0,21.0,1100.0,0.0
HOSP-1175,The Johns Hopkins Hospital,neurology,2022-09-26,1,66.0,120.0,24.0,730.0,0.0
HOSP-1176,The Johns Hopkins Hospital,dermatology,2024-06-27,1,92.0,120.0,3.0,400.0,0.0
HOSP-1179,The Johns Hopkins Hospital,gastroenterology,2024-04-22,1,56.0,30.0,25.0,410.0,1.0
HOSP-1179,The Johns Hopkins Hospital,neurology,2021-10-29,1,23.0,45.0,18.0,1320.0,0.0
HOSP-1179,The Johns Hopkins Hospital,neurology,,1,40.0,120.0,28.0,1360.0,0.0
HOSP-1179,The Johns Hopkins Hospital,pulmonology or allergy and immunology,,1,77.0,105.0,4.0,1180.0,0.0
HOSP-1180,The Johns Hopkins Hospital,infectious disease,,1,48.0,90.0,12.0,1000.0,1.0
HOSP-1180,The Johns Hopkins Hospital,infectious disease or internal medicine,2021-04-25,1,20.0,60.0,25.0,730.0,0.0
HOSP-1180,The Johns Hopkins Hospital,neurology,,1,0.0,75.0,29.0,1490.0,0.0
HOSP-1180,The Johns Hopkins Hospital,urology or nephrology,2024-01-21,1,95.0,120.0,9.0,700.0,0.0
HOSP-1181,The Johns Hopkins Hospital,oncology,,1,13.0,120.0,2.0,140.0,1.0
HOSP-1181,The Johns Hopkins Hospital,psychiatry,,1,31.0,45.0,28.0,1470.0,1.0
HOSP-1183,The Johns Hopkins Hospital,rheumatology,2021-08-30,1,5.0,90.0,28.0,920.0,0.0
HOSP-1184,The Johns Hopkins Hospital,hepatology,2022-11-21,1,72.0,60.0,16.0,260.0,0.0
HOSP-1184,The Johns Hopkins Hospital,neurology,2020-08-17,1,82.0,105.0,4.0,600.0,0.0
HOSP-1185,The Johns Hopkins Hospital,cardiology or internal medicine,,1,88.0,30.0,6.0,330.0,0.0
HOSP-1185,The Johns Hopkins Hospital,neurology,2024-02-19,1,6.0,60.0,9.0,1580.0,0.0
HOSP-1186,The Johns Hopkins Hospital,infectious disease,2023-05-17,1,15.0,45.0,17.0,620.0,0.0
HOSP-1186,The Johns Hopkins Hospital,nephrology,2022-08-30,1,26.0,75.0,29.0,1030.0,0.0
HOSP-1187,The Johns Hopkins Hospital,cardiology,2020-07-24,1,85.0,75.0,27.0,160.0,0.0
HOSP-1187,The Johns Hopkins Hospital,neurology,,1,36.0,60.0,13.0,1090.0,0.0
HOSP-1190,The Johns Hopkins Hospital,hepatology or gastroenterology,2024-01-21,1,5.0,30.0,19.0,1410.0,1.0
HOSP-1190,The Johns Hopkins Hospital,infectious disease or internal medicine,2021-04-25,1,74.0,120.0,4.0,840.0,0.0
HOSP-1191,The Johns Hopkins Hospital,neurology,2021-03-30,1,71.0,30.0,28.0,1320.0,0.0
HOSP-1192,The Johns Hopkins Hospital,gastroenterology,2021-10-18,1,38.0,120.0,8.0,1130.0,0.0
HOSP-1192,The Johns Hopkins Hospital,pulmonology or infectious disease,2021-04-18,1,47.0,45.0,17.0,450.0,0.0
HOSP-1192,The Johns Hopkins Hospital,rheumatology,2023-12-17,1,80.0,105.0,5.0,970.0,1.0
HOSP-1193,The Johns Hopkins Hospital,neurology,2020-08-21,1,49.0,30.0,16.0,410.0,0.0
HOSP-1193,The Johns Hopkins Hospital,rheumatology,,1,93.0,90.0,14.0,1500.0,0.0
HOSP-1194,The Johns Hopkins Hospital,pulmonology,2020-10-25,1,30.0,15.0,18.0,350.0,0.0
HOSP-1195,The Johns Hopkins Hospital,gastroenterology,,1,49.0,120.0,3.0,910.0,0.0
HOSP-1195,The Johns Hopkins Hospital,infectious disease,2020-08-31,1,5.0,105.0,18.0,1410.0,0.0
HOSP-1196,The Johns Hopkins Hospital,neurology,2024-04-14,1,94.0,75.0,2.0,370.0,0.0
HOSP-1197,The Johns Hopkins Hospital,nephrology,2022-07-23,1,12.0,105.0,8.0,470.0,0.0
HOSP-1198,The Johns Hopkins Hospital,neurology,,1,45.0,105.0,9.0,250.0,0.0
HOSP-1200,The Johns Hopkins Hospital,oncology,,1,10.0,30.0,21.0,290.0,0.0
HOSP-1200,The Johns Hopkins Hospital,psychiatry,2023-07-19,1,83.0,75.0,1.0,940.0,1.0
HOSP-1201,The Johns Hopkins Hospital,gastroenterology,,1,29.0,45.0,15.0,1030.0,1.0
