date,hospital_id,hospital_name,department_id,department_name,department_type,total_beds,occupied_beds_count,bed_occupancy_rate_pct,patients_admitted_count,patients_discharged_count,readmission_count,readmission_rate_pct,mortality_count,mortality_rate_pct,avg_length_of_stay_days,avg_treatment_time_hours,transfer_events_count,nurses_on_duty,doctors_on_duty,staff_to_patient_ratio,equipment_downtime_hours,avg_satisfaction_score,department_efficiency_score
2026-06-20,H003,Sunrise Multi-Specialty Hospital,D04,Orthopedics,Specialty,35,24,68.57,5,5,0,0.0,0,0.0,6.72,23.77,3,7,2,1.8,1.49,4.55,74.86
2026-06-27,H001,CityCare General Hospital,D07,General Surgery,Surgical,40,29,72.5,12,8,3,25.0,0,0.0,8.65,26.93,5,6,4,0.833,1.06,3.9,68.54
2026-01-05,H002,Green Valley Medical Center,D03,Cardiology,Specialty,30,12,40.0,4,7,0,0.0,0,0.0,3.0,15.1,6,8,4,3.0,2.54,3.83,69.69
2026-01-12,H003,Sunrise Multi-Specialty Hospital,D06,Pediatrics,Medical,30,17,56.67,9,13,1,11.11,0,0.0,5.7,29.3,5,5,3,0.889,3.88,4.19,66.43
2026-01-19,H001,CityCare General Hospital,D02,General Medicine,Medical,50,45,90.0,12,9,1,8.33,0,0.0,3.51,21.76,4,9,5,1.167,0.49,4.14,87.91
2026-01-26,H002,Green Valley Medical Center,D05,ICU,Critical Care,20,12,60.0,6,4,1,16.67,0,0.0,10.76,31.78,3,6,1,1.167,1.19,4.54,61.93
2026-02-02,H003,Sunrise Multi-Specialty Hospital,D01,Emergency Department,Emergency,35,21,60.0,8,9,0,0.0,1,11.11,6.24,25.13,3,6,4,1.25,3.96,4.7,68.74
2026-02-09,H001,CityCare General Hospital,D04,Orthopedics,Specialty,35,27,77.14,5,2,0,0.0,0,0.0,1.57,8.14,7,6,3,1.8,0.15,4.03,89.01
2026-02-16,H002,Green Valley Medical Center,D07,General Surgery,Surgical,40,25,62.5,7,7,1,14.29,0,0.0,5.46,3.48,3,10,4,2.0,3.12,3.65,69.47
2026-02-23,H003,Sunrise Multi-Specialty Hospital,D03,Cardiology,Specialty,30,27,90.0,8,7,1,12.5,1,14.29,9.2,20.65,6,8,3,1.375,2.79,4.05,73.44
2026-03-02,H001,CityCare General Hospital,D06,Pediatrics,Medical,30,19,63.33,7,15,1,14.29,0,0.0,6.21,6.76,0,9,2,1.571,0.64,3.16,72.42
2026-03-09,H002,Green Valley Medical Center,D02,General Medicine,Medical,50,28,56.0,4,6,0,0.0,0,0.0,8.9,5.81,5,9,5,3.5,3.17,3.87,63.95
2026-03-16,H003,Sunrise Multi-Specialty Hospital,D05,ICU,Critical Care,20,19,95.0,2,0,0,0.0,0,0.0,4.27,5.93,5,4,1,2.5,0.87,3.85,89.39
2026-03-23,H001,CityCare General Hospital,D01,Emergency Department,Emergency,35,15,42.86,8,10,0,0.0,0,0.0,3.33,17.22,5,10,3,1.625,3.91,4.94,67.92
2026-03-30,H002,Green Valley Medical Center,D04,Orthopedics,Specialty,35,29,82.86,6,8,1,16.67,0,0.0,3.12,8.78,0,9,2,1.833,1.73,2.93,82.44
2026-04-06,H003,Sunrise Multi-Specialty Hospital,D07,General Surgery,Surgical,40,25,62.5,12,13,0,0.0,0,0.0,6.66,14.09,5,11,5,1.333,4.77,4.56,67.59
2026-04-13,H001,CityCare General Hospital,D03,Cardiology,Specialty,30,27,90.0,8,7,0,0.0,0,0.0,4.41,9.9,10,7,4,1.375,3.96,4.58,82.45
2026-04-20,H002,Green Valley Medical Center,D06,Pediatrics,Medical,30,27,90.0,5,5,1,20.0,0,0.0,8.03,8.3,9,8,4,2.4,1.15,4.02,76.61
2026-04-27,H003,Sunrise Multi-Specialty Hospital,D02,General Medicine,Medical,50,32,64.0,10,6,0,0.0,0,0.0,2.72,4.79,3,8,5,1.3,3.12,4.56,77.65
2026-05-04,H001,CityCare General Hospital,D05,ICU,Critical Care,20,15,75.0,4,4,0,0.0,0,0.0,7.9,15.37,3,6,1,1.75,1.3,4.37,75.34
2026-05-11,H002,Green Valley Medical Center,D01,Emergency Department,Emergency,35,26,74.29,8,12,0,0.0,1,8.33,8.91,7.39,8,6,3,1.125,2.59,3.91,71.26
2026-05-18,H003,Sunrise Multi-Specialty Hospital,D04,Orthopedics,Specialty,35,20,57.14,3,4,0,0.0,0,0.0,3.9,13.81,6,5,4,3.0,3.84,4.08,72.03
2026-05-25,H001,CityCare General Hospital,D07,General Surgery,Surgical,40,21,52.5,7,16,2,28.57,0,0.0,5.18,18.29,3,6,5,1.571,2.13,4.0,65.19
2026-06-01,H002,Green Valley Medical Center,D03,Cardiology,Specialty,30,19,63.33,6,6,1,16.67,0,0.0,5.81,26.38,4,5,2,1.167,1.74,4.18,70.88
2026-06-08,H003,Sunrise Multi-Specialty Hospital,D06,Pediatrics,Medical,30,24,80.0,2,2,0,0.0,0,0.0,4.45,4.23,4,6,4,5.0,4.42,3.51,78.14
2026-06-15,H001,CityCare General Hospital,D02,General Medicine,Medical,50,41,82.0,15,14,3,20.0,0,0.0,1.82,11.97,9,13,6,1.267,2.45,4.01,82.6
2026-06-22,H002,Green Valley Medical Center,D05,ICU,Critical Care,20,15,75.0,3,6,0,0.0,0,0.0,5.4,31.54,3,3,2,1.667,2.82,4.31,77.29
2026-06-29,H003,Sunrise Multi-Specialty Hospital,D01,Emergency Department,Emergency,35,23,65.71,11,12,0,0.0,1,8.33,8.33,3.6,6,9,2,1.0,2.4,3.81,69.58
2026-01-07,H001,CityCare General Hospital,D04,Orthopedics,Specialty,35,34,97.14,6,6,0,0.0,0,0.0,4.1,8.38,5,6,3,1.5,3.87,4.44,85.63
2026-01-14,H002,Green Valley Medical Center,D07,General Surgery,Surgical,40,35,87.5,8,6,2,25.0,2,33.33,2.94,4.04,3,10,4,1.75,0.0,3.3,85.48
2026-01-21,H003,Sunrise Multi-Specialty Hospital,D03,Cardiology,Specialty,30,16,53.33,10,10,0,0.0,0,0.0,5.29,12.48,8,6,2,0.8,1.56,4.06,71.91
2026-01-28,H001,CityCare General Hospital,D06,Pediatrics,Medical,30,25,83.33,5,8,0,0.0,0,0.0,2.05,6.98,4,7,3,2.0,2.39,3.9,86.75
2026-02-04,H002,Green Valley Medical Center,D02,General Medicine,Medical,50,24,48.0,10,8,1,10.0,0,0.0,3.76,10.98,6,10,4,1.4,2.94,4.64,68.52
2026-02-11,H003,Sunrise Multi-Specialty Hospital,D05,ICU,Critical Care,20,14,70.0,4,3,1,25.0,0,0.0,10.26,9.31,5,4,3,1.75,4.92,4.13,58.67
2026-02-18,H001,CityCare General Hospital,D01,Emergency Department,Emergency,35,29,82.86,8,5,0,0.0,0,0.0,3.04,23.32,4,6,3,1.125,2.04,3.82,85.42
2026-02-25,H002,Green Valley Medical Center,D04,Orthopedics,Specialty,35,21,60.0,7,10,1,14.29,0,0.0,7.36,10.27,6,6,2,1.143,3.69,4.09,64.36
2026-03-04,H003,Sunrise Multi-Specialty Hospital,D07,General Surgery,Surgical,40,35,87.5,8,7,1,12.5,0,0.0,5.09,11.91,8,11,5,2.0,3.46,4.93,78.68
2026-03-11,H001,CityCare General Hospital,D03,Cardiology,Specialty,30,24,80.0,8,7,2,25.0,0,0.0,3.6,20.42,6,8,2,1.25,0.81,4.55,80.4
2026-03-18,H002,Green Valley Medical Center,D06,Pediatrics,Medical,30,25,83.33,6,8,0,0.0,0,0.0,9.49,11.33,7,6,4,1.667,3.8,4.22,71.48
2026-03-25,H003,Sunrise Multi-Specialty Hospital,D02,General Medicine,Medical,50,30,60.0,11,14,0,0.0,0,0.0,2.06,18.4,6,12,5,1.545,0.4,3.84,81.76
2026-04-01,H001,CityCare General Hospital,D05,ICU,Critical Care,20,12,60.0,4,2,0,0.0,0,0.0,2.78,41.93,7,5,3,2.0,0.35,3.6,80.58
2026-04-08,H002,Green Valley Medical Center,D01,Emergency Department,Emergency,35,23,65.71,4,5,1,25.0,0,0.0,9.08,18.44,3,9,4,3.25,0.0,4.13,67.11
2026-04-15,H003,Sunrise Multi-Specialty Hospital,D04,Orthopedics,Specialty,35,19,54.29,9,9,0,0.0,0,0.0,8.34,25.44,6,5,4,1.0,4.26,4.86,62.59
2026-04-22,H001,CityCare General Hospital,D07,General Surgery,Surgical,40,29,72.5,6,5,1,16.67,0,0.0,8.58,26.94,2,6,4,1.667,1.45,4.55,69.71
2026-04-29,H002,Green Valley Medical Center,D03,Cardiology,Specialty,30,25,83.33,12,12,1,8.33,0,0.0,4.19,6.9,3,6,2,0.667,0.0,4.53,85.17
2026-05-06,H003,Sunrise Multi-Specialty Hospital,D06,Pediatrics,Medical,30,12,40.0,6,6,0,0.0,0,0.0,2.94,29.2,8,4,3,1.167,5.78,4.68,64.61
2026-05-13,H001,CityCare General Hospital,D02,General Medicine,Medical,50,35,70.0,11,11,0,0.0,0,0.0,7.59,4.62,2,10,6,1.455,0.0,4.27,76.22
2026-05-20,H002,Green Valley Medical Center,D05,ICU,Critical Care,20,11,55.0,8,7,2,25.0,1,14.29,1.89,22.32,7,7,3,1.25,0.0,4.26,75.94
2026-05-27,H003,Sunrise Multi-Specialty Hospital,D01,Emergency Department,Emergency,35,23,65.71,2,0,0,0.0,0,0.0,3.42,8.97,6,5,2,3.5,3.69,4.47,76.11
2026-06-03,H001,CityCare General Hospital,D04,Orthopedics,Specialty,35,24,68.57,5,5,0,0.0,0,0.0,2.92,12.82,5,8,4,2.4,1.47,3.85,81.54
2026-06-10,H002,Green Valley Medical Center,D07,General Surgery,Surgical,40,28,70.0,11,16,0,0.0,0,0.0,7.73,5.52,1,6,4,0.909,3.6,3.08,70.21
2026-06-17,H003,Sunrise Multi-Specialty Hospital,D03,Cardiology,Specialty,30,18,60.0,9,17,0,0.0,0,0.0,8.59,10.42,3,7,4,1.222,5.21,3.78,62.63
2026-06-24,H001,CityCare General Hospital,D06,Pediatrics,Medical,30,23,76.67,5,6,2,40.0,1,16.67,7.34,9.14,6,6,4,2.0,2.33,3.86,67.26
2026-01-02,H002,Green Valley Medical Center,D02,General Medicine,Medical,50,27,54.0,12,8,1,8.33,0,0.0,4.09,26.13,9,9,5,1.167,1.86,4.27,72.1
2026-01-09,H003,Sunrise Multi-Specialty Hospital,D05,ICU,Critical Care,20,13,65.0,3,1,0,0.0,0,0.0,1.71,8.29,5,5,3,2.667,2.09,4.07,81.41
2026-01-16,H001,CityCare General Hospital,D01,Emergency Department,Emergency,35,23,65.71,11,6,1,9.09,0,0.0,4.93,29.13,2,9,4,1.182,2.77,4.03,73.12
2026-01-23,H002,Green Valley Medical Center,D04,Orthopedics,Specialty,35,21,60.0,10,7,0,0.0,0,0.0,8.34,29.3,4,7,3,1.0,0.0,4.11,71.4
2026-01-30,H003,Sunrise Multi-Specialty Hospital,D07,General Surgery,Surgical,40,32,80.0,11,14,0,0.0,0,0.0,6.7,23.44,8,6,5,1.0,2.02,4.39,78.04
2026-02-06,H001,CityCare General Hospital,D03,Cardiology,Specialty,30,13,43.33,8,5,0,0.0,0,0.0,3.81,19.94,5,6,3,1.125,1.62,4.46,70.91
2026-02-13,H002,Green Valley Medical Center,D06,Pediatrics,Medical,30,15,50.0,2,0,0,0.0,0,0.0,7.0,10.81,11,9,4,6.5,1.64,4.38,67.63
2026-02-20,H003,Sunrise Multi-Specialty Hospital,D02,General Medicine,Medical,50,45,90.0,8,9,0,0.0,0,0.0,7.94,19.62,4,10,4,1.75,3.29,4.44,77.34
2026-02-27,H001,CityCare General Hospital,D05,ICU,Critical Care,20,16,80.0,3,5,1,33.33,0,0.0,9.93,30.54,1,5,1,2.0,1.39,3.98,66.73
2026-03-06,H002,Green Valley Medical Center,D01,Emergency Department,Emergency,35,19,54.29,11,7,0,0.0,1,14.29,8.32,27.66,14,6,4,0.909,3.9,4.13,63.2
2026-03-13,H003,Sunrise Multi-Specialty Hospital,D04,Orthopedics,Specialty,35,27,77.14,3,2,0,0.0,0,0.0,5.22,15.6,4,9,3,4.0,4.61,4.67,75.49
2026-03-20,H001,CityCare General Hospital,D07,General Surgery,Surgical,40,27,67.5,4,4,1,25.0,0,0.0,3.2,13.12,1,11,4,3.75,3.03,4.13,73.18
2026-03-27,H002,Green Valley Medical Center,D03,Cardiology,Specialty,30,12,40.0,5,4,1,20.0,1,25.0,1.83,5.11,9,5,3,1.6,1.5,4.01,69.4
2026-04-03,H003,Sunrise Multi-Specialty Hospital,D06,Pediatrics,Medical,30,14,46.67,7,9,1,14.29,0,0.0,6.94,12.48,4,8,4,1.714,2.1,4.28,62.97
2026-04-10,H001,CityCare General Hospital,D02,General Medicine,Medical,50,48,96.0,11,13,0,0.0,1,7.69,3.06,19.55,5,9,6,1.364,3.66,3.93,87.39
2026-04-17,H002,Green Valley Medical Center,D05,ICU,Critical Care,20,16,80.0,2,0,0,0.0,0,0.0,11.04,13.16,8,5,3,4.0,2.19,3.77,70.18
2026-04-24,H003,Sunrise Multi-Specialty Hospital,D01,Emergency Department,Emergency,35,16,45.71,12,14,0,0.0,0,0.0,5.11,3.43,7,9,4,1.083,2.6,3.43,67.9
2026-05-01,H001,CityCare General Hospital,D04,Orthopedics,Specialty,35,24,68.57,6,4,0,0.0,0,0.0,8.33,22.31,8,6,3,1.5,0.0,4.26,74.42
2026-05-08,H002,Green Valley Medical Center,D07,General Surgery,Surgical,40,36,90.0,7,4,1,14.29,0,0.0,1.62,25.06,3,7,4,1.571,0.94,3.88,89.3
2026-05-15,H003,Sunrise Multi-Specialty Hospital,D03,Cardiology,Specialty,30,19,63.33,4,5,0,0.0,0,0.0,3.2,13.11,4,7,4,2.75,1.48,3.58,79.2
2026-05-22,H001,CityCare General Hospital,D06,Pediatrics,Medical,30,17,56.67,5,6,0,0.0,0,0.0,4.51,29.53,6,8,4,2.4,1.72,4.66,74.19
2026-05-29,H002,Green Valley Medical Center,D02,General Medicine,Medical,50,27,54.0,9,5,0,0.0,0,0.0,6.43,8.1,2,13,4,1.889,0.33,3.93,72.12
2026-06-05,H003,Sunrise Multi-Specialty Hospital,D05,ICU,Critical Care,20,12,60.0,3,4,0,0.0,0,0.0,9.2,21.8,5,6,3,3.0,3.71,3.77,63.96
2026-06-12,H001,CityCare General Hospital,D01,Emergency Department,Emergency,35,23,65.71,10,6,0,0.0,0,0.0,8.24,27.49,5,7,3,1.0,1.03,4.02,71.93
2026-06-19,H002,Green Valley Medical Center,D04,Orthopedics,Specialty,35,27,77.14,8,7,1,12.5,0,0.0,9.39,17.09,8,5,3,1.0,2.42,4.43,69.19
2026-06-26,H003,Sunrise Multi-Specialty Hospital,D07,General Surgery,Surgical,40,32,80.0,4,8,0,0.0,0,0.0,3.13,21.72,5,8,5,3.25,2.22,4.42,83.97
2026-01-04,H001,CityCare General Hospital,D03,Cardiology,Specialty,30,18,60.0,7,8,1,14.29,0,0.0,3.28,6.46,7,7,4,1.571,4.91,4.32,69.55
2026-01-11,H002,Green Valley Medical Center,D06,Pediatrics,Medical,30,18,60.0,4,2,1,25.0,0,0.0,5.31,4.35,5,9,2,2.75,0.93,4.12,70.22
2026-01-18,H003,Sunrise Multi-Specialty Hospital,D02,General Medicine,Medical,50,42,84.0,6,3,0,0.0,0,0.0,3.24,13.57,8,13,5,3.0,0.15,4.08,88.49
2026-01-25,H001,CityCare General Hospital,D05,ICU,Critical Care,20,19,95.0,2,1,0,0.0,0,0.0,2.07,32.55,5,4,1,2.5,4.97,3.58,86.68
2026-02-01,H002,Green Valley Medical Center,D01,Emergency Department,Emergency,35,28,80.0,8,9,1,12.5,0,0.0,9.37,15.28,5,7,3,1.25,2.08,4.63,70.77
2026-02-08,H003,Sunrise Multi-Specialty Hospital,D04,Orthopedics,Specialty,35,28,80.0,5,4,0,0.0,0,0.0,1.94,3.07,5,5,3,1.6,3.17,4.17,84.53
2026-02-15,H001,CityCare General Hospital,D07,General Surgery,Surgical,40,20,50.0,4,5,0,0.0,0,0.0,8.33,18.43,6,11,3,3.5,3.09,4.52,62.98
2026-02-22,H002,Green Valley Medical Center,D03,Cardiology,Specialty,30,17,56.67,9,10,1,11.11,1,10.0,6.5,11.17,6,4,4,0.889,1.31,4.27,69.14
2026-03-01,H003,Sunrise Multi-Specialty Hospital,D06,Pediatrics,Medical,30,15,50.0,8,10,0,0.0,0,0.0,7.62,9.59,10,7,4,1.375,3.98,4.31,62.8
2026-03-08,H001,CityCare General Hospital,D02,General Medicine,Medical,50,31,62.0,10,8,1,10.0,0,0.0,3.98,17.25,4,12,4,1.6,4.73,3.84,70.17
2026-03-15,H002,Green Valley Medical Center,D05,ICU,Critical Care,20,17,85.0,2,0,0,0.0,0,0.0,2.14,13.67,7,6,2,4.0,2.82,3.68,86.49
2026-03-22,H003,Sunrise Multi-Specialty Hospital,D01,Emergency Department,Emergency,35,19,54.29,5,5,1,20.0,0,0.0,8.86,28.24,1,8,2,2.0,6.22,3.84,54.54
2026-03-29,H001,CityCare General Hospital,D04,Orthopedics,Specialty,35,24,68.57,11,9,3,27.27,0,0.0,3.47,18.22,6,6,3,0.818,2.7,3.81,73.15
2026-04-05,H002,Green Valley Medical Center,D07,General Surgery,Surgical,40,24,60.0,10,9,0,0.0,0,0.0,7.14,13.39,4,6,4,1.0,3.31,3.81,68.21
2026-04-12,H003,Sunrise Multi-Specialty Hospital,D03,Cardiology,Specialty,30,16,53.33,6,5,1,16.67,0,0.0,3.88,25.24,4,9,3,2.0,1.79,4.19,70.68
2026-04-19,H001,CityCare General Hospital,D06,Pediatrics,Medical,30,26,86.67,6,5,0,0.0,0,0.0,2.2,15.94,6,6,3,1.5,2.21,4.45,87.95
2026-04-26,H002,Green Valley Medical Center,D02,General Medicine,Medical,50,35,70.0,14,12,0,0.0,0,0.0,7.18,21.3,5,13,6,1.357,2.7,3.87,72.62
2026-05-03,H003,Sunrise Multi-Specialty Hospital,D05,ICU,Critical Care,20,18,90.0,3,0,0,0.0,0,0.0,2.15,11.08,4,4,2,2.0,4.27,4.18,85.91
2026-05-10,H001,CityCare General Hospital,D01,Emergency Department,Emergency,35,21,60.0,8,9,0,0.0,0,0.0,9.39,14.64,4,8,4,1.5,0.0,4.15,69.57
2026-05-17,H002,Green Valley Medical Center,D04,Orthopedics,Specialty,35,27,77.14,10,8,3,30.0,0,0.0,8.68,14.85,4,10,2,1.2,4.06,4.0,64.31
