resource_utilization_id,hospital_id,hospital_name,resource_type,date,department_id,department_name,ward_id,ward_name,shift,total_units_available,units_in_use,utilization_rate_pct,doctor_count,nurse_count,technician_count,pharmacist_count,admin_count,drug_id,drug_name,drug_category,reorder_level_threshold,shortage_flag,manufacturer_name,reliability_rating
51,1,HMIS Hospital,Bed,2020-02-20,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
52,1,HMIS Hospital,Bed,2020-02-21,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
53,1,HMIS Hospital,Bed,2020-02-22,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
54,1,HMIS Hospital,Bed,2020-02-23,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
55,1,HMIS Hospital,Bed,2020-02-24,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
56,1,HMIS Hospital,Bed,2020-02-25,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
57,1,HMIS Hospital,Bed,2020-02-26,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
58,1,HMIS Hospital,Bed,2020-02-27,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
59,1,HMIS Hospital,Bed,2020-02-28,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
60,1,HMIS Hospital,Bed,2020-02-29,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
61,1,HMIS Hospital,Bed,2020-03-01,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
62,1,HMIS Hospital,Bed,2020-03-02,1,Emergency,,,,75,27,36.0,,,,,,,,,,,,
63,1,HMIS Hospital,Bed,2020-03-03,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
64,1,HMIS Hospital,Bed,2020-03-04,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
65,1,HMIS Hospital,Bed,2020-03-05,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
66,1,HMIS Hospital,Bed,2020-03-06,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
67,1,HMIS Hospital,Bed,2020-03-07,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
68,1,HMIS Hospital,Bed,2020-03-08,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
69,1,HMIS Hospital,Bed,2020-03-09,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
70,1,HMIS Hospital,Bed,2020-03-10,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
71,1,HMIS Hospital,Bed,2020-03-11,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
72,1,HMIS Hospital,Bed,2020-03-12,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
73,1,HMIS Hospital,Bed,2020-03-13,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
74,1,HMIS Hospital,Bed,2020-03-14,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
75,1,HMIS Hospital,Bed,2020-03-15,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
76,1,HMIS Hospital,Bed,2020-03-16,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
77,1,HMIS Hospital,Bed,2020-03-17,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
78,1,HMIS Hospital,Bed,2020-03-18,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
79,1,HMIS Hospital,Bed,2020-03-19,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
80,1,HMIS Hospital,Bed,2020-03-20,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
81,1,HMIS Hospital,Bed,2020-03-21,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
82,1,HMIS Hospital,Bed,2020-03-22,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
83,1,HMIS Hospital,Bed,2020-03-23,1,Emergency,,,,75,26,34.67,,,,,,,,,,,,
84,1,HMIS Hospital,Bed,2020-03-24,1,Emergency,,,,75,26,34.67,,,,,,,,,,,,
85,1,HMIS Hospital,Bed,2020-03-25,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
86,1,HMIS Hospital,Bed,2020-03-26,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
87,1,HMIS Hospital,Bed,2020-03-27,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
88,1,HMIS Hospital,Bed,2020-03-28,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
89,1,HMIS Hospital,Bed,2020-03-29,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
90,1,HMIS Hospital,Bed,2020-03-30,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
91,1,HMIS Hospital,Bed,2020-03-31,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
92,1,HMIS Hospital,Bed,2020-04-01,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
93,1,HMIS Hospital,Bed,2020-04-02,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
94,1,HMIS Hospital,Bed,2020-04-03,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
95,1,HMIS Hospital,Bed,2020-04-04,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
96,1,HMIS Hospital,Bed,2020-04-05,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
97,1,HMIS Hospital,Bed,2020-04-06,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
98,1,HMIS Hospital,Bed,2020-04-07,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
99,1,HMIS Hospital,Bed,2020-04-08,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
100,1,HMIS Hospital,Bed,2020-04-09,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
101,1,HMIS Hospital,Bed,2020-04-10,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
102,1,HMIS Hospital,Bed,2020-04-11,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
103,1,HMIS Hospital,Bed,2020-04-12,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
104,1,HMIS Hospital,Bed,2020-04-13,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
105,1,HMIS Hospital,Bed,2020-04-14,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
106,1,HMIS Hospital,Bed,2020-04-15,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
107,1,HMIS Hospital,Bed,2020-04-16,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
108,1,HMIS Hospital,Bed,2020-04-17,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
109,1,HMIS Hospital,Bed,2020-04-18,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
110,1,HMIS Hospital,Bed,2020-04-19,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
111,1,HMIS Hospital,Bed,2020-04-20,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
112,1,HMIS Hospital,Bed,2020-04-21,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
113,1,HMIS Hospital,Bed,2020-04-22,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
114,1,HMIS Hospital,Bed,2020-04-23,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
115,1,HMIS Hospital,Bed,2020-04-24,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
116,1,HMIS Hospital,Bed,2020-04-25,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
117,1,HMIS Hospital,Bed,2020-04-26,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
118,1,HMIS Hospital,Bed,2020-04-27,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
119,1,HMIS Hospital,Bed,2020-04-28,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
120,1,HMIS Hospital,Bed,2020-04-29,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
121,1,HMIS Hospital,Bed,2020-04-30,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
122,1,HMIS Hospital,Bed,2020-05-01,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
123,1,HMIS Hospital,Bed,2020-05-02,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
124,1,HMIS Hospital,Bed,2020-05-03,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
125,1,HMIS Hospital,Bed,2020-05-04,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
126,1,HMIS Hospital,Bed,2020-05-05,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
127,1,HMIS Hospital,Bed,2020-05-06,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
128,1,HMIS Hospital,Bed,2020-05-07,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
129,1,HMIS Hospital,Bed,2020-05-08,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
130,1,HMIS Hospital,Bed,2020-05-09,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
131,1,HMIS Hospital,Bed,2020-05-10,1,Emergency,,,,75,9,12.0,,,,,,,,,,,,
132,1,HMIS Hospital,Bed,2020-05-11,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
133,1,HMIS Hospital,Bed,2020-05-12,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
134,1,HMIS Hospital,Bed,2020-05-13,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
135,1,HMIS Hospital,Bed,2020-05-14,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
136,1,HMIS Hospital,Bed,2020-05-15,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
137,1,HMIS Hospital,Bed,2020-05-16,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
138,1,HMIS Hospital,Bed,2020-05-17,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
139,1,HMIS Hospital,Bed,2020-05-18,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
140,1,HMIS Hospital,Bed,2020-05-19,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
141,1,HMIS Hospital,Bed,2020-05-20,1,Emergency,,,,75,28,37.33,,,,,,,,,,,,
142,1,HMIS Hospital,Bed,2020-05-21,1,Emergency,,,,75,29,38.67,,,,,,,,,,,,
143,1,HMIS Hospital,Bed,2020-05-22,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
144,1,HMIS Hospital,Bed,2020-05-23,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
145,1,HMIS Hospital,Bed,2020-05-24,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
146,1,HMIS Hospital,Bed,2020-05-25,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
147,1,HMIS Hospital,Bed,2020-05-26,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
148,1,HMIS Hospital,Bed,2020-05-27,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
149,1,HMIS Hospital,Bed,2020-05-28,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
150,1,HMIS Hospital,Bed,2020-05-29,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
151,1,HMIS Hospital,Bed,2020-05-30,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
152,1,HMIS Hospital,Bed,2020-05-31,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
153,1,HMIS Hospital,Bed,2020-06-01,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
154,1,HMIS Hospital,Bed,2020-06-02,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
155,1,HMIS Hospital,Bed,2020-06-03,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
156,1,HMIS Hospital,Bed,2020-06-04,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
157,1,HMIS Hospital,Bed,2020-06-05,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
158,1,HMIS Hospital,Bed,2020-06-06,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
159,1,HMIS Hospital,Bed,2020-06-07,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
160,1,HMIS Hospital,Bed,2020-06-08,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
161,1,HMIS Hospital,Bed,2020-06-09,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
162,1,HMIS Hospital,Bed,2020-06-10,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
163,1,HMIS Hospital,Bed,2020-06-11,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
164,1,HMIS Hospital,Bed,2020-06-12,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
165,1,HMIS Hospital,Bed,2020-06-13,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
166,1,HMIS Hospital,Bed,2020-06-14,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
167,1,HMIS Hospital,Bed,2020-06-15,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
168,1,HMIS Hospital,Bed,2020-06-16,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
169,1,HMIS Hospital,Bed,2020-06-17,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
170,1,HMIS Hospital,Bed,2020-06-18,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
171,1,HMIS Hospital,Bed,2020-06-19,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
172,1,HMIS Hospital,Bed,2020-06-20,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
173,1,HMIS Hospital,Bed,2020-06-21,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
174,1,HMIS Hospital,Bed,2020-06-22,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
175,1,HMIS Hospital,Bed,2020-06-23,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
176,1,HMIS Hospital,Bed,2020-06-24,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
177,1,HMIS Hospital,Bed,2020-06-25,1,Emergency,,,,75,26,34.67,,,,,,,,,,,,
178,1,HMIS Hospital,Bed,2020-06-26,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
179,1,HMIS Hospital,Bed,2020-06-27,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
180,1,HMIS Hospital,Bed,2020-06-28,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
181,1,HMIS Hospital,Bed,2020-06-29,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
182,1,HMIS Hospital,Bed,2020-06-30,1,Emergency,,,,75,9,12.0,,,,,,,,,,,,
183,1,HMIS Hospital,Bed,2020-07-01,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
184,1,HMIS Hospital,Bed,2020-07-02,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
185,1,HMIS Hospital,Bed,2020-07-03,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
186,1,HMIS Hospital,Bed,2020-07-04,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
187,1,HMIS Hospital,Bed,2020-07-05,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
188,1,HMIS Hospital,Bed,2020-07-06,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
189,1,HMIS Hospital,Bed,2020-07-07,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
190,1,HMIS Hospital,Bed,2020-07-08,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
191,1,HMIS Hospital,Bed,2020-07-09,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
192,1,HMIS Hospital,Bed,2020-07-10,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
193,1,HMIS Hospital,Bed,2020-07-11,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
194,1,HMIS Hospital,Bed,2020-07-12,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
195,1,HMIS Hospital,Bed,2020-07-13,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
196,1,HMIS Hospital,Bed,2020-07-14,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
197,1,HMIS Hospital,Bed,2020-07-15,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
198,1,HMIS Hospital,Bed,2020-07-16,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
199,1,HMIS Hospital,Bed,2020-07-17,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
200,1,HMIS Hospital,Bed,2020-07-18,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
201,1,HMIS Hospital,Bed,2020-07-19,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
202,1,HMIS Hospital,Bed,2020-07-20,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
203,1,HMIS Hospital,Bed,2020-07-21,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
204,1,HMIS Hospital,Bed,2020-07-22,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
205,1,HMIS Hospital,Bed,2020-07-23,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
206,1,HMIS Hospital,Bed,2020-07-24,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
207,1,HMIS Hospital,Bed,2020-07-25,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
208,1,HMIS Hospital,Bed,2020-07-26,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
209,1,HMIS Hospital,Bed,2020-07-27,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
210,1,HMIS Hospital,Bed,2020-07-28,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
211,1,HMIS Hospital,Bed,2020-07-29,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
212,1,HMIS Hospital,Bed,2020-07-30,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
213,1,HMIS Hospital,Bed,2020-07-31,1,Emergency,,,,75,26,34.67,,,,,,,,,,,,
214,1,HMIS Hospital,Bed,2020-08-01,1,Emergency,,,,75,27,36.0,,,,,,,,,,,,
215,1,HMIS Hospital,Bed,2020-08-02,1,Emergency,,,,75,26,34.67,,,,,,,,,,,,
216,1,HMIS Hospital,Bed,2020-08-03,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
217,1,HMIS Hospital,Bed,2020-08-04,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
218,1,HMIS Hospital,Bed,2020-08-05,1,Emergency,,,,75,22,29.33,,,,,,,,,,,,
219,1,HMIS Hospital,Bed,2020-08-06,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
220,1,HMIS Hospital,Bed,2020-08-07,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
221,1,HMIS Hospital,Bed,2020-08-08,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
222,1,HMIS Hospital,Bed,2020-08-09,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
223,1,HMIS Hospital,Bed,2020-08-10,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
224,1,HMIS Hospital,Bed,2020-08-11,1,Emergency,,,,75,20,26.67,,,,,,,,,,,,
225,1,HMIS Hospital,Bed,2020-08-12,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
226,1,HMIS Hospital,Bed,2020-08-13,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
227,1,HMIS Hospital,Bed,2020-08-14,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
228,1,HMIS Hospital,Bed,2020-08-15,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
229,1,HMIS Hospital,Bed,2020-08-16,1,Emergency,,,,75,25,33.33,,,,,,,,,,,,
230,1,HMIS Hospital,Bed,2020-08-17,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
231,1,HMIS Hospital,Bed,2020-08-18,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
232,1,HMIS Hospital,Bed,2020-08-19,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
233,1,HMIS Hospital,Bed,2020-08-20,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
234,1,HMIS Hospital,Bed,2020-08-21,1,Emergency,,,,75,23,30.67,,,,,,,,,,,,
235,1,HMIS Hospital,Bed,2020-08-22,1,Emergency,,,,75,24,32.0,,,,,,,,,,,,
236,1,HMIS Hospital,Bed,2020-08-23,1,Emergency,,,,75,21,28.0,,,,,,,,,,,,
237,1,HMIS Hospital,Bed,2020-08-24,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
238,1,HMIS Hospital,Bed,2020-08-25,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
239,1,HMIS Hospital,Bed,2020-08-26,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
240,1,HMIS Hospital,Bed,2020-08-27,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
241,1,HMIS Hospital,Bed,2020-08-28,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
242,1,HMIS Hospital,Bed,2020-08-29,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
243,1,HMIS Hospital,Bed,2020-08-30,1,Emergency,,,,75,18,24.0,,,,,,,,,,,,
244,1,HMIS Hospital,Bed,2020-08-31,1,Emergency,,,,75,16,21.33,,,,,,,,,,,,
245,1,HMIS Hospital,Bed,2020-09-01,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
246,1,HMIS Hospital,Bed,2020-09-02,1,Emergency,,,,75,14,18.67,,,,,,,,,,,,
247,1,HMIS Hospital,Bed,2020-09-03,1,Emergency,,,,75,9,12.0,,,,,,,,,,,,
248,1,HMIS Hospital,Bed,2020-09-04,1,Emergency,,,,75,13,17.33,,,,,,,,,,,,
249,1,HMIS Hospital,Bed,2020-09-05,1,Emergency,,,,75,12,16.0,,,,,,,,,,,,
250,1,HMIS Hospital,Bed,2020-09-06,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
251,1,HMIS Hospital,Bed,2020-09-07,1,Emergency,,,,75,19,25.33,,,,,,,,,,,,
252,1,HMIS Hospital,Bed,2020-09-08,1,Emergency,,,,75,17,22.67,,,,,,,,,,,,
253,1,HMIS Hospital,Bed,2020-09-09,1,Emergency,,,,75,15,20.0,,,,,,,,,,,,
